music_services,bbb_link,official_registration,company_number,company_name,company_type,jurisdiction,registered_address,register_date,domain_registered_date,notes
https://playlistpush.com/,https://www.bbb.org/us/ca/marina-del-rey/profile/music/playlist-push-1216-1421244,https://opencorporates.com/companies/us_de/7903386,7903386,"PLAYLIST PUSH, LLC",Domestic Limited Liability Company,Delaware (US),"New Castle, DE, United States",31-Mar-20,10-Apr-17,
https://uniqueplaylists.com/,,,,,,,,,16-Apr-20,"not a company, just a curated playlist channel"
https://fbp-music.com/,,,,,,,,,18-Jan-11,scoured the web for any links to their business registration
https://indiemono.com/,,https://en.datocapital.es/companies/BANANAMUSIC-SL.html,CIF: B01988443,BANANAMUSIC SL,"Sociedad Limitada,ÊActive",Spain,The Americo Castro street 88 Madrid 28050,30-Sep-20,4-Mar-15,
https://starlightpr1.com/,,https://www.zoominfo.com/c/jcm-holdings-inc/399172049,800083478,"JCM Holdings, Inc",,Texas (US),"1000 Ballpark Way, Ste 308, Arlington, Texas 76011, US",13-May-02,20-Apr-16,
https://www.planetarygroup.com/,https://www.bbb.org/us/ma/boston/profile/marketing-programs/the-planetary-group-0021-87081,https://opencorporates.com/companies/us_ca/4122412,4122412,"THE PLANETARY GROUP, INC.",Stock Corporation - CA - General,California (US),"6161 SANTA MONICA BLVD. #202 LOS ANGELES CA 90038, United States",11-Jul-11,19-Feb-97,
https://behindthecurtainsmedia.com/,,https://opencorporates.com/companies/us_ny/5296966,5296966,"BEHIND THE CURTAINS MEDIA, LLC",DOMESTIC LIMITED LIABILITY COMPANY,New York (US),"7014 13TH AVENUE, SUITE 202, BROOKLYN, NY, UNITED STATES, 11228",5-Mar-18,5-Mar-14,
https://groover.co/en/,,https://www.infogreffe.fr/entreprise/groover/835329699/bdcf27a7-b1b3-4ebd-a94e-828db38eda4d,835329699,GROOVER,Joint stock company,France,"Route DŽpartementale 20 la Forge, 14800 Vauville",12-Feb-18,23-Aug-13,
https://www.one-submit.com/,,https://opencorporates.com/companies/il/516456365,516456365,ONE SUBMIT,Private Limited Company,Israel,"Habsamim 4, Ganey Tikva, Israel",,17-Nov-20,
https://soundcamps.com/,,https://opencorporates.com/companies/il/516129665,516129665,NPN DIGITAL LTD,Private Limited Company,Israel,"Rehov Helkiki HaOr 16
8470913 Beer Sheva
Israel",5-Jan-20,5-Dec-18,
https://www.indiemusicacademy.com/,,https://opencorporates.com/companies/us_tn/001176506,1176506,INDIE MUSIC ACADEMY LLC,Limited Liability Company,Tennessee (US),"4032 BARNES COVE DRIVE, ANTIOCH, TN, USA",8-Mar-21,25-Jul-18,
https://daimoon.media/,,https://opencorporates.com/companies/nl/90698185,90698185,DaimoonMedia B.V.,Besloten Vennootschap,Netherlands,"Strevelsweg 700 303,Box A918, Rotterdam, 3083AS",,29-Sep-18,
https://www.boost-collective.com/,,https://opencorporates.com/companies/ca_on/2700089,2700089,BOOST COLLECTIVE INC.,Ontario Business Corporation,Canada,"180 Northfield Drive West, Waterloo, ON, Canada N2L 0C7",5-Jun-19,9-May-22,
https://www.omarimc.com/,,https://ecorp.sos.ga.gov/BusinessSearch/BusinessInformation?businessId=2659721&businessType=Domestic%20Limited%20Liability%20Company&fromSearch=True,19002197,Omari MC LLC,Domestic Limited Liability Company,Georgia (US),"1087 Berkley Drive SE, Smyrna, GA, 30082, USA",2-Jan-19,26-Sep-14,
https://www.submithub.com/,https://www.bbb.org/us/de/wilmington/profile/music-distribution-companies/submithub-holdings-llc-0251-92032764,https://opencorporates.com/companies/us_de/6068243,6068243,"SUBMITHUB, INC.","Corporation, Domestic Limited Liability Company",Delaware (US),"16192 COASTAL HWY, LEWES, Sussex, DE, 19958",14-Jun-16,29-Oct-15,
https://soundbetter.com/,https://www.bbb.org/us/ny/brooklyn/profile/music-composer/soundbetter-inc-0121-185893,https://opencorporates.com/companies/us_de/5242932,5242932,SOUNDBETTER LLC,Limited Liability Company,Delaware (US),1201 ORANGE ST STE 600 - ONE COMMERCE CENTER - WILMINGTON DE 19801,15-Nov-12,8-Jun-02,
