Unnamed: 0,Name,Address,Phone,Email,Web,Basic Rate,Format,Contact,Services,Clients,Additional location,Notes
1,DAUPHIN STREET SOUND,"651 Dauphin St.   Mobile, AL 36602",['251-378-8028'],info@dauphinstreetsound.com,facebook.com/dauphinstreetsound,Call or email for rates ,,,,,,
2,FAME STUDIOS,"603 E. Avalon Ave.   Muscle Shoals, AL 35661",['256-381-0801'],info@famestudios.com,fame2.com,please call for info ,Pro Tools and vintage analog,,,,,
3,RIVERLAND RECORDING STUDIOS,"513 Talucah Rd.   Valhermoso Springs, AL 35775",['256-683-1740'],,facebook.com/riverlandrecording,$65/hr to $80/hr. Contact us ,"Alesis HD 24, Pro Tools LE",,,,,
4,"SOUND CELL/SMITH MUSIC GRP, INC.","601 Meridian St.   Huntsville, AL 35801","['256-539-1868', '800-933-2688']",soundcell@soundcell.com,soundcell.com,please call for info ,Pro Tools,,,,,
5,SOUND OF BIRMINGHAM RECORDING,"3625 5th Ave. S.   Birmingham, AL 35222",['205-595-8497'],don@soundofbirmingham.com,soundofbirmingham.com,please call for info  ,,Don Mosley,,,,
6,10TH PLANET RECORDING STUDIO,"P.O. Box 10114  Fairbanks, AK  99710",['907-488-8658'],10planet@mosquitonet.com,10thplanet.com,please call for info  ,digital,R. Ford or P. Fitzgerald,,,,
7,1ST CHOICE STUDIO,"650 N. 157th Dr.   Goodyear, AZ 85338",['623-234-1787'],info@billkeis.com,billkeis.com/producer,call for rates ,digital,Bill,,,,
8,ALLUSION STUDIOS,"248 W Elm St.   Tucson, AZ 85705",['520-622-3895'],contact@allusionstudios.com,allusionstudios.com ,,,,,,,
9,BRICK ROAD STUDIOS,"7944 E. Beck Ln., Ste. 160  Scottsdale, AZ 85260",['480-788-3573'],scott@brickroadstudio.com,brickroadstudio.com,"$500/day, $85/hr., flat rate available ",call for info,"Scott Leader, Mark DeCozio",,,,
10,COSMIC SOUP RECORDING,"Phoenix, AZ",['480-331-7687'],mail@cosmicsouprecording.com,"cosmicsouprecording.com, facebook.com/cosmicsoupaz ",Contact for more information. ,ProTools. Equipment available on website.,Jeremy Daniel,,,,
11,EPICENTRE RECORDING STUDIO,"104 E. Pierce St.   Phoenix, AZ 85004",['480-270-2221'],Joe@epicentre-recording.com,epicentre-recording.com,,24 Track Hybrid for digital and analog audio ,"Joe Bauman, Owner",,,,
12,FULL WELL RECORDING STUDIO,"1718 N. 17th Ave.   Phoenix, AZ 85007",['602-367-1342'],bolenbach@gmail.com,fullwellrecording.com,please call for info ,"Pro Tools HD,24 track 2 inch analog ",Mike Bolenbach,,,,
13,LUNA RECORDING STUDIO,"4500 E. Speedway Blvd., Ste. 86  Tucson, AZ 85712",['520-260-7576'],producer@lunarecording.com,lunarecording.com,Please contact us ,Pro Tools HD,George Nardo,,,,
14,"SALTMINE STUDIO OASIS, THE","48 S. MacDonald St.   Mesa, AZ 85210",['480-220-4007'],info@thesaltmine.com,thesaltmine.com,,digital and analog  ,Don,,,,
15,BLACKWATER RECORDING STUDIOS,"Cabot, AR 72023",['501-424-9017'],blackwat@blackwaterstudios.com,facebook.com/BlackwaterRecordingStudios,call for rates ,,Michael Sharpe,,,,
16,BLUE CHAIR RECORDING STUDIO,"159 Ray Sowell Rd.   Austin, AR 72007",['501-605-8489'],darianbluechair@gmail.com,bluechairrecording.com ,,,,,,,
17,CRYSTAL RECORDING STUDIOS,"2307 Brandon Rd.   Bryant, AR",['501-681-7935'],ray@crystalrecordingstudios.com,crystalrecordingstudios.com,please call for info ,,,,,,
18,EAST HALL RECORDING,"4210 N. Salem   Fayetteville, AR",['479-582-3278'],info@easthall.com,"easthall.com, facebook.com/easthallrecording","$250/4hr., $400/8hr. ",,,,,,
19,RANEY RECORDING STUDIO,"P.O. Box 17   110 S. Front St. Drasco, AR 72530-9282",['870-668-3222'],jonr@raneyrecordingstudio.com,raneyrecordingstudio.com ,,,,,,,
20,WOLFMAN STUDIOS,"26 Flag Road   Little Rock, AR",['501-812-8071'],wolfmanrecordingstudios@gmail.com,facebook.com/WolfmanStudios,"$35/hr. weekend, $25/hr. weekly, $40/hr. remote   ",,,,,,
