,Name,Address/Phone,Email,Web,Contact,Studio Equip,Musical Equip,Lighting,Stages,Additional locations,Cartage,FX,Technical Services,Lighting Equip,FX Equip,Cartage Equip,Special Services,Note,Basic Rate,Tech Services,Services,Musical Equipment,Video,Tech services,Rooms,Equipment,Fax
1,ADVANCED AUDIO & VIDEO," Box 2466  Huntsville, AL 35804  256-319-3030  ",tucker@advancedaudio.tv ,advancedaudio.tv,,,,,,,,,,,,,,,,,,,,,,,
2,HOLT AV," 401 28th St. S.  Birmingham, AL 35233  800-322-4658, 205-328-5231  ",info@holtav.com ,holtav.com,,,,,,,,,,,,,,,,,,,,,,,
3,ACTION VIDEO PRODUCTIONS," 1231 W Northern Lights Blvd, Suite 2  Anchorage, AK 99502  907-360-4276  ",actvidstaff@gmail.com ,actvid1.com   A   RIZONA ,,,,,,,,,,,,,,,,,,,,,,,
4,FAV," Ford Audio Video  920 East Madison Street  Phoenix, AZ 85034  800-654-6744, 602-643-4200  ",,fordav.com,,,,,,,,,,,,,,,,,,,,,,,
5,MEE," Music Equipment Rentals  5221 W Surrey Ave.  Glendale, AZ  602-955-3750  ",meerental@gmail.com ,meerentals.com ,Sam DeMarco,,,,,,,,,,,,,,,,,,,,,,
6,MP&E," 16585 N. 92nd St., Ste. B104  Scottsdale, AZ 85260  480-596-6699 Fax 480-596-0004  ",phoenix@hdgear.tv ,mayovideo.com,,,,,,,,,,,,,,,,,,,,,,,
7,SMARTSOURCE RENTALS," 1430 W 12th Place  Tempe, AZ 85281  480-829-6336, 844-428-6475  ",,avarkansas.com,,,,,,,,,,,,,,,,,,,,,,,
8,LITTLE ROCK ENTERTAINMENT," 4701 Marlborough St.  Little Rock, AR  72204  501-396-9435  ",chrisc@nccn.net ,blackcatsoundservice.com ,Chris Christensen,,,,,,,,,,,,,,,,,,,,,,
9,EXPRESS VIDEO," 2225 Palou Ave.  San Francisco, CA 94124  415-255-9883  ",Anaheim@mccune.com 714-578-1900 ,mccune.com ,,yes ,yes ,yes ,no ," 222 Ramona Ave., Ste. 1  Monterey, CA 93940  ",,,,,,,,,,,,,,,,,
10,PRG GEAR," Video Equipment Rentals  410 E. Grand Ave.  San Francisco, CA 94080  650-837-9480  ",,verrents.com,,,,,,,,,,,,,,,,,,,,,,,
