Unnamed: 0,Name,Address,Phone,Email,Web,Basic Rate,Rooms,Contact,Services,Additional locations,Equipment,Clients,Studios
1,"GUEST HOUSE STUDIOS, LLC","641 Mockingbird Ln.  Eclectic, AL 36024",['334-580-0155'],ghs@guesthousestudios.com ,guesthousestudios.com ,Email or call for rates ,,,," 5029 Edmondson Pike  Nashville,  TN  629-267-1317 ",,,
2,"ALMEC, LLC","1460 Ann St.  Montgomery, AL 36107",['334-649-2677'],todd@souvignier.com ,facebook.com/almecllc ,please call/email for info ,"wide range, from single-user to multi-room suites. Monthly booking only. ",,,,,,
3,SCOTTSDALE STUDIOS,"Scottsdale, AZ  85258",['480-767-3777'],"samw1222@aol.com, rockstar@sersoundworks.com ",sersoundworks.com ,please call for info,,,,,,,
4,S.I.R. PHOENIX,"3541 East Broadway Road  Phoenix, AZ 85040",['480-966-7800'],azinfo@sir-usa.com  ,sir-usa.com ,please call for info,,,,,,,
5,ANNEX REHEARSAL STUDIOS,"2554 Grant Ave.  San Lorenzo, CA 94580",['510-908-5126'],info@annexrehearsalstudios.com ,facebook.com/AnnexRSLive ,please call for info,,,,,,,
6,JACK LONDON REHEARSAL STUDIOS,"632 2nd St.  Oakland, CA 94607",['510-759-8557'],,jacklondonrehearsal.com,,,,,,,,
7,LENNON REHEARSAL STUDIOS &,"MUSIC SERVICES  271 Dore Street  San Francisco, CA 94103",['415-575-3636'],info@lennonstudios.com ,lennonstudios.com ,please call for rates ,,studio manager ,Rooms for rent by the month,,,,
8,RDM2 STUDIOS,"6651 Brisa St.  Livermore, CA 94550",['925-443-7362'],info@rdm2studios.com ,rdm2studios.com,,,,,,,,
9,REHEARSE AMERICA,"21st Street W  Oakland, CA","['510-406-9697', '510-569-7075']",srs@rehearse.com,rehearse.com ,,,,," 2751 Academy Way  Sacramento, CA 95628  916-923-2525  ",,,
10,SHARK BITE STUDIOS,"634 2nd St.  Oakland, CA 94607",['510-663-8346'],mail@sharkbitestudios.com ,sharkbitestudios.com ,please call for info,,,,,,,
11,STUDIO INSTRUMENT RENTALS (S.I.R.),"1215 Fairfax Ave.  San Francisco, CA 94124",['415-957-9400'],sfinfo@sir-usa.com ,sir-usa.com ,,"All rooms come complete with 8 mixes of EAW monitor systems and stereo sidefills, Sound-  craft SM-12 consoles, new consoles all Midas, Crest  Amplification and Shure mics. Lighting available  upon request. Room sizes vary from 27x36 to an  80x50 show stage. All rooms come with stage and  air conditioning.  ",Fred Rose or Joey Yarmoluk ,"Showcases for major labels, event services, etc.  ",,"Backline, audio, lighting / drum rentals. Additional locations :  Los Angeles, Chicago, Las Vegas, Miami, Nashville,  New York, Palm Springs, Phoenix, Portland, San  Diego, San Francisco, Seattle ",,
12,ABC REHEARSAL STUDIOS,"2575 San Fernando Rd.  Los Angeles, CA 90065",['323-874-2408'],abcrehearsals@gmail.com ,abcrehearsals.com,please call for information and specials ,"Over 50 studios, onsite parking, monthly rentals only. High-quality durable walls.  ",,onsite manager ," 7413-7415 Varna Ave.  North Hollywood, CA 91605  323-874-2408  ",,signed and unsigned bands   ,
13,AMP REHEARSAL,"5259 Lankershim Blvd.  North Hollywood, CA 91601",['818-761-2670'],reservations@amprehearsal.com ,amprehearsal.com ,call for rates,,,First all-inclusive rehearsal and recording studio  ,,,,
14,ANNEX STUDIOS / THIRD ENCORE,"7 Valley Locations, 1 Anaheim","['818-753-0148', '310-924-4516']","john@3rdencore.com, colin@3rdencore.com  ",3rdencore.com ,,,,"Third Encores Annex Studios are 205 Premium 24-hr Monthly Lockout studios located  in eight buildings in North Hollywood, Sherman  Oaks, Van Nuys and Anaheim. All studios are fully  air conditioned (with private a/c control) and  include complimentary Wi-Fi. All buildings are one  story for easy access and studios are constructed  specifically for music production and rehearsal with  multiple layers of drywall and soundboard. Band,  drum and production rooms available. ",,,,
15,BEAT GARAGE,"6860 Farmdale Ave  North Hollywood, CA 91605",['818-358-0099'],info@beatgarage.com ,beatgarage.com,,,,,,,,
16,BLUEPRINT STUDIOS,"31143 Via Colinas Ave #506  Thousand Oaks, CA 91362",,,blueprintmusicstudios.com ,,,"Jasan Radford, Ted Wenri",,,,,
17,BLACK DIAMOND STUDIOS,"(24 hour lockout only, no hourly)  Lincoln Heights near the 5 and 110 freeway interchange",,info@blackdstudios.com ,blackdstudios.com ,Varies by size. Phone or email for cur- rent availability  ,,,24/7 lockout studios for professional musicians. Secured CCTV building and parking. 50  private air-conditioned rooms with free WiFi ranging  from small solo/DJ/Drum to large full band sizes. ,,,,
18,BOMB SHELTER REHEARSAL AND RECORDING  STUDIO  ,,['714-240-7345'],britt@bombshelterrehearsal.com ,bombshelterrehearsal.com ,"For rates, please see our website ","We have a total of 6 studios. This includes a large Showcase Room with black curtains, stage,  drum riser, lighting and couch. All of our rooms offer  a PA system and a backline of drums, bass amp  and guitar amp if needed.Our Showcase Room is  also our large tracking room with 18 ceilings, that is  tied into our recording studio with a SSL AWS900+  mixing console, Pro Tools Ultimate and high end pro  gear. Video Production 4+ Cameras is also done in  our Large Showcase Room.  ",Britt-Marie Trace ,"Rehearsal. Recording. Video Production. Practice your Music and play LOUD in our rooms!  Solo rehearsal, vocal rehearsal, full band rehearsal,  pre-tour rehearsal. Full audio/recording production.  Tracking, Overdubs, Editing, Mixing, Mastering.  Voice Over. Location Recording. ",,"We offer popular gear by industry stan- dard manufacturers. SSL, Pro Tools, Apogee, UA,  Neumann, AEA, Shure, Rode, QSC, Soundcraft, DW,  Orange, Ampeg, Marshall, Audix, PDP, Aquarian,  Soultone, Blackmagic. See website for detailed list.  ",,
19,CENTERSTAGING,"3406 Winona Ave.  Burbank, CA 91504","['818-559-4333', '818-848-4016']",,centerstaging.com ,call for rates,,,,,,,
