Unnamed: 0,Name,Address,Phone,Fax,Mailing,Email,Web,Contact,Additional locations,Degrees/Certificates Offered,Program and Facilities Description,Services,Duration,Basic Rate,Clients,Notes
1,"ARS NOVA, INC.","2828 Drake Ave., S.W.  Huntsville, AL 35802",,,"P.O. Box 14248 Huntsville, AL 35815 256-883-1105  ",arsnovaschool81@bellsouth.net ,arsnovahsv.com ,,,,,,,please call or see web for info,,
2,UNIVERSITY OF ALABAMA,"810 Second Ave.  Tuscaloosa, AL 35487",['205-348-7110'],,,ssnead@ua.edu ,music.ua.edu ,"Charles Skip Snead, School of Music Director  ",,,,,,please call or see web for info,,
3,UNIVERSITY OF NORTH ALABAMA,"Department of Entertainment Industry  1 Harrison Plaza  Florence, AL 35632-0001  Contact : Dr. Robert Garfrerick, Chair   or 1-800-TALK-UNA, Ext. 4342",['256-765-4342'],,,ragarfrerick@una.edu ,una.edu/entertainment ,,,,,Bachelor of Arts or Bachelor of Science in Entertainment Industry ,,,,
4,UNIVERSITY OF ALASKA,"1708 Tanana Loop, Ste.  201 Fairbanks, AK 99775","['907-474-7555', '907-474-6420']",,,,uaf.edu/music ,,,,,,,please call or see web for info,,
5,"BILL KEIS MUSIC, INC.","650 N. 157th Drive  Goodyear, AZ 85338",['818-246-6858'],,,info@billkeis.com Web : billkeis.com  ,,,,,,,,,,"Subjects covered include: Repertoire (learning songs), Improvisation, Theory, Technique,  Composition, Arranging, Harmony, Chord Substitu-  tion, Sight Reading, Rhythm, Keyboards, Recording,  Performance, How to Play in a Band, How to Find  Work as a Musician and more. "
6,ARIZONA MUSIC PROJECT,"260 E. Comstock Dr., #1  Chandler, AZ 85225",['602-819-6400'],,,sing@azmusicproject.com ,azmusicproject.com,,,,,,,,,
7,ROBERTO-VENN SCHOOL  OF LUTHIERY  ,"1012 N.W. Grand Ave.  Phoenix, AZ 85007","['800-507-3738', '602-243-1179']",,,info@roberto-venn.com ,roberto-venn.com ,,,,,,,please call or see web for info,,
8,CONSERVATORY OF RECORDING ARTS &  SCIENCES  ,,,,,,cras.edu ,,"1205 N. Fiesta Blvd. Gilbert, AZ 85233  480-858-9400, 888-930-1991  ", Master Recording Program II.  ,"MRP-II is a 42- week program with classes limited to 12 students.  It is the only program that secures and requires an  internship for graduation. Every student receives an  Apple Laptop, M-Audio Audio Interface, Pro Tools M-  Powered, Sennheiser microphone and headphones,  Apple Logic Pro and Waves plug-ins. Students have  access to our exclusive CRAS Connect, computer-  based learning system. Our 40,000-sq. ft. facility  includes: (8) control rooms, (5) studios, (2) Pro  Tools labs, (2) digital audio labs, (2) mix labs and a  6000-sq. ft. live sound classroom. Gear includes SSL,  Neve, Studer, Otari, Korg, Alesis, Yamaha, Manley  and Neumann, among others. Students are offered  a 7-tier certification on Pro Tools and manufacturer  certifications on the TC System 6000, Waves plug-  ins, EAW Smaart, L-Acoustics Kudo and SoundVi-  sion plus Auto-Tune 5. Financial aid available to  those who qualify. ",,,,,
9,MESA COMMUNITY COLLEGE,"1833 W. Southern Ave.  Mesa, AZ 85202",['480-461-7000'],,,,mesacc.edu/departments/music ,,,,,Audio Production Technologies,,,,
11,"7110 E. McKellips Rd. Mesa, AZ 85207 480-654-7200","Downtown Center: (Fire Science/EMT)  145 N. Centennial Way Mesa, AZ 85201",['480-461-6220'],,,,,,,,,,,,,
12,PHOENIX COLLEGE  COMMERCIAL MUSIC  ,"1202 W. Thomas Road  Phoenix, AZ 85013",['602-285-7777'],,,jamison.weddle@phoenixcollege.edu ,phoenixcollege.edu/degrees-certificates/ music-industry-studies ,"Jamison Weddle, Coordinator of Com- mercial Music Studies  ",,,,,,,,
13,SCOTTSDALE COMMUNITY  COLLEGE  ,Music Building  MUS-139  .,"['480-423-6333', '480-423-6723']",,,music@scottsdalecc.edu ,scottsdalecc.edu/divisions/fine-arts/music ,"Eric Rasmussen, Dept. Chair",,,,,,,,
14,UNIVERSITY OF ARIZONA,"School of Music/Recording Studio  College of Fine Arts  P.O. Box 210004  1017 N. Olive Rd.,  Music Bldg. Rm. 11  Tucson, AZ 85721",['520-621-1302'],,,finearts@cfa.arizona.edu ,cfa.arizona.edu ,,,,,"Offers a professional recording facility offering 23+ track analog and digital recordings.  Our mission is to provide services/and educational  experiences to students, faculty and staff. ",,,,
15,UNIVERSITY OF ARKANSAS,"Department of Music,  MB 201  377 N. McIlroy Avenue  Billingsley Music Bldg. 201  Fayetteville, AR 72701",['479-575-4701'],,,music@uark.edu Web : music.uark.edu ,,,,,,,,,,
16,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,"2801 S. University  Little Rock, AR 72204-1099",['501-569-3294'],,,vrlind@uair.edu Web : ualr.edu/music  ,,"Vicki Lind, Admin Assistant",,,,,,,,
17,"ACADEMY OF ART UNIVERSITY, CALIFORNIA","79 New Montgomery St.  San Francisco, CA 94105","['800-544-2787', '415-274-2222']",,,,academyart.edu  ,,,,,Music Production & Sound Design for Visual Media ,,,,
18,ADAMS MUSIC,"11742 West Pico Blvd.  Los Angeles, CA 90064","['310-839-3575', '424-273-4225']",,,amusicla@gmail.com ,adamsmusic.com ,Adam ,,,,one-on-one instruction in all instruments and voice  ,,please call or see web for info ,,"flexible scheduling, music programs avail- able for children sound system rentals and expert  instrument repairs. "
