Unnamed: 0,Name,Type,Address,Phone,Email,Fax,Web,Contact,Styles/Specialties,Services,Genres,Clients,Additional locations,How to Submit,Notes
1,1-2-3-4 GO! RECORDS,Indie Label,"420 40th Street #5  Oakland, CA 94609",['510-985-0325'],store@1234gorecords.com ,,1234gorecords.com *not actively accepting demos ,,,,,,,,
2,300 ENTERTAINMENT,Indie Label,"450 West 14  New York, NY 10014",,info@threehundred.biz ,,300ent.com ,,,,,"Megan Thee Stallion, Young Thug, Fetty Wap, Maria Becerra, Jeris Johnson, (see website  for more) ",,,
3,4AD RECORDS,Indie Label,"17-19 Alma Rd.  London, SW 18, 1AA, U.K.  +44 20 8870 9912",,demos@4ad.com ,,4ad.com ,,,,,"Adrianne Lenker, Aldous Harding, Anjimile, Atlas Sound, Bartees Strange, Beck and The Birds,  (see website for full listing)    ","   134 Grand Street  New York, NY 10013  212-995-5882 ",,
4,88RISING,Indie Label,"New York, NY & Los Angeles, CA",,shop@88rising.com ,,88rising.com ,Sean Miyashiro ,,,,"Joji, Warren Hue, The Jackson Wang, Bibi, Niki ",,,
5,"825 RECORDS, INC.",Indie Label,"8225 5  Brooklyn, NY   11209",['347-240-5417'],mattyamendola@825records.com ,,825Records.com ,,"Artist development, solo artists, singer/songwriters, pop, rock, R&B ",,,,,,
6,10TH PLANET RECORDS,Indie Label,"P.O. Box 10114  Fairbanks, AK 99710",,10planet@mosquitonet.com ,,10thplanet.com,,,,,,,,
7,A389 RECORDINGS,Indie Label,"P.O. Box 12058  Baltimore, MD 21281",,dom@a389records.com ,,a389records.com. facebook.com/ a389recordings ,,,,,,,,
8,"ACCIDENTAL ENTERTAINMENT, INC.",Indie Label,,,Hello@accidentalentertainment.com ,,,,"alternative, indie, rock, acoustic, Latin, electronic/pop, classical, international  Services : Music licensing and sync, artist and  composer development/representation, publishing  and admin.  *Please request via email to submit material  Adam Moseley, President, Rosie Forster, A&R Mgr. ",,,,,,
9,A-F RECORDS,Indie Label,"P.O. Box 71266  Pittsburgh, PA 15213",,demos@a-frecords.com ,,a-frecords.com *Currently accepting demos ,,,,,,,,
10,ACTIVATE ENTERTAINMENT,Indie Label,5062 Lankershim Blvd.-174  N. Hollywood CA 91601,['818-569-3020'],submissions@2Activate.com ,,,James Arthur ,,,"Pop, Hip-Hop, R&B/Soul, Rock, Country",,,"Urban, Soul/R&B, HipHop, Pop, Hard Rock, Country;  Send Soundcloud &/or YouTube links, socials, email/  text  ",
