,Name,Type,Web,Services,Fee,Email,Phone,Features,Fees,Summary,Prizes,Categories,Contact
1,BITLY,Social Media & Digital Marketing Tools,bitly.com ,"URL Shortener, Custom Branded URLs, API & Link Management. ",,,,,,,,,
2,CANVA,Social Media & Digital Marketing Tools,canva.com ,"Graphic-design tool website. Design presentations, social media graphics, and more  with thousands of beautiful layouts. ",,,,,,,,,
3,CINDERBLOCK,Social Media & Digital Marketing Tools,Cinderblock.TV ,"Video streaming app that is built for music videos, concerts, interviews, etc. ",,,,,,,,,
4,CROWDMOUTH,Social Media & Digital Marketing Tools,crowdmouth.com ,"Crowdmouth is a direct-to-fan platform empowering creators to engage,  monetize and grow their audiences. ",,,,,,,,,
5,FORTUNES,Social Media & Digital Marketing Tools,fortunes.io ,"Cross-platform music data analytics, career recommendations to increase revenues. ",,,,,,,,,
6,FLYTEVU,Social Media & Digital Marketing Tools,flytevu.com ,"Full-Service entertainment marketing company based in Nashville, TN. ",,,,,,,,,
7,HOOTSUITE,Social Media & Digital Marketing Tools,hootsuite.com ,Social media marketing and management platform. Helps you keep track and  manage your many social network channels. It  can enable you to monitor what people are saying  about your brand and help you respond instantly.  Fee: Professional - $49/mo. ,,,,,,,,,
8,LINKMY.PHOTOS,Social Media & Digital Marketing Tools,linkmy.photos ,Instagram photos and captions are currently not linkable. The only place where you  can add a link to your website is through the  URL in your Instagram bio. Link My Photos has  created the destination for your Instagram bio.  Your personalized Link My Photos page displays  all of your clickable photos to help your followers  get to the content and products that you post.  ,"Free, Shutterbug - $4.99/mo., paparazzi - $9.99/mo ",,,,,,,,
9,MAILCHIMP,Social Media & Digital Marketing Tools,mailchimp.com ,"Email marketing tool that allows you to send emails to hundreds or thousands of  recipients all at once. It is essentially a tool you  can use to create and manage mailing lists and  newsletters, as well as automate your email  campaigns and collect leads.  ","Free, Grow $11, $17/mo, Pro -$299/mo.",,,,,,,,
10,MAGROOVE,Social Media & Digital Marketing Tools,artists.magroove.com ,"Magroove was founded by musicians for musicians, offering a radically simple,  transparent, and affordable method for  independent artists to seamlessly distribute  their music to more than 40 streaming services,  engage in direct-to-fan commerce, and access  tools for website development. ",,,,,,,,,
11,VENTURE MUSIC,Social Media & Digital Marketing Tools,venturemusic.com ,,,"info@venturemusic.com Clients: Universal Music Group, BMG, Red Light  Management, Quartz Hill Records, Flobots ",,,,,,,
12,VERTIGO,Social Media & Digital Marketing Tools,vertigomusic.com ,"Fans can access artist content on Vertigo from anywhere, no app download  required. Artists can further boost streams and  sync any content to subscribers accounts.  Independent Artists/Bands. ",,,,,,,,,
13,SIMPLY GIGANTIC,Social Media & Digital Marketing Tools,SimplyGigantic.com ,PR Agency,,,,,,,,,
14,SPROUT SOCIAL,Social Media & Digital Marketing Tools,sproutsocial.com ,"Social media management and optimization platform for brands and agencies of  all sizes. Gives you a single hub for social media  publishing, analytics and engagement across all  of your social profiles.  ","Standard - $89/mo, professional $149/mo, Advance $249/mo. ",,866-878-3231  ,,,,,,
15,UNSPLASH,Social Media & Digital Marketing Tools,unsplash.com ,"Database of high-resolution, watermark-free images that are free for use. ",,,,,,,,,
16,BANDZOOGLE,Web Design,bandzoogle.com ,,"Lite  8.29/mo, Standard - $12.46/mo, Pro - $16.63/mo. ",support@bandzoogle.com ,,"Unlimited support, free domain name, premium hosting, unlimited bandwidth, mobile-  ready themes, music player, SEO tools, tour  calendar, EPKs, more.  ",,,,,
17,NING,Web Design,ning.com ,"Social integration, custom design, 24/7 support, basic features toolkit, monetization  options  ","Basic - $25/mo, Performance - $49/ mo, Ultimate - $99/mo. ",,855-233-6436  ,,,,,,
18,SQUARESPACE,Web Design,"squarespace.com Features: Modern templates, adobe image  editor, audio collections, social sharing, email  campaigns, product merchandising  ",,"Personal - $12/mo., Business - $18/mo., Commerce, $26/$40 ",support.squarespace.com ,,,,,,,
19,WIX,Web Design,wix.com ,,"Free version available, Combo - $14/ mo, Unlimited - $18/mo., Pro - $23/mo., VIP - $39/mo. ",,,"Design freedom, SEO, mobile optimization, unlimited fonts, media galleries,  custom domain name, social tools, customizable  music player, music selling options, stats.  ",,,,,
20,ArrangeMe,Legal Services/Advice,ArrangeMe.com ,Copyright services,,,,,,,,,
21,AUDOO,Legal Services/Advice,Audoo.com ,,,,,,,,,,
22,AVVO,Legal Services/Advice,avvo.com ,"Ratings, reviews and disciplinary records for lawyers in every state. Get free legal  advice, find the right lawyer, and make informed  legal decisions. ",,,,,,,,,
23,FREE LEGAL ADVICE,Legal Services/Advice,freeadvice.com ,"Comprehensive legal and insurance advice, articles, answers, videos and news. ",,,,,,,,,
24,LAWCHAMPS,Legal Services/Advice,lawchamps.com ,"Instantly matches consumers with solo attorneys based on budget. Clients and  attorneys can instant message, call & video chat  with members only app. ",,,866-653-3017  ,,,,,,
25,LAWHELP.ORG,Legal Services/Advice,lawhelp.org,"Created for people living on low incomes  and the legal organizations that serve them.  LawHelp.org provides referrals to local legal aid  and public interest law offices, basic information  about legal rights, court forms, self-help  information, court information, links to social  service agencies, and more in your state. ",,,,,,,,,
26,LEGALZOOM,Legal Services/Advice,,"Online legal help on business, intellectual property, contracts & agreements,  legal advice. ",,support@legalzoom.com Web: l: egalzoom.com  ,800-773-0888  ,,,,,,
27,LEGAL SERVICES LINK,Legal Services/Advice,legalserviceslink.com ,Anonymously post your legal needs quickly and for free. Lawyers interested in  helping you contact you via email. Review the  emails and select the best lawyer for you. ,,,844-529-3279  ,,,,,,
28,MUSIC CONNECTION,Legal Services/Advice,musicconnection.com/directories,,,,,,,,,,
29,NOLO,Legal Services/Advice,nolo.com ,"Answers to everyday legal and business questions, lawyer directory ",,,800-631S-5158  ,,,,,,
30,UCLA SCHOOL OF LAWS MUSIC,Legal Services/Advice,,,,mic@law.ucla.edu,INDUSTRY CLINIC  ,,,,,,
31,VOLUNTEER LAWYERS FOR THE ARTS,Legal Services/Advice,vlany.org ,VLA provides legal services to low-income artists and all non-profit arts  organization in every artistic discipline. ,,vlany@vlany.org ,212- 319-2787 ext. 1  ,,,,,,
32,ARTISTSHARE,Fundraising/Financial Matters,artistshare.com ,"Operates as a record label and business model for artists which enables them to  fund their projects by allowing the general public  to directly finance, watch the creative process,  and in most cases gain access to extra material  from an artist.  ",,support@artistshare.com ,,,5% fee on contributions raised in addition to third party credit card processing fees (3-5%). ,,,,
33,BEATBREAD,Fundraising/Financial Matters,beatbread.com ,The pioneering music funding platform that enables artists to access growth capital  while maintaining control of their careers and  ownership of their music. ,,,,,,,,,
34,CENTTRIP,Fundraising/Financial Matters,centtrip.com ,"global fintech providing expense management and card payment technology,  has launched its platform, app, and card in the  United States, tochange the way music and  entertainment industry manages tour and team  expenses ",,,,,,,,,
35,FUNDLY,Fundraising/Financial Matters,fundly.com ,"Crowdfunding site for online fundraising. Raise money online from friends,  family, colleagues, donors, and other supporters  via email, Facebook, Twitter, LinkedIn, Google,  and social media networks.  ",,,,,Platform fee of 4.9% per transaction in addition to payment processing fee of 3% + 30  cents per transaction. ,,,,
36,GOFUNDME,Fundraising/Financial Matters,gofundme.com ,For-profit crowdfunding platform that allows people to raise money. 0% platform fee.  ,,,,,Fees vary based on country. United States is 2.9% + 30 cents per donation. ,,,,
37,INDIEGOGO,Fundraising/Financial Matters,indiegogo.com ,"International crowdfunding website. Indiegogo allows people to solicit funds for an  idea, charity, or start-up business. Indiegogo  charges a 5% fee on contributions.  ",,,,,5% of funds raised in addition to processing fee of 3% + 30 cents per transaction.  Bank may charge additional fees depending on  currency and bank account location. ,,,,
38,JACKTRIP FOUNDATION,Fundraising/Financial Matters,jacktrip.org ,The JackTrip Foundation Equipment,,,,,,,,,
39,KICKSTARTER,Fundraising/Financial Matters,kickstarter.com ,"Crowdfunding platform for creative projects. A home for film, music, art, theater,  games, comics, design, photography, and more.  ",,,,,Kickstarter fee of 5% of total funds raised in addition to payment processing fees of 3% +  20 cents per pledge. (Pledges under $10 have  a discounted micropledge fee of 5% + 5 cents  per pledge) ,,,,
40,MUSIC BENEFACTORS,Fundraising/Financial Matters,musicbenefactors.com ,"We work with recording artists, indie labels, publishers, venues, and other music  businesses to sell debt and equity securities to  investors.  The capital raised is used to help fund  their businesses. ",,,,,,,,,
41,PATREON,Fundraising/Financial Matters,patreon.com ,"Membership platform that provides business tools for creators to run a subscription  content service, with ways for artists to build  relationships and provide exclusive experiences  to their subscribers, or patrons.  ",,,,,5% of successfully processed fees in addition to an effective payment processing  fees that may vary based on transaction  amount and method of payment and a fixed  fee. These average around 5% and 30 cents  per transaction. There are also Payout fees for  moving your funds from your Patreon account to  your bank account. ,,,,
42,PLUMFUND,Fundraising/Financial Matters,plumfund.com ,"Free to fundraisers and donors. There are no transaction fees for organizers or  contributors, and no setup fees.  ",,,,,Third party fee of 2.8% + 30 cents deducted from each transaction. ,,,,
43,ROYALTY EXCHANGE,Fundraising/Financial Matters,royaltyexchange.com ,Online marketplace/auction platform where investors & owners of royalty streams can  buy royalties and sell all types of royalties.  ,,,1-800-718-2269  ,,"Commission is collected after auction at rate determined prior to listing from sellers. Third  party fees for transfers depend on bank account,  location, and method of payment for buyers. ",,,,
44,SOUND ROYALTIES,Fundraising/Financial Matters,soundroyalties.com ,Offers music professionals non-credit based financing and funding without having to  deal with banks or traditional lenders. ,,info@soundroyalties.com ,,,,,,,
45,FLUENCE,Music Review/Opinion/Feedback,Fluence.io ,Makes curators directly accessible to artists/promoters through their platform. ,,contact@fluenceapp.com ,,,,,,,
46,REVERBNATION,Music Review/Opinion/Feedback,reverbnation.com/band-promotion/ crowd_review  ,"Artist feedback from targeted sample, data analytics. ",,support@reverbnation.com ,(CROWD REVIEW)  ,,,,,,
47,SONGCHECKS,Music Review/Opinion/Feedback,Songchecks.com ,"Songchecks is a curated platform for Producers, Mixers, Bands, and Songwriters of  all levels and locations to get affordable written  feedback on your songs from the worlds best  music talent. ",,,,,,,,,
48,SONGU.COM,Music Review/Opinion/Feedback,songu.com ,"Provides multi-level song writing courses developed by award winning  songwriters, song feedback, mentoring, one-  on-one song coaching, cowriting, unscreened  pitching opportunities and more.  TUNECORE ",,,,,,,,,
49,(FAN REVIEWS),Music Review/Opinion/Feedback,tunecore.com/artist-services ,"Artist feedback, data analytics",,,646-651-1060  ,,,,,,
