venue_id,VenueName,Filename,VenueCity,VenueWebsite,VenueYelpPage
6,Cornerstone Berkeley,cornerstone_berkeley,Berkeley,https://www.cornerstoneberkeley.com/,https://www.yelp.com/biz/cornerstone-craft-beer-and-live-music-berkeley-2
7,The Fireside Lounge,the_fireside_lounge,Alameda,https://www.thefiresidelounge.com/,https://www.yelp.com/biz/fireside-lounge-alameda
8,Music City SF,music_city_sf,San Francisco,https://musiccitysf.com/,https://www.yelp.com/biz/music-city-san-francisco-san-francisco?osq=Music+City+San+Francisco
9,Mel-O-Dee Cocktails,mel-o-dee_cocktails,El Cerrito,https://www.melodeecocktails.com/,https://www.yelp.com/biz/mel-o-dee-el-cerrito?osq=Mel-O-Dee+Cocktails
10,MeloMelo Kava Bar,melomelo_kava_bar,Oakland,https://melomelokavabar.com/,https://www.yelp.com/biz/melo-melo-kava-bar-oakland?osq=MeloMelo+Kava+Bar
11,The Riptide,the_riptide,San Francisco,https://www.riptidesf.com/,https://www.yelp.com/biz/the-riptide-san-francisco?osq=The+Riptide
12,The Mojo Lounge,the_mojo_lounge,Fremont,https://www.instagram.com/themojolounge.fremont/,https://www.yelp.com/biz/mojo-lounge-fremont
13,The Center SF,the_center_sf,San Francisco,https://www.thecentersf.com/,https://www.yelp.com/biz/the-center-sf-san-francisco?osq=the+center+sf
14,Red Hat Sports Bar,red_hat_sports_bar,Concord,,https://www.yelp.com/biz/red-hat-sports-bar-concord?osq=Red+Hat+Sports+Bar
15,Center for New Music,center_for_new_music,San Francisco,https://centerfornewmusic.com/,https://www.yelp.com/biz/center-for-new-music-san-francisco?osq=Center+for+New+Music
16,Room 389,room_389,Oakland,https://www.instagram.com/room389/?hl=en,https://www.yelp.com/biz/room-389-oakland?osq=Room+389
17,Feinsteins at the Nikko,feinstens_at_the_nikko,San Francisco,https://www.feinsteinssf.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,https://www.yelp.com/biz/feinsteins-at-the-nikko-san-francisco?osq=Feinstein%27s+at+the+Nikko
18,Ivy Room,ivy_room,Albany,https://www.ivyroom.com/#/events,https://www.yelp.com/biz/ivy-room-albany-2?osq=Ivy+Room
19,Freight & Salvage,freight_and_salvage,Berkeley,http://www.thefreight.org/,https://www.yelp.com/biz/freight-and-salvage-coffeehouse-berkeley?osq=Freight+%26+Salvage
20,The Saloon,the_saloon,San Francisco,https://www.sfblues.net/Saloon.html,https://www.yelp.com/biz/the-saloon-san-francisco?osq=The+Saloon
21,The Annex Live Music Sessions,the_annex,El Cerrito,https://www.sunjams.org/about-5,
