place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,dad110a6263e39b078233fa4b6b35749,5,"Awesome music venue with great sound and rad vibe. Visiting town, caught Japanese punk bands here. Left covered in ramen noodles they threw on the crowd. Great time!",a week ago,2024-03-22 13:02:44.164533,,,,0,263,385,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,265c8339998a3fdea5171380dc47312e,5,They do a Sunday afternoon series here that is absolutely brilliant we need to get more bodies there four small price lunch few bands kid-friendly adult friendly bloody good time and fairly reasonable drink prices,2 weeks ago,2024-03-15 13:02:44.167346,,,,0,205,827,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,c0d4a516444c120850af33b7f32061a3,5,,2 weeks ago,2024-03-15 13:02:44.170009,,,,0,37,408,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,5f371e43b4b6874efe8076a6ddc218f9,5,,2 months ago,2024-01-29 13:02:44.172604,,,,0,93,270,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,356b72af0b0eccd73146ead2786b01f0,5,Great show with Top secret robot alliance,2 months ago,2024-01-29 13:02:44.175119,,,,0,7,,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,00591acc1bcc360f9dd531ed767c1fde,5,,2 months ago,2024-01-29 13:02:44.177853,,,,0,18,530,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,a1101dc83730dd0692e6ebd25ff8299b,5,,2 months ago,2024-01-29 13:02:44.180375,,,,0,7,7,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,77fb4f5c8a64f1ba503ee49abd2fbb5b,5,"Great venue for seeing bands. small enough for an intimate vibe. big enough for a wild time. serves food, cute patio and has all ages shows on occasions.",3 months ago,2023-12-29 13:02:44.182501,,,,0,488,2826,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,ebbf3a1b475448ce57cb2f3c607afafd,5,"Bottom of the Hill is one of my favorite music venues in San Francisco. Friendly staff, great vibes, chill patio for a quick smoke, delicious burgers and quesadillas. Check out the old venue calendars. You will NOT believe who has played there. Legends.",3 months ago,2023-12-29 13:02:44.184927,,,,1,88,656,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,9063e2770c2c5460a5db894f2902d48e,5,,3 months ago,2023-12-29 13:02:44.187357,,,,0,27,,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,6faf35207baaad169cb9cb188069784d,5,,3 months ago,2023-12-29 13:02:44.685936,,,,0,68,12,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,c4b3b706f02fce13d84472c81f123855,5,"Great bands, chill crowd and food included",3 months ago,2023-12-29 13:02:44.689609,,,,0,190,75,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,ee3a0d4fe3e606dd4aa2396697287ffb,5,,3 months ago,2023-12-29 13:02:44.693121,,,,0,90,82,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,7f8dac27932b41ae41b55c32bd4b1fb3,5,,3 months ago,2023-12-29 13:02:44.696214,,,,0,117,8,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,c74e2a59542635899be4f70e4d7915ed,5,,3 months ago,2023-12-29 13:02:44.699572,,,,0,34,7,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,a5f3fd275314a19ebb9cffd3e68b0246,4,"Great venue for live music, one of the best PAs in the Bay Area. Decent burger too!",3 months ago,2023-12-29 13:02:44.702137,,,,0,35,39,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,6c3cb39f765f75eba4f6b63936b47027,5,"Didnt love the music the night I went, but adored the venue. The patio that looks onto the stage is brilliant. They sell earplugs (its loud!). Will do a little research next time to find a vibe that fits.",3 months ago,2023-12-29 13:02:44.705175,,,,0,17,504,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,47adc264e145fd02c21a1821166294d6,5,,3 months ago,2023-12-29 13:02:44.707980,,,,0,3,50,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,bcefa14457599dd7a5f15b8bd17ae5fd,4,"Great venue, drinks are good and a good price! You cant hear the vocalists. Instruments are very clear, vocalists entirely lost",3 months ago,2023-12-29 13:02:44.710460,,,,0,26,55,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,5bce791020fd147568e4128ea8540387,5,"Amazing place, awesome staff and fantastic live music and performances",4 months ago,2023-11-29 13:02:44.713097,,,,0,81,43,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,d0ea0678599412664fb44b4702c06032,5,,4 months ago,2023-11-29 13:02:45.265918,,,,0,2,3,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,c613701fd28754bd6e5b7b6e4e99fadd,5,A gem   of amazing staff community and epic times. It s a shame that SAN FRANCISCO and it s greedy capitalist greed will be demoing this historic music venue for ugly condos.,4 months ago,2023-11-29 13:02:45.269095,,,,0,11,2,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,9386ff43b56f5f484711bbd79533a65c,5,,4 months ago,2023-11-29 13:02:45.272473,,,,0,107,228,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,c2698783213144302eb715e49e40e725,5,Always a great club to see a show and get a stiff drink.,4 months ago,2023-11-29 13:02:45.275519,,,,0,136,279,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,3a84ecc03c0efc425a597ab6212cd9af,5,,4 months ago,2023-11-29 13:02:45.278435,,,,0,14,579,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,9396d4369a3893535f479a26d976b1c6,5,,4 months ago,2023-11-29 13:02:45.280941,,,,0,40,39,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,256a799979ffd06a264c5b5699ddf47a,5,,4 months ago,2023-11-29 13:02:45.283451,,,,0,2,2,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,459a4afab0a00a16b61519d54f6016cd,2,"very cute vibes, very bad venue! We showed up at to a concert at 8 (the time stated on the ticket), and went inside, only to learn that the performers wouldn t go on until at-least 10 (and that the openers wouldnt preform till at least 9?). Since we were not told this and we now had 2 hours to burn, we tried to leave and were told that of we did, we could not come back in. Since we didnt want to wait 2 hours in a hot cramped space (with no seats), we left and lost the money we paid for tickets. Very unhappy with the way the venue handled this whole situation, and how the venue communicates policies about their concerts. Would definitely not come again :(",4 months ago,2023-11-29 13:02:45.285766,,,,3,10,5,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,30c9386871ff6aa763d57c3c30afff82,5,,4 months ago,2023-11-29 13:02:45.288051,,,,0,8,,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,510bee66f1666337fccae46450664768,5,,4 months ago,2023-11-29 13:02:45.290065,,,,0,12,1,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,4fff18c48ecc0c2773eea091fa0bd082,5,,4 months ago,2023-11-29 13:02:45.774940,,,,0,,,,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,ab78dff97f41978f5a55284a25ec7e34,4,Righteous Rock,4 months ago,2023-11-29 13:02:45.777123,,,,0,150,420,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,50697590d207f22396c63dcfdebf279a,5,There isnt a better venue in SF.,4 months ago,2023-11-29 13:02:45.779593,,,,0,29,,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,6fc9d473f0856ead38feaddbfe12ebff,5,"great bar , check out the local bands",5 months ago,2023-10-29 13:02:45.781963,,,,0,9,1,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,08623baa641774495c1f8f2e2383f954,5,,5 months ago,2023-10-29 13:02:45.784323,,,,0,,,,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,687642f653dcaa214d53bfe62bbf6ef1,5,,5 months ago,2023-10-29 13:02:45.786377,,,,0,50,86,True,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,27d402adfba4f645fa8e6fba084bd9ca,5,Great venue! Set up well to accommodate bands and guests. We were the support team for a band. The staff was incredible and so very helpful down to the very smallest details. Best venue team I ve experienced in the 20 years I ve been involved with bands.,5 months ago,2023-10-29 13:02:45.788512,,,,0,2,,False,,
ChIJQcdLBsx_j4AROyDSIMBYKH8,Bottom of the Hill,92d2232d20b7c60918966722bfb9c5dd,5,,5 months ago,2023-10-29 13:02:45.790927,,,,0,2,26,True,,
