venue_name,date,review
Bottom of the Hill,"Mar 22, 2024","Awesome music venue with great sound and rad vibe. Visiting town, caught Japanese punk bands here. Left covered in ramen noodles they threw on the crowd. Great time!"
Bottom of the Hill,"Mar 15, 2024",They do a Sunday afternoon series here that is absolutely brilliant we need to get more bodies there four small price lunch few bands kid-friendly adult friendly bloody good time and fairly reasonable drink prices
Bottom of the Hill,"Mar 15, 2024",
Bottom of the Hill,"Jan 29, 2024",
Bottom of the Hill,"Jan 29, 2024",Great show with Top secret robot alliance
Bottom of the Hill,"Jan 29, 2024",
Bottom of the Hill,"Jan 29, 2024",
Bottom of the Hill,"Dec 29, 2023","Great venue for seeing bands. small enough for an intimate vibe. big enough for a wild time. serves food, cute patio and has all ages shows on occasions."
Bottom of the Hill,"Dec 29, 2023","Bottom of the Hill is one of my favorite music venues in San Francisco. Friendly staff, great vibes, chill patio for a quick smoke, delicious burgers and quesadillas. Check out the old venue calendars. You will NOT believe who has played there. Legends."
Bottom of the Hill,"Dec 29, 2023",
Bottom of the Hill,"Dec 29, 2023",
Bottom of the Hill,"Dec 29, 2023","Great bands, chill crowd and food included"
Bottom of the Hill,"Dec 29, 2023",
Bottom of the Hill,"Dec 29, 2023",
Bottom of the Hill,"Dec 29, 2023",
Bottom of the Hill,"Dec 29, 2023","Great venue for live music, one of the best PAs in the Bay Area. Decent burger too!"
Bottom of the Hill,"Dec 29, 2023","Didnt love the music the night I went, but adored the venue. The patio that looks onto the stage is brilliant. They sell earplugs (its loud!). Will do a little research next time to find a vibe that fits."
Bottom of the Hill,"Dec 29, 2023",
Bottom of the Hill,"Dec 29, 2023","Great venue, drinks are good and a good price! You cant hear the vocalists. Instruments are very clear, vocalists entirely lost"
Bottom of the Hill,"Nov 29, 2023","Amazing place, awesome staff and fantastic live music and performances"
Bottom of the Hill,"Nov 29, 2023",
Bottom of the Hill,"Nov 29, 2023",A gem   of amazing staff community and epic times. It s a shame that SAN FRANCISCO and it s greedy capitalist greed will be demoing this historic music venue for ugly condos.
Bottom of the Hill,"Nov 29, 2023",
Bottom of the Hill,"Nov 29, 2023",Always a great club to see a show and get a stiff drink.
Bottom of the Hill,"Nov 29, 2023",
Bottom of the Hill,"Nov 29, 2023",
Bottom of the Hill,"Nov 29, 2023",
Bottom of the Hill,"Nov 29, 2023","very cute vibes, very bad venue! We showed up at to a concert at 8 (the time stated on the ticket), and went inside, only to learn that the performers wouldn t go on until at-least 10 (and that the openers wouldnt preform till at least 9?). Since we were not told this and we now had 2 hours to burn, we tried to leave and were told that of we did, we could not come back in. Since we didnt want to wait 2 hours in a hot cramped space (with no seats), we left and lost the money we paid for tickets. Very unhappy with the way the venue handled this whole situation, and how the venue communicates policies about their concerts. Would definitely not come again :("
Bottom of the Hill,"Nov 29, 2023",
Bottom of the Hill,"Nov 29, 2023",
Bottom of the Hill,"Nov 29, 2023",
Bottom of the Hill,"Nov 29, 2023",Righteous Rock
Bottom of the Hill,"Nov 29, 2023",There isnt a better venue in SF.
Bottom of the Hill,"Oct 29, 2023","great bar , check out the local bands"
Bottom of the Hill,"Oct 29, 2023",
Bottom of the Hill,"Oct 29, 2023",
Bottom of the Hill,"Oct 29, 2023",Great venue! Set up well to accommodate bands and guests. We were the support team for a band. The staff was incredible and so very helpful down to the very smallest details. Best venue team I ve experienced in the 20 years I ve been involved with bands.
Bottom of the Hill,"Oct 29, 2023",
Bottom of the Hill,"Oct 29, 2023",One of my favorite places to see live music. Ive been going there since the 90s!! Food is priced right and a good selection of beers.
Bottom of the Hill,"Oct 29, 2023",Great venue with awesome staff
