venue_name,date,review
Rickshaw Stop,"Mar 22, 2024","Went to an Alice Glass concert here, and immediately loved this place. Its a small-to-medium sized venue that feels like a just right balance between low-key and intimate, while having enough space to not feel claustrophobic or uncomfortable. Drink prices were reasonable, and we also appreciated that there is some seating upstairs that still provides a view of the show."
Rickshaw Stop,"Mar 15, 2024",Security over aggressive over people leaving that old bouncer need to retire before he gets hurt
Rickshaw Stop,"Mar 08, 2024",This venue is great. One of the better sounding shows I have ever been to. The drinks are very reasonably priced for a dedicated venue and the staff was incredibly friendly and professional. Went on 3/5/24 to see Mclusky and they were amazing and sounded great.  Easy to get to from Bart and has a nice upstairs balcony area with a small amount of seating.
Rickshaw Stop,"Mar 08, 2024",
Rickshaw Stop,"Mar 08, 2024","Wack venue, sorry staff."
Rickshaw Stop,"Mar 08, 2024",
Rickshaw Stop,"Mar 08, 2024","cute, small indie venue with nice staff. coat check was just a rack upstairs, no payment or supervision. sound quality was great but loud. had no service inside the venue."
Rickshaw Stop,"Mar 08, 2024",
Rickshaw Stop,"Feb 29, 2024",Wanna be  is the only vibe coming from this club Id rather not come back here. Most of the staff will threaten you thinking their drugs is what keep the place alive. Avoid this trash place like a plague. Wish cops would shut it down.
Rickshaw Stop,"Feb 29, 2024",One of the cooler small venues in the city. Just be aware that cell service often dies within the venue so youll need to make texts/calls outside.
Rickshaw Stop,"Feb 29, 2024",
Rickshaw Stop,"Jan 29, 2024",Best night of my life. Mk.gee and Andrew Aged and Dijon were complete mages
Rickshaw Stop,"Jan 29, 2024","Funky, grungy, cute, small, super local feeling little venue. Have seen some fun shows here. Good people watching. Staff/bartenders all seem great and kind. Be sure to bring cash for tickets at the door. Vibe town"
Rickshaw Stop,"Jan 29, 2024",
Rickshaw Stop,"Jan 29, 2024",Dope
Rickshaw Stop,"Jan 29, 2024",I started to wonder if nerd nite people and yoi toki people are the same kind
Rickshaw Stop,"Dec 29, 2023",
Rickshaw Stop,"Dec 29, 2023","My kid wanted to go to a show here, and it said the performance time was 7-9 pm. Wrong! Doors didnt OPEN until 7, the opening act( didnt say there was one! ) didnt start until 8, show wasnt over until 10.  Not doing another concert here until theyre older."
Rickshaw Stop,"Dec 29, 2023",
Rickshaw Stop,"Nov 29, 2023",
Rickshaw Stop,"Nov 29, 2023",
Rickshaw Stop,"Nov 29, 2023","How have I lived for so many years without knowing about Nerd Nite?? Such a novel and fun concept. As a fellow geek, I geek out over geeks. Love it."
Rickshaw Stop,"Nov 29, 2023",Thanks for having a comfy sitting area with fans in the balcony!  But the line to get in moved as slow as the line for Soarin at California Adventure
Rickshaw Stop,"Nov 29, 2023",
Rickshaw Stop,"Nov 29, 2023",
Rickshaw Stop,"Nov 29, 2023","Though I loved being at the front and being so intimate with one of my favorite artists, the security told me to take it down a notch after one of the first songs. The thing is, the artist played her most popular songs in the beginning, so of course Id be a bit energetic for this... anyways, I dont blame the security guards themselves- they were cool. Just think that wasnt necessary."
Rickshaw Stop,"Nov 29, 2023",Love the staff the venue and the vibes!  Fun spot easy to get to.
