venue_name,date,review
The Sound Room,"Mar 24, 2024",
The Sound Room,"Mar 22, 2024",
The Sound Room,"Mar 15, 2024","Can t believe we have been sitting on this place!  Incredible venue, amazing musicians, lovely staff, and a reminder of why neighborhood nonprofits matter.  Keep doing great things The Sound Room!"
The Sound Room,"Mar 08, 2024",My favorite spot for live local jazz.  Friendly and they serve yummy Food and drinks at very reasonable prices.
The Sound Room,"Feb 29, 2024",Amazing venue! Amazing line up full of great musicians. A wonderful atmosphere and very professional staff.
The Sound Room,"Feb 29, 2024",
The Sound Room,"Feb 29, 2024","Saw an outstanding, one of a kind show here. Jonathan Seiberlich and a quintet record release."
The Sound Room,"Feb 29, 2024","Intimate venue, perfect for Flamenco and Jazz!"
The Sound Room,"Jan 29, 2024",
The Sound Room,"Dec 29, 2023",Great Music. Great people. Great experience. What else could one ask for.
The Sound Room,"Dec 29, 2023",Super spot to hear your favorite music and grab a bite to eat!
The Sound Room,"Dec 29, 2023","Great place to see & hear well tempered music. And a fantastic place for musicians to showcase their talents.  Also, decent food & drink to boot. A Good choice to take your date out on the town."
The Sound Room,"Dec 29, 2023",Great sounding venue and ran by some very fine people!
The Sound Room,"Nov 29, 2023","Second time Ive been to this venue and even better than the first. The intimate atmosphere , sound quality  and acoustics are amazing. I attended a Jules Leyton performance that was mind-bending."
The Sound Room,"Nov 29, 2023","Beautiful place and extremely friendly staff. Food was delicious and there were plenty of drinks to choose from. Maurice Tani and the American Blues & Noir were entertaining and I would go back to see them again, next time they are in Oakland."
The Sound Room,"Nov 29, 2023",Great community-run jazz centre
The Sound Room,"Nov 29, 2023","I ve been to four or five performances here over the past two years. It s one of my favorite places in Oakland and truly a hidden gem. I ve enjoyed jazz, soul, flamenco, and other performances here. The staff are friendly, and all volunteer their time to support performing arts. It s such a cozy intimate venue, and there s not a bad seat in the house!"
The Sound Room,"Nov 29, 2023",
The Sound Room,"Oct 29, 2023",Beautiful place! Great jazz and hospitality! You can feel the passion of the owners!
The Sound Room,"Sep 29, 2023",
The Sound Room,"Sep 29, 2023","Great range of jazz-based music. Jazz, blues, big band, Flamenco, Brazilian, and more. We even saw a magic show there. The food is wonderful, great if you like a dinner show, and eating is not required."
The Sound Room,"Aug 29, 2023","My first time at The Sound Room. I went for my birthday as I LOVE jazz and live bands. I loved the vibe here. Seemed like most of the people there were regulars, which I wouldnt mind being a part of now that I know its a non-profit supporting local artists. We had the pleasure of seeing Chloe Jean who was phenomenal. If all the artists are of her caliber, Ill definitely go back again and again."
The Sound Room,"Jul 29, 2023","A friendly community music venue.  Acoustics uneven, service uneven, do not get their champagne drink (flat and tasted like diluted cough syrup).  Go for the music.  Easy seating."
The Sound Room,"Jul 29, 2023",
The Sound Room,"Jul 29, 2023",A sweet venue to enjoy live music and have a lovely night! We greatly appreciated the delicious drinks and fries as well.
The Sound Room,"Jun 29, 2023","Great cozy spot for jazz, music, and performances!"
The Sound Room,"Jun 29, 2023","Wonderful staff and overall a really good independent music venue. Consistently gets great, nationally renowned musicians coming through."
The Sound Room,"Jun 29, 2023","Great venue!!! Laid back atmosphere and the jazz we listened to was stellar! Also the hosts were warm and friendly and the drinks were fun. Great low key, but interesting date."
The Sound Room,"May 29, 2023",
The Sound Room,"May 29, 2023","Great intimate, music venue!!"
The Sound Room,"Apr 29, 2023",The best jazz club in the Bay!!
