place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,bebe32d865aa2c57cf210763ea017363,5,"Went to an Alice Glass concert here, and immediately loved this place. Its a small-to-medium sized venue that feels like a just right balance between low-key and intimate, while having enough space to not feel claustrophobic or uncomfortable. Drink prices were reasonable, and we also appreciated that there is some seating upstairs that still provides a view of the show.",a week ago,2024-03-22 13:01:48.716595,,,,0,304,210,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,6e2e9edcddfc71b9ca41164bde2834d7,1,Security over aggressive over people leaving that old bouncer need to retire before he gets hurt,2 weeks ago,2024-03-15 13:01:48.721434,,,,0,2,,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,50e734da1227e4497fc5300fc61064cb,5,This venue is great. One of the better sounding shows I have ever been to. The drinks are very reasonably priced for a dedicated venue and the staff was incredibly friendly and professional. Went on 3/5/24 to see Mclusky and they were amazing and sounded great.  Easy to get to from Bart and has a nice upstairs balcony area with a small amount of seating.,3 weeks ago,2024-03-08 13:01:48.722742,,,,0,6,1,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,3253c3090a74b68e1be4b6f13bb060d2,5,,3 weeks ago,2024-03-08 13:01:48.723914,,,,0,1,217,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,8c3780c0711e2a62c8fe4e16f1babff1,1,"Wack venue, sorry staff.",3 weeks ago,2024-03-08 13:01:48.725048,,,,0,11,,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,76f3b8280e40531e17e8faea2d46ffd9,5,,3 weeks ago,2024-03-08 13:01:48.726242,,,,0,8,165,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,29a7bcf20da6586bb4d5403877c196fa,5,"cute, small indie venue with nice staff. coat check was just a rack upstairs, no payment or supervision. sound quality was great but loud. had no service inside the venue.",3 weeks ago,2024-03-08 13:01:48.727366,,,,0,3,1,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,c36d76d6e571d4d53a8608215172f8ad,5,,3 weeks ago,2024-03-08 13:01:48.728593,,,,0,28,10,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,b3b93f34d6af406229b80e7e065bb446,1,Wanna be  is the only vibe coming from this club Id rather not come back here. Most of the staff will threaten you thinking their drugs is what keep the place alive. Avoid this trash place like a plague. Wish cops would shut it down.,a month ago,2024-02-29 13:01:48.729731,,,,0,9,,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,60a4a570481484e69dd0bdd3ab4b3401,5,One of the cooler small venues in the city. Just be aware that cell service often dies within the venue so youll need to make texts/calls outside.,a month ago,2024-02-29 13:01:48.730944,,,,0,85,9,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,f40ae36be39b41c6cf1609b4ad6488dc,5,,a month ago,2024-02-29 13:01:49.219682,,,,0,22,56,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,7f2d62fd1c2f7562975e68a65cea3954,5,Best night of my life. Mk.gee and Andrew Aged and Dijon were complete mages,2 months ago,2024-01-29 13:01:49.223709,,,,0,29,303,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,2f4e1c89861804c1c773b58cb12086b0,5,"Funky, grungy, cute, small, super local feeling little venue. Have seen some fun shows here. Good people watching. Staff/bartenders all seem great and kind. Be sure to bring cash for tickets at the door. Vibe town",2 months ago,2024-01-29 13:01:49.228445,,,,0,24,37,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,e5f23cfb9be0d7c933f01292381e2e74,5,,2 months ago,2024-01-29 13:01:49.231956,,,,0,12,6,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,04bbded5a8e7e6e712ee7472193a5aa5,4,Dope,2 months ago,2024-01-29 13:01:49.235283,,,,0,4,2,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,0fc6ff02f284446c8d0c28c56bcdeecf,5,I started to wonder if nerd nite people and yoi toki people are the same kind,2 months ago,2024-01-29 13:01:49.239199,,,,0,87,40,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,d603a79f4098480720cb95f4c0ebe04b,4,,3 months ago,2023-12-29 13:01:49.244441,,,,0,17,1,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,2ca10eaee6d12d3116c2e60e946da21b,3,"My kid wanted to go to a show here, and it said the performance time was 7-9 pm. Wrong! Doors didnt OPEN until 7, the opening act( didnt say there was one! ) didnt start until 8, show wasnt over until 10.  Not doing another concert here until theyre older.",3 months ago,2023-12-29 13:01:49.261679,,,,0,139,26,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,ad282b900d4121b580157704b4ab5c12,5,,3 months ago,2023-12-29 13:01:49.313921,,,,0,14,1,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,7b6739c06ca87032ec34c135c62843f7,5,,4 months ago,2023-11-29 13:01:49.326615,,,,0,5,,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,bb393daaf9abd0a8202a88465bfc87ae,5,,4 months ago,2023-11-29 13:01:49.889482,,,,0,10,4,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,1b61b59e871c90ebaba988fb98a2ea56,5,"How have I lived for so many years without knowing about Nerd Nite?? Such a novel and fun concept. As a fellow geek, I geek out over geeks. Love it.",4 months ago,2023-11-29 13:01:49.890596,,,,1,7,1,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,ef30b0d583991ec7ef6b51faa257e0ce,4,Thanks for having a comfy sitting area with fans in the balcony!  But the line to get in moved as slow as the line for Soarin at California Adventure,4 months ago,2023-11-29 13:01:49.891741,,,,1,4,,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,ec6925cc32aa0176e9fc098226353ec8,5,,4 months ago,2023-11-29 13:01:49.892837,,,,0,3,,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,e3f8d2c5c73fd09285d50b24776c8cf5,5,,4 months ago,2023-11-29 13:01:49.893793,,,,0,26,87,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,59246cb38b066228f395895e4a59ffbc,2,"Though I loved being at the front and being so intimate with one of my favorite artists, the security told me to take it down a notch after one of the first songs. The thing is, the artist played her most popular songs in the beginning, so of course Id be a bit energetic for this... anyways, I dont blame the security guards themselves- they were cool. Just think that wasnt necessary.",4 months ago,2023-11-29 13:01:49.894821,,,,0,20,15,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,1e38463a4213a4c12b440ad55cda0d26,5,Love the staff the venue and the vibes!  Fun spot easy to get to.,4 months ago,2023-11-29 13:01:49.895864,,,,0,10,,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,99072913b1e013b882d87cb2244aef8d,4,"Fun little venue with a bar and an upstairs section. Parking is terrible, so take BART.",4 months ago,2023-11-29 13:01:49.896956,,,,0,525,1250,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,3cfb4a24cc85e0cd420214dd7ab0afdf,5,"Saw a few of my favorite bands. Including girl in a coma, k. Flay, and Your Smith. Got to meet the band members every time. I always enjoy this venue. I go for the drink specials...best for the price so far, in my opinion. Update, I just saw g. Flip there and they were amazing !",5 months ago,2023-10-29 13:01:49.898110,,,,2,217,257,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,4875c0cccdcb8fe3f8fc3ee33231d8d8,5,Great little venue in Hayes Valley.,5 months ago,2023-10-29 13:01:49.899289,,,,0,15,10,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,661c9fc62902608e24a11da47723140d,4,,5 months ago,2023-10-29 13:01:50.418599,,,,0,29,237,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,3bd4610fc79e272fd3bd4ec7dc4c6cee,5,,5 months ago,2023-10-29 13:01:50.422203,,,,0,6,,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,b596cb131eaa5f1ad3c0821298bef8f9,5,,5 months ago,2023-10-29 13:01:50.425052,,,,0,3,,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,abc52d267b10636580e8b51c0b537c5a,5,Great acts and service - one of the best venues in the city no doubt,5 months ago,2023-10-29 13:01:50.427894,,,,0,66,,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,a90fc1e0746b83e2c9bc42ffcaebc5f5,5,,5 months ago,2023-10-29 13:01:50.430632,,,,0,5,,False,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,f7fc49c74ec1f54544798be9112cb141,4,"Lot of fun, small indie venue.  Always enjoy concerts at Rickshaw.",5 months ago,2023-10-29 13:01:50.432938,,,,0,101,51,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,a0bc9ff42de6abc10b0c306277f09850,5,,5 months ago,2023-10-29 13:01:50.435722,,,,0,,,,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,1599fa640f5ccd853c0c827e63dde2c7,5,Great place! Nice staff and sound.,5 months ago,2023-10-29 13:01:50.437656,,,,0,85,4,True,,
ChIJ7-1fxZ6AhYARmP0wJXXZ9nQ,Rickshaw Stop,ad41fa48b33d355a80c3263bd71a6458,5,Awesome and unique venue. Often very early on artists that end up being huge. Staff is super friendly. Everything you want in an independent local venue.,5 months ago,2023-10-29 13:01:50.440031,,,,1,31,,True,,
