place_id,place_name,review_id_hash,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,45f4300b79b91baaa497e956621056e5,5,,5 days ago,2024-03-24 13:03:47.986514,,,,0,100,1972,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,c303023b3893f967a736108a134c74ed,5,,a week ago,2024-03-22 13:03:47.989952,,,,0,126,29,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,47fc6161781bee7a949b525aa9d951c4,5,"Can t believe we have been sitting on this place!  Incredible venue, amazing musicians, lovely staff, and a reminder of why neighborhood nonprofits matter.  Keep doing great things The Sound Room!",2 weeks ago,2024-03-15 13:03:47.992494,Thank you! Hope to see you again soon.,2 weeks ago,2024-03-15 13:03:47.992494,0,54,1,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,9327a70a32c948efd585c6768e582459,5,My favorite spot for live local jazz.  Friendly and they serve yummy Food and drinks at very reasonable prices.,3 weeks ago,2024-03-08 13:03:47.995888,,,,0,10,4,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,7ac4f2fec69651a7ae2beadabab1e89c,5,Amazing venue! Amazing line up full of great musicians. A wonderful atmosphere and very professional staff.,a month ago,2024-02-29 13:03:47.998504,,,,0,103,288,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,5203e4992f83295634fb6b9d20d1a2a3,5,,a month ago,2024-02-29 13:03:48.000903,,,,0,1108,294,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,e53109b25d6c2e6b222e39e3887722a6,5,"Saw an outstanding, one of a kind show here. Jonathan Seiberlich and a quintet record release.",a month ago,2024-02-29 13:03:48.003202,,,,0,10,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,73bb0965d47adea94bf8eb141e6523a2,5,"Intimate venue, perfect for Flamenco and Jazz!",a month ago,2024-02-29 13:03:48.005482,,,,0,20,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,c9bcb654a24453639bab4c088a724837,5,,2 months ago,2024-01-29 13:03:48.007499,,,,0,128,366,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,c4b12b76862a85d5168f87ba1520e206,5,Great Music. Great people. Great experience. What else could one ask for.,3 months ago,2023-12-29 13:03:48.009401,,,,0,229,2027,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,6b61579618e792b1bc7bc826b0779e12,4,Super spot to hear your favorite music and grab a bite to eat!,3 months ago,2023-12-29 13:03:48.506366,,,,0,230,5127,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,1e6ab52c78b7d29ff1a98df0e6b45934,5,"Great place to see & hear well tempered music. And a fantastic place for musicians to showcase their talents.  Also, decent food & drink to boot. A Good choice to take your date out on the town.",3 months ago,2023-12-29 13:03:48.510253,,,,0,45,2,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,9849e756f32d69fec257dc742a294c64,5,Great sounding venue and ran by some very fine people!,3 months ago,2023-12-29 13:03:48.514135,,,,0,6,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,774e731ef842ddb08a74b69e00793160,5,"Second time Ive been to this venue and even better than the first. The intimate atmosphere , sound quality  and acoustics are amazing. I attended a Jules Leyton performance that was mind-bending.",4 months ago,2023-11-29 13:03:48.517171,,,,0,258,250,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,31c9ccaad1205500f7eafb4ac69b50a9,5,"Beautiful place and extremely friendly staff. Food was delicious and there were plenty of drinks to choose from. Maurice Tani and the American Blues & Noir were entertaining and I would go back to see them again, next time they are in Oakland.",4 months ago,2023-11-29 13:03:48.520091,,,,0,6,7,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,182aa784ea1370ae18018f860e6d1660,5,Great community-run jazz centre,4 months ago,2023-11-29 13:03:48.522974,,,,0,82,200,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,8acbfcd3d4b77973af0e5bc00c3271f4,5,"I ve been to four or five performances here over the past two years. It s one of my favorite places in Oakland and truly a hidden gem. I ve enjoyed jazz, soul, flamenco, and other performances here. The staff are friendly, and all volunteer their time to support performing arts. It s such a cozy intimate venue, and there s not a bad seat in the house!",4 months ago,2023-11-29 13:03:48.525816,,,,0,14,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,38e00e45010c1de139a68075b2cae4da,5,,4 months ago,2023-11-29 13:03:48.528187,,,,0,12,,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,f1800d866834638e2de0853d37a604c0,5,Beautiful place! Great jazz and hospitality! You can feel the passion of the owners!,5 months ago,2023-10-29 13:03:48.530251,,,,0,40,7,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,a053128c64ae510472931a0ce1ca5354,5,,6 months ago,2023-09-29 13:03:48.532674,,,,0,54,1,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,b14c34262e04d59561319a9d6a3f6199,5,"Great range of jazz-based music. Jazz, blues, big band, Flamenco, Brazilian, and more. We even saw a magic show there. The food is wonderful, great if you like a dinner show, and eating is not required.",6 months ago,2023-09-29 13:03:49.070490,,,,0,34,1,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,a034be87bb5ce69ed59675d504aa4d55,5,"My first time at The Sound Room. I went for my birthday as I LOVE jazz and live bands. I loved the vibe here. Seemed like most of the people there were regulars, which I wouldnt mind being a part of now that I know its a non-profit supporting local artists. We had the pleasure of seeing Chloe Jean who was phenomenal. If all the artists are of her caliber, Ill definitely go back again and again.",7 months ago,2023-08-29 13:03:49.073556,,,,1,3,15,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,bfa075338f44a07995b67b70d772df87,4,"A friendly community music venue.  Acoustics uneven, service uneven, do not get their champagne drink (flat and tasted like diluted cough syrup).  Go for the music.  Easy seating.",8 months ago,2023-07-29 13:03:49.076200,,,,1,152,185,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,22941e04d85b48d9527c192c7fcbe0cd,5,,8 months ago,2023-07-29 13:03:49.078993,,,,0,152,290,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,ac70bd255c4053af34a34386d7b6829e,5,A sweet venue to enjoy live music and have a lovely night! We greatly appreciated the delicious drinks and fries as well.,8 months ago,2023-07-29 13:03:49.081483,Thanks much!  Hope to see you again soon,8 months ago,2023-07-29 13:03:49.081483,0,32,88,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,e3c134ec754e003f2f7bfb82766135a7,5,"Great cozy spot for jazz, music, and performances!",9 months ago,2023-06-29 13:03:49.084771,,,,0,664,758,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,f23ac975bc218de75ced0746ba6da710,5,"Wonderful staff and overall a really good independent music venue. Consistently gets great, nationally renowned musicians coming through.",9 months ago,2023-06-29 13:03:49.087805,,,,0,158,2,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,7a22196287c87610247283a08814432e,5,"Great venue!!! Laid back atmosphere and the jazz we listened to was stellar! Also the hosts were warm and friendly and the drinks were fun. Great low key, but interesting date.",9 months ago,2023-06-29 13:03:49.090646,,,,0,58,1,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,63a3e20ecbd5ffdc41b384b0a4ac6c24,5,,10 months ago,2023-05-29 13:03:49.093721,,,,0,20,5,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,2fb571e047b5fe1cc1d220086c46e7fc,5,"Great intimate, music venue!!",10 months ago,2023-05-29 13:03:49.095935,,,,0,86,201,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,c84d845da4af7eb9fab35e1f735b27e9,5,The best jazz club in the Bay!!,11 months ago,2023-04-29 13:03:49.603733,,,,0,2,7,False,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,ed21ba9ce5d1832f0f842ff614c9e306,5,,11 months ago,2023-04-29 13:03:49.607235,,,,0,12,155,True,,
ChIJtcfRD62Aj4ARDKSnEYBuah4,The Sound Room,2975d9173dd3270a1b3adf75d11dad12,5,Food was surprisingly good.  Space was larger than I expected and the sound was true.  I want to see more shows at this place. The managers put their heart and soul into it.,11 months ago,2023-04-29 13:03:49.610287,,,,2,38,33,True,,
