,CompanyName,ReviewDate,ReviewContent,StarRating,ReviewType,Metadata
61ab619b2b49257fe294d0eb,dk-mba,2021-12-04 12:39:55,"Amazing Value!: I've learned so much since I joined August last year! For all the great info you get, the price is stellar.",5,Trustpilot,"{'ExperienceDate': 'December 04, 2021', 'AuthorName': 'Eóin McCartan', 'AuthorCountry': 'GB', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/61ab6193d70d4700125ea84a', 'ReviewLink': 'https://www.trustpilot.com/reviews/61ab619b2b49257fe294d0eb'}"
618e2c72fb38891f5f096205,dk-mba,2021-11-12 08:57:22,"5 stars because of how important it is…: 5 stars because of how important it is the topics Damian teaches and how simple he breaks it down for anyone from different parts of the world to understand. A man that knows his stuff and above all, a good teacher.",5,Trustpilot,"{'ExperienceDate': 'November 12, 2021', 'AuthorName': 'Victor Gborge', 'AuthorCountry': 'NG', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/618e2c646fb93e001228b337', 'ReviewLink': 'https://www.trustpilot.com/reviews/618e2c72fb38891f5f096205'}"
6184468075069a4da4999c1d,dk-mba,2021-11-04 20:47:12,"SO worth it: Best set of music marketing courses on the planet. It's not recycled knowledge either. Damian knows what he's talking about and knows how to take your music to the next level. He will tell you what you need to know, not necessarily what you 'want' to hear - but will give you a fantastic roadmap to get there.He explains things so well. I've watched the courses enough that I can explain things to my bandmates as if I'm now the music marketing expert. It's empowering.Worth the money - oh yeah. And also, best community around. Everyone seems to really care about and support each other.",5,Trustpilot,"{'ExperienceDate': 'November 04, 2021', 'AuthorName': 'Mr Robert Haley', 'AuthorCountry': 'GB', 'AuthorReviews': 4, 'ProfileLink': 'https://www.trustpilot.com/users/58f3d3100000ff000a8dc0c8', 'ReviewLink': 'https://www.trustpilot.com/reviews/6184468075069a4da4999c1d'}"
61636949d12ab8ef51632407,dk-mba,2021-10-10 22:29:29,"If you are a music artist you should…: If you are a music artist you should really look into this. Without the DK-MBA (Damian Keyes) my band wouldn't have had the success we had lately. Here you get all the information you need to release a song, create good content on social media, give value to your fans, build new relationships, grow as an artist, reach higher goals, work productively, save time, and much more.If you ever got a question, he's always there to help you out.",5,Trustpilot,"{'ExperienceDate': 'October 10, 2021', 'AuthorName': 'William Hult Nilsson', 'AuthorCountry': 'SE', 'AuthorReviews': 2, 'ProfileLink': 'https://www.trustpilot.com/users/6163693fa117a700128c86c1', 'ReviewLink': 'https://www.trustpilot.com/reviews/61636949d12ab8ef51632407'}"
618b84eb75069a4da49ea2ba,dk-mba,2021-11-10 08:38:03,Useful platform: Useful platform where you can meet many artists that are in the same position as you. Great platform where you can grow abs learn marketing strategies!,5,Trustpilot,"{'ExperienceDate': 'November 10, 2021', 'AuthorName': 'Ari Anna', 'AuthorCountry': 'GB', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/618b84e65cfb4f00124423d6', 'ReviewLink': 'https://www.trustpilot.com/reviews/618b84eb75069a4da49ea2ba'}"
6189109f75069a4da49c963d,dk-mba,2021-11-08 11:57:19,Incredibly valuable course & a very…: Incredibly valuable course & a very supportive community.The price is a steal.This should be a no brainier for anybody who wants to grow their music career.,5,Trustpilot,"{'ExperienceDate': 'November 08, 2021', 'AuthorName': 'Yannick', 'AuthorCountry': 'DE', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6189107b5680fb0012be525e', 'ReviewLink': 'https://www.trustpilot.com/reviews/6189109f75069a4da49c963d'}"
61637318d12ab8ef516326be,dk-mba,2021-10-10 23:11:42,"I am not a musician: I am not a musician, I started working with a band at the beginning of this year.  With zero experience in the music industry (besides loving music), I stumbled upon Damian's videos on Youtube.  After watching my first video, I immediately signed up for the DK online courses.  The courses are explained simply and straight to the point, no fluff.  What Damian teaches in his courses can be applied to almost any industry.",5,Trustpilot,"{'ExperienceDate': 'October 10, 2021', 'AuthorName': 'Uyanga E Khan', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6163730b3c4a8e0012a325f1', 'ReviewLink': 'https://www.trustpilot.com/reviews/61637318d12ab8ef516326be'}"
6164c41fd12ab8ef516435f1,dk-mba,2021-10-11 23:09:19,"Current, Consistent, Passionate, Music Marketing Guru: Damian Keyes, along with Ella Keyes have created a platform to help people (Musicians, Artist, Promoters, Labels) learn and grow using social networking/ marketing add campaigns ins and outs, to stay current, of what it takes to navigate around in the ever changing social media marketing frenzy world. Damian's integrity, passion, to help those in the DKMB community is above stellar. Informative videos, along with 2 live chats each week, also the DKMB community is amazing and helpful. Best Bang for your buck in the music marketing industry. Damian's life resume is a world of knowledge ( Music / Bussiness / Social Media ). He walks the walk, not just talks it. He is authentic.",5,Trustpilot,"{'ExperienceDate': 'October 11, 2021', 'AuthorName': 'Jade', 'AuthorCountry': 'US', 'AuthorReviews': 2, 'ProfileLink': 'https://www.trustpilot.com/users/5cf39fa1d0f746703f53adcf', 'ReviewLink': 'https://www.trustpilot.com/reviews/6164c41fd12ab8ef516435f1'}"
616687a275069a4da483aa44,dk-mba,2021-10-13 07:15:46,"Incredible value for money for any musician, artist or manager: I've been a member for about 6-7 months and have found such a wealth of knowledge from both Damo himself who is very active on the channels and the Facebook community. Worth EVERY single penny. He hosts weekly live streams and answers questions on top of the myriad of music business course and PDFs on the website. You can't go wrong!",5,Trustpilot,"{'ExperienceDate': 'October 13, 2021', 'AuthorName': 'Andy John Jones', 'AuthorCountry': 'IT', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6166879b8c8c0400129292f2', 'ReviewLink': 'https://www.trustpilot.com/reviews/616687a275069a4da483aa44'}"
6171bfd9234f1b1fe5611705,dk-mba,2021-10-21 19:30:33,Huge library filled with amazing content: DKMBA is awesome for independent musicians and artists that want to step up their marketing game. I've learned a ton so far and they just keep coming with new content all the time. Definitely recommending this to all my musician friends!,5,Trustpilot,"{'ExperienceDate': 'October 21, 2021', 'AuthorName': 'Melvin Rijlaarsdam', 'AuthorCountry': 'NL', 'AuthorReviews': 6, 'ProfileLink': 'https://www.trustpilot.com/users/5bc4c40b4de5666d341e8f88', 'ReviewLink': 'https://www.trustpilot.com/reviews/6171bfd9234f1b1fe5611705'}"
