,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
65e99bf39d22ff7ae745b31b,5,I'm probably at the older end of people…,"I'm probably at the older end of people who use this service, but even I have found it fairly easy to use Ditto to release my music. I love checking how streams are going and who in the world is listening to my songs, people I've never met and I'll never know. Its not big numbers and royalties don't meet recording costs yet, but its quite a buzz. ",2024-03-07T12:50:28.000Z,"March 07, 2024",customer,3,GB,https://www.trustpilot.com/reviews/65e99bf39d22ff7ae745b31b,https://www.trustpilot.com/users/5912e4ff0000ff000a968020
65eb31e1f4ddbcbf9776d2e2,5,CONSTANTLY IMPROVING,"CONSTANTLY IMPROVINGWhen i first started with Ditto I must say I did struggle with different things, but they have continued to work on the site and their customer service is really responsive and helpful. Now i'd say I have always been able to get my music to the masses with no issues and I appreciate that they continue to add features and improve the site!",2024-03-08T17:42:26.000Z,"March 08, 2024",Riddla,1,GB,https://www.trustpilot.com/reviews/65eb31e1f4ddbcbf9776d2e2,https://www.trustpilot.com/users/65eb313cde46690012434dbe
65eb2a8f307a2f1d462024c1,5,Ditto is awesome!,"I love Ditto! The platform is very user friendly and there are lots of tools right at your fingertips. They offer distribution to every digital platform you can imagine, and you always have the option to register your releases for national and worldwide charts for more exposure.",2024-03-08T17:11:12.000Z,"March 08, 2024",Mike Devious,3,US,https://www.trustpilot.com/reviews/65eb2a8f307a2f1d462024c1,https://www.trustpilot.com/users/65add497435c3300124a86d7
65ea17a1dd78cc8273ff11c1,5,I've been using Ditto for 7 Year's now…,"I've been using Ditto for 7 Year's now and they've been One of the best Distribution Company via my music. Like any company that exists , they do have their ups n down I mean sometimes they don't meet the requirements of a client which helps a lot to use ditto because their supports it's the number when it comes to helping out clients, not fast replies but they do make sure they fix your problem before the end of the day you've reported the issue. So far I'm happy with ditto and I don't see myself using another distributor.",2024-03-07T21:38:09.000Z,"April 05, 2023",Soulful Guru,1,ZA,https://www.trustpilot.com/reviews/65ea17a1dd78cc8273ff11c1,https://www.trustpilot.com/users/65ea17972605fd001287b1c6
65e638add4c188e521897e1e,5,Ditto music have improved alot in most…,"Ditto music have improved alot in most aspects:1.Publishing royalties2.Release approve3.Quick customer support4.100% royalties5.Quick royalties payout6.Quick pending withdrawal approvalPlease one more request, your team should try and consider shorten release time to 3-5 days instead of 10 days or still increase your artist plan fee and keep an option for immediate release (24hrs), just like Distrokid.Thanks, i will keep recommending other artists to ditto music as usual.",2024-03-04T23:10:06.000Z,"February 02, 2024",Kemisco Thy Young,1,NG,https://www.trustpilot.com/reviews/65e638add4c188e521897e1e,https://www.trustpilot.com/users/65e63885fcb78e001264021e
65e8a5af072b9ef09c07f792,5,Been with Ditto for about 10 years now,"Been with Ditto for about 10 years now. Any issues are quickly resolved. Fantastic analytical data which is massively helpful. Always things they can improve but overall I have never had any major issues. Now well over 1 million streams, here's to the next 10 years. Thank you.",2024-03-06T19:19:44.000Z,"March 06, 2024",Big Wolf Band TV,1,GB,https://www.trustpilot.com/reviews/65e8a5af072b9ef09c07f792,https://www.trustpilot.com/users/65e8a5a6ddfb8b00128468db
65e5f0aa3fd9a55407e385eb,5,Best Distributor For Indie Artists,We've been releasing and marketing with Ditto for some years now and the experience has been first class. The best distributor for Indie artists and small labels in the world. Any issues are dealt with by support very quickly and always helpful. Thanks Ditto xxxx,2024-03-04T18:02:51.000Z,"March 04, 2024",David Headspace,1,GB,https://www.trustpilot.com/reviews/65e5f0aa3fd9a55407e385eb,https://www.trustpilot.com/users/65e5f02aa285d30012d5fcc0
65e9d75deeb8a447ceef4857,5,Ditto is the easiest,"I have used many of the main-stream music release platforms and without doubt, Ditto is the easiest, most stress-free and user-friendly service out there - and such great value for money!",2024-03-07T17:03:58.000Z,"March 07, 2024",Bruce Robinson,3,GB,https://www.trustpilot.com/reviews/65e9d75deeb8a447ceef4857,https://www.trustpilot.com/users/5cf3a8b0bd95205b6e32644d
65e61a4882dddee984b34703,5,Just like any other company Ditto has…,"Just like any other company Ditto has its flaws but what i do appreciate is the communication. If you pick up a flaw and raise it up with their team surely a resolution to the problem will be worked out. I've been releasing music with Ditto for years and yes we have clashed heads from time to time but all i can say is , if no mistakes are being made then something is wrong. I believe in Ditto and trust that their services will continue to get better and better as they have over the years. Would i recommend them? Yes i would because the small 'bugs' you face with them trust me you will face with other distributors as well. Me personally , Ditto just has so much more to offer compared to other distributors.",2024-03-04T21:00:24.000Z,"March 04, 2024",Chugi 808,2,ZA,https://www.trustpilot.com/reviews/65e61a4882dddee984b34703,https://www.trustpilot.com/users/5cee91ecb6d0eee3682a90a5
65e51018c1a5e21ef7897085,5,Ditto makes the whole process of…,Ditto makes the whole process of releasing music easy and seamless along with great tools to help spread the message about my release. My music goes everywhere my fans listen to music and getting it there is easy and affordable thanks to Ditto.,2024-03-04T02:04:41.000Z,"March 03, 2024",Veryl Ferguson,2,US,https://www.trustpilot.com/reviews/65e51018c1a5e21ef7897085,https://www.trustpilot.com/users/61d8af7684e7d50013302409
