,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
65e7d3155efe2330c23dc8dd,5,"Real promotion,my release from 2018…","Real promotion,my release from 2018 made it into discover weekly,radio plays, saves. Truth",2024-03-06T04:21:09.000Z,"February 01, 2024",Vonco PGF,1,US,https://www.trustpilot.com/reviews/65e7d3155efe2330c23dc8dd,https://www.trustpilot.com/users/65e7d30c5d3483001137b206
65e05df080659140a655996d,1,It’s a scam service,"It’s a scam service! Fake plays! You are going to risk your Spotify catalog. When their service ended,  Spotify warned me about not genuine organic traffic on the tracks, I tried hard to contact the Musicvertising team without any success. They disappeared!",2024-02-29T12:35:28.000Z,"January 14, 2024",MP,1,IT,https://www.trustpilot.com/reviews/65e05df080659140a655996d,https://www.trustpilot.com/users/65e05d9798e1870012ac8261
65dbb1b694268f422e46346d,1,Do not use their service,"Do not use their service!  Yes, you'll get lots of listens on your Spotify tracks, but you also risk having your tracks flagged by Spotify and removed for artificial hits.  Happened to my band and there is no help from Musicvertising.",2024-02-25T23:31:34.000Z,"January 12, 2024",John,2,US,https://www.trustpilot.com/reviews/65dbb1b694268f422e46346d,https://www.trustpilot.com/users/555389ac0000ff0001becaeb
65da69a3722787ca225fc3f5,1,Crap playlist and NO REFUNDS despite policy noted ,"Purchased a playlist placement with 14k followers and had my song put on it...… sat back hoping at get a fraction of that as streams and got. trying to give it time to kick in i waited 2 weeks and them emailed them hoping they would move me to another playlist or give a refund (as they have a moneyback guarantee) but was told ""maybe they are listening quickly and skipping it"" to which that wasn't a reason to move the song or get a refund. Quote from the website ""If, for any reason, we fail to deliver your services or you're not happy with the results within 30 days, we refund your investment."" ",2024-02-25T00:11:48.000Z,"January 19, 2024",KIIX,3,US,https://www.trustpilot.com/reviews/65da69a3722787ca225fc3f5,https://www.trustpilot.com/users/65da43556cab9c0011213688
65d52a9592bba429f055f72f,2,Too many bot plays ,If use them expect a lot 🤖 bot plays for sure it’s not organic at all from my experience stay way unless you like a bunch fake plays and numbers. One thing is for sure your numbers will go up fast but not in right way. ,2024-02-21T00:41:25.000Z,"October 09, 2023",Siron,3,US,https://www.trustpilot.com/reviews/65d52a9592bba429f055f72f,https://www.trustpilot.com/users/5824ab3b0000ff000a560f0c
65c00d3aa40b55b0aa4817f8,1,Penalized by Spotify,"Haha, I'm not even mad anymore. It's just sad. Even your explanations to these people whose songs you've gotten removed are a joke. Spotify literally emailed me themselves about the songs that were taken down because of the fake streams and bot activities done by this ""promotion"" company, I didn't even have a back-up for them, lost forever and for what? To make money off people, thinking that the promotions are real and ""organic""? these are hardworking people who just wanted to spend their hard-earned money on bettering their lives by promoting their music for a chance of success in this industry.  But hey!, you got us this time...",2024-02-05T00:18:35.000Z,"February 04, 2024",Jovell O Bailey,5,US,https://www.trustpilot.com/reviews/65c00d3aa40b55b0aa4817f8,https://www.trustpilot.com/users/5669e7610000ff0001f24969
65ab467549d5690797283d60,1,SCAMMERS,"If I could leave 0 stars I would. This company got my entire album removed from Spotify, as I thought the streams were organic. They refused to give me a refund. I plan to file a class action lawsuit with my entertainment lawyer if they don't comply. Please comment if you are interested.",2024-01-20T06:05:10.000Z,"January 19, 2024",Sundarri Maria,2,US,https://www.trustpilot.com/reviews/65ab467549d5690797283d60,https://www.trustpilot.com/users/6222a0b92b910c0012c5a90f
659d80d98e207fa7440132c1,1,Do Not Get Involved,I used Musicvertising in good faith - I have two strikes against my Distrokid accound via Spotify and I have also had all content removed and royalties lost on my Sound On account. Do not do this and pay the price like I did. There reply is nonsense I have recently had a track removed from Spotify for bots. Only marketing company I used is Musicvertising. Once Spotify clock it you have to take a number of humiliating tests on Distrokid and watch some stupid video of a bloke telling you that there are no genuine marketing methods aside from Spotify. Seriously do not do this to yourself.,2024-01-19T14:50:27.000Z,"December 09, 2023",Customer,14,GB,https://www.trustpilot.com/reviews/659d80d98e207fa7440132c1,https://www.trustpilot.com/users/5931809f0000ff000a9f2da9
65a9892e55ac0fbd86df75b9,1,They double charged me three times,Attempted to use this service three times. The company double-charged me each time. I was forgiving as it is a young company but I'm convinced now it is their business practices. I still of not been reimbursed for the most recent double charge.,2024-01-18T22:25:19.000Z,"November 18, 2023",Jason,1,US,https://www.trustpilot.com/reviews/65a9892e55ac0fbd86df75b9,https://www.trustpilot.com/users/65a9890d7649550011c7bcde
656d9b3a7a25bf21047fbf60,1,I was using it for a while thinking I…,I was using it for a while thinking I was gettin authentic steams until today where I got a strike when I logged into my DistroKid from spotfiy. You guys promote genuine streams a followers but now my account is at risk bc you guys falsely advertised that everything was 100% real. For anyone thinkin bout buying any Spotify promotion from them DONT!!!,2023-12-04T11:26:18.000Z,"December 04, 2023",Dominick Dambrosi,1,US,https://www.trustpilot.com/reviews/656d9b3a7a25bf21047fbf60,https://www.trustpilot.com/users/656d9b33b7323900122b34a0
649e06b90d2018566f3c9bdb,5,Successful Promoting. Musicvertising are great because they…,Musicvertising are great because they have increased my streams astronomically. They can promote 4 of your songs on Spotify for 1 monthly affordable charge. They constantly update me with emails that show me the different ways in which Musicvertising can promote your music which will increase your fanbase.   Many Thanks From Robert.,2023-06-30T00:33:29.000Z,"June 29, 2023",robert dove,1,GB,https://www.trustpilot.com/reviews/649e06b90d2018566f3c9bdb,https://www.trustpilot.com/users/649e069d245c4500110748c2
656f332ca64c3ff9468a4172,1,Musicvertising is a scam,"I had been flagged by Spotify after a few months with Musicvertising. They outright deny any wrong doing, only refunded me less than 50% of my monthly fee (not the whole thing like they said they would) plus they're claiming I was ""satisfied"" because 30 days initially had passed without complaint. This is worse since it takes a while for Spotify to identify this happening, and imagine hundreds of thousands of musicians doing this same thing. Musicvertising is rich and we lost our ""fake engagement"" royalties AND hard earned money.I will be looking into a legal remedy soon, since it appears they're an all around scam agency.",2023-12-05T16:26:52.000Z,"November 20, 2023",Johnny,1,US,https://www.trustpilot.com/reviews/656f332ca64c3ff9468a4172,https://www.trustpilot.com/users/656f331b392ecb00125f4b43
6438755bee638faf16e4c5f8,5,I see lots of people lying here…,"I see lots of people lying here (obviously competitors trying to take them down) as streamings CANNOT vanish from Spotify because you haven't renewed your subscription. This is hilarious to say the least. Streamings could vanish IF Spotify erases them, which I still hope it won't be the case, by the natural, human behaviour of the traffic.I believe this is real, organic traffic, generated by ads, but I still have to wait until the end of the campaign to be sure about it.This has been opening me some opportunities on Spotify, so so far so good. Let's see after the 30 days.",2023-04-13T23:34:19.000Z,"April 13, 2023",Luis Almeida,9,PT,https://www.trustpilot.com/reviews/6438755bee638faf16e4c5f8,https://www.trustpilot.com/users/5f19c49c6b921f1408c0bee9
6324f1bb6a3e1ed2c3d507a0,5,Musicvertising is an amazing service…,"Musicvertising is an amazing service made to benfit artists in all genres! My band Rubber Cox recently dropped an EP with old songs... We decided to use Musicvertising to help us get our music on Spotify playlists... Within short time thousands of uniqe listeners and streams are pouring in! Now we are exited an soon in the studio to make some new really good tunes!We are most grateful to Musicvertising! Because of the results on spotify, the band has gained confidence, and we are inspired to make new wonderful music!",2022-09-16T23:59:23.000Z,"September 16, 2022",Christian Numme,2,NO,https://www.trustpilot.com/reviews/6324f1bb6a3e1ed2c3d507a0,https://www.trustpilot.com/users/608304aac6cbd80012f46ab5
6560c911afd11e91088aecbd,1,This company violates Spotify's TOS,"This company violates Spotify's TOS. They use bots, and other nefarious methods of getting fake attention for your music. AVOID AT ALL COSTS! They always say the same thing and claim they are safe, but they are not! Just ask Spotify, and they will tell you!",2023-12-21T16:23:35.000Z,"October 31, 2023",HellRaizer,19,US,https://www.trustpilot.com/reviews/6560c911afd11e91088aecbd,https://www.trustpilot.com/users/611d4ae0f7d2050012a758b8
644ae6dd6702f2ac92f42534,4,Loving Musicvertising!,"Been loving musicvertising.com, My favorite part is that support is always on top of helping you with any needs you have!  The 4 star is because I think their website could be a little more user friendly for account navigation, I always have a problem getting into my account.  But over all they do exactly what you pay for!",2023-04-27T23:19:25.000Z,"January 01, 2023",Focus,1,US,https://www.trustpilot.com/reviews/644ae6dd6702f2ac92f42534,https://www.trustpilot.com/users/644ae6d475cc610013b6c4a5
62f627804c35e69ec52af12f,5,I Omar Rodrigues,"I myself as an artist.  I really appreciate musicvertisement. It can be tricky navigating the waters of this industry. Gaining fans, getting your music heard,  making money from your music can be a daunting task. MusicVertizment eliminates that piece of the puzzle for you by placing your music where it is best receive. I trust MusicVertizment with my precious love. Which is my heart-art.",2022-08-12T12:12:16.000Z,"August 12, 2022",Omar Rodrigues,1,US,https://www.trustpilot.com/reviews/62f627804c35e69ec52af12f,https://www.trustpilot.com/users/62f62774a86c6400125ff79c
631f63c76a3e1ed2c3d0d693,5,Satisfied,Have little to no listeners do to the fact I am reentering my music career as singer song writer after a few years with 2 new cds of work .up to 147 monthly listeners after 1week on Musicvertising and heading upwards.first cd is the Bottom of Red Rock Road which is now on spotify.This is a solo approach to the songs using acoustic in some more traditional blues and solo electric for that punch in others.The over all recording is very good as well as excellent lyrics and guitar playing.,2022-09-12T18:52:23.000Z,"September 12, 2022",Marc Lariviere,1,CA,https://www.trustpilot.com/reviews/631f63c76a3e1ed2c3d0d693,https://www.trustpilot.com/users/631f638343ffa10016b46fda
65ad8e14bccc1c6d81a613d1,1,I paid a onetime fee to get put on…,I paid a onetime fee to get put on playlists and they were supposed to email me a link to the playlists and they never have.They just keep ducking and dodging my emails. But Liz Young can sure send me emails about discounts but never reply. This company is a scam. I just want a refund or I will put Liz Young and her email on blast here.,2024-01-21T23:35:17.000Z,"January 21, 2024",David Moreno,1,US,https://www.trustpilot.com/reviews/65ad8e14bccc1c6d81a613d1,https://www.trustpilot.com/users/65ad8cf4d6a435001250b457
