,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
6564f34d4e64b1a97a615784,4,Alexx hyped us up that our song would…,"Alexx hyped us up that our song would be a good fit for their playlist network. Ordered services and they could not place the song after 12 business days. Requested and received a refund. Time is money.UPDATE:11/28/2023Thanks for your response. We're perfectly aware of your terms. For us to wait and watch ⌚ 3 more days we figure what will those 3 days do that 12 days hadn't already. That's 3 days early that we can move that budget around. So, respectfully that we got an early refund we'll change our rating.",2023-11-28T16:19:41.000Z,"November 18, 2023",The Resource Music Group LLC,12,US,https://www.trustpilot.com/reviews/6564f34d4e64b1a97a615784,https://www.trustpilot.com/users/63645b3f0597f900131abd0f
64c0d61f9a77c72047437689,5,This course was a real turning point…,"This course was a real turning point for me! It really helps to reach the right people, the ones who really like your music and then follow you, instead of just throwing money out and hoping you'll reach someone by chance.Now I can also actively engage with the marketing of the record label and tell them exactly what we want to spend our budget on.",2023-07-26T10:15:27.000Z,"May 03, 2023",Rupert,1,DE,https://www.trustpilot.com/reviews/64c0d61f9a77c72047437689,https://www.trustpilot.com/users/64c0d5d54fbda7001269e603
64c1917a3b5b99c6f2324cab,5,Worth the money,"Any product needs advertising to sell, music or beer, or dog food. In May 2023, I had zero listeners and followers on Spotify, now I have 530 listeners and 46 followers. Yes, learning and advertising for one’s music cost money, but music not listened to is silent music.",2023-07-26T23:34:50.000Z,"July 26, 2023",Mit Sandru,1,US,https://www.trustpilot.com/reviews/64c1917a3b5b99c6f2324cab,https://www.trustpilot.com/users/64c1916779f4110012306384
643f9f92b93f6519b396903f,5,Amazing Spotify Growth Formula,"The Spotify Growth Formula that Ryan teaches is top notch. He does a great job teaching us all every detail on how to properly create custom audiences, events, and ultimately run conversion ads. He's genuinely a great guy to learn from, and I'm really glad I took a chance on his course!",2023-04-19T10:00:18.000Z,"April 19, 2023",Daniel Adelstein,2,US,https://www.trustpilot.com/reviews/643f9f92b93f6519b396903f,https://www.trustpilot.com/users/643f9f8205b35f0012653e8f
649b5f07fb81bd770d6e4bce,5,I’m the director of Unstoppable Media…,"I’m the director of Unstoppable Media and co-artist of music duo, Always Hope. I can’t say enough how thankful I am to work with Indie Music Academy for our music promotion.  Because of their fantastic group of playlist curators, our music and message has been put in front of more people than we could have done by ourselves.  We look forward to having a continued partnership with them for our future music releases.",2023-06-28T00:13:27.000Z,"June 27, 2023",Zack Davis,1,US,https://www.trustpilot.com/reviews/649b5f07fb81bd770d6e4bce,https://www.trustpilot.com/users/649b5f007184af0012f0fee8
6477a8252c97ecf5144f0cd5,5,Indie is the ONLY company I trust my…,"Indie is the ONLY company I have trusted my streaming platform music Promotion to, as they work is legit network pitching my songs on my behalf, with 100% organic streams, great playlists and no BS. Helped me to kick start my music career, and find listeners. Because of their manual process, it does not always happen quickly, not all songs find home, but they never overpromise either. My experience has been nothing but majorly great - thank you.",2023-05-31T22:03:49.000Z,"May 29, 2023",Heart Rocker,1,FI,https://www.trustpilot.com/reviews/6477a8252c97ecf5144f0cd5,https://www.trustpilot.com/users/6477a7a39efc3d001503d480
652f176bdfd316d11f0953fd,5,Great service and great results!,Great service and great results!I would highly recommend Indie Music Academy to any indie musician needing a push in the right direction.,2023-10-18T01:23:23.000Z,"October 17, 2023",Lana Chacra,3,CA,https://www.trustpilot.com/reviews/652f176bdfd316d11f0953fd,https://www.trustpilot.com/users/64f9d688179a94001272a7e0
63ea6ff89b64b1bdaf56211c,2,Not amazing and a bit suspicious,"Overall it worked in a way, but very very suspicious. I’m on Official Editorial playlists and I see very very big differences on the data analysis. It seems so odd that the track I submitted to Indieacademy, got 300 streams a day and then boom, nothing. Regardless the fact that the playlist was very weird. I’m not an expert some people told me it looks fake, I really didn’t get any real engagement as I got on other playlists that has nothing to do with indiemusic, and the MAIN THING, It’s sooooooo expensive for what it is. There’s a lot to improve!",2023-02-14T22:05:11.000Z,"February 13, 2023",Daniel,3,IL,https://www.trustpilot.com/reviews/63ea6ff89b64b1bdaf56211c,https://www.trustpilot.com/users/63adc4671b576500139e6eb8
643efed3670113eb7a1621af,5,Spotify Growth Formula is an A+!,"I have really enjoyed IMA's Spotify Growth Formula course. It has been 3 months, and we are almost finished. While my Spotify growth isn't where I'd hoped it would be by now, it definitely has increased, and I know it's going to get better as my ad creatives improve. More importantly, I have honestly learned so much about how to run PROPER Facebook ads. I have a much better understanding of the way things should be done and WHY they should be done that way. Ryan has been very hands-on, and he is not only knowledgeable, but also just a genuinely NICE guy. Thanks for your patience, Ryan. I know I was tough at times!",2023-04-18T22:34:27.000Z,"February 06, 2023",SongwriterStephanie,2,US,https://www.trustpilot.com/reviews/643efed3670113eb7a1621af,https://www.trustpilot.com/users/6398c8c432cb890014d3d59c
643d9f28dc09706ceb79d28d,5,I've taken several courses at the Indie…,"I've taken several courses at the Indie Music Academy. I started out as a member of the Indie Growth Coaching Community 3 years ago and found immense value in the Song Launch Formula, which was a course built into that community. I was also super impressed with Ryan Waczek's teaching and the amount of attention he gave each student. Later I took the Music Selling Through Storytelling course, which massively improved my copywriting skills and made all my communications with my fans better. Since then I've also used the IMA's Spotify promotion service and was very happy with the communication from the team. I had one of my songs placed within 2 days the first time and the second time it took a few months for my song to be placed (but I understand that's the nature of influencer marketing). Over all, my experience at the IMA has always been a 5 star one.",2023-04-17T21:34:00.000Z,"April 17, 2023",Marcelo Cervone ,3,GB,https://www.trustpilot.com/reviews/643d9f28dc09706ceb79d28d,https://www.trustpilot.com/users/5e7494d6dffcf78dbf8e5f30
