,CompanyName,ReviewDate,ReviewContent,StarRating,ReviewType,Metadata
660c46fa064513b1194c7ce6,moonstrivemedia,2024-04-02 19:57:14.000,"The Best!!   Simples!: I`ve recently just finished my last campaign with Moonstrive Media.  Believe me when I say, they are the best promotion company for your digital content on Spotify and YouTube.  They do what they say on the tin!! Can`t be simpler, and should you get a question, they are fast to respond!All in all and excellent company to work with and my next campaign is already to send",5,Trustpilot,"{'ExperienceDate': 'March 22, 2024', 'AuthorName': 'Tony Powell', 'AuthorCountry': 'GB', 'AuthorReviews': 9, 'ProfileLink': 'https://www.trustpilot.com/users/61a108764d9eb70012650dc9', 'ReviewLink': 'https://www.trustpilot.com/reviews/660c46fa064513b1194c7ce6'}"
65fe12fbc325a6eb123ddedb,moonstrivemedia,2024-03-23 01:23:40.000,Although I never got anywhere near the…: Although I never got anywhere near the 100k I did get a boost and expanded my listeners to over 60 countries.I have no regrets. I just submitted another song and am anxious to see how it does.Thanks for what you do.a.d.andersen,4,Trustpilot,"{'ExperienceDate': 'March 18, 2024', 'AuthorName': 'Arne Andersen', 'AuthorCountry': 'US', 'AuthorReviews': 3, 'ProfileLink': 'https://www.trustpilot.com/users/575d64590000ff000a287190', 'ReviewLink': 'https://www.trustpilot.com/reviews/65fe12fbc325a6eb123ddedb'}"
65df97ed9e7c3c9815544aa9,moonstrivemedia,2024-02-28 22:30:38.000,"erdingtonsound have promoted ""Messed with""…: erdingtonsound have promoted ""Messed With"" by ""The Nigel Purcell Trio"" and again positive signs, Saves of this track and others as a result and some increased traffic. The main thing however is what has happened previously with 2 of their songs, They should have stopped at around 5k based on previous promo but both are still creeping up towards 8k, it looks like this promo will do the same and possibly more..We will be using this service again shortly to promote the Trio Album, ""A small particle of luxury Volume 2""  ",5,Trustpilot,"{'ExperienceDate': 'February 28, 2024', 'AuthorName': 'Andrew Purcell', 'AuthorCountry': 'GB', 'AuthorReviews': 11, 'ProfileLink': 'https://www.trustpilot.com/users/62a881aa31098800117f942d', 'ReviewLink': 'https://www.trustpilot.com/reviews/65df97ed9e7c3c9815544aa9'}"
65ee40d74a238c408fe9c179,moonstrivemedia,2024-03-11 01:23:04.000,Though I am very happy with the number…: Though I am very happy with the number of listeners Moonstrive generated the very few playlist adds generated were even more disappointing since the playlists were not in the least way of the genres my song is suited for. If you are an Americana artist who has had success with Moonstrive I'd like to know. If you are an Americana artist seeking playlist promotion I'd suggest you look elsewhere. ,2,Trustpilot,"{'ExperienceDate': 'March 10, 2024', 'AuthorName': 'alan v', 'AuthorCountry': 'US', 'AuthorReviews': 4, 'ProfileLink': 'https://www.trustpilot.com/users/64a39567cb12ad0012309d44', 'ReviewLink': 'https://www.trustpilot.com/reviews/65ee40d74a238c408fe9c179'}"
65ce770ba42ee4261400747f,moonstrivemedia,2024-02-15 22:41:47.000,"Top 5 Companies for Passive Promotion: Our lead single ""Emotive Servitude"" had a very successful run for the duration of the 500K package. Fitting playlists ranging from military to gym workouts as well as other playlists that fit the high energy of the prog metal soundtrack. Will continue to use these guys for promotional work on all works older and newer. Not gonna lie, I've had my concerns with the SEO aspect of the promotional focus since Apeiron Bound is in the prog metal umbrella. On the other side of it, despite how experimental we can be, we also feel that there's enough melody and hooks to keep even casual music listeners engaged.",5,Trustpilot,"{'ExperienceDate': 'November 13, 2023', 'AuthorName': 'Andrew Stout', 'AuthorCountry': 'US', 'AuthorReviews': 2, 'ProfileLink': 'https://www.trustpilot.com/users/64ce2a78ea90230011678a3f', 'ReviewLink': 'https://www.trustpilot.com/reviews/65ce770ba42ee4261400747f'}"
6616cbaa8751e1d21de91de5,moonstrivemedia,2024-04-10 19:26:02.000,This guys are great ones: This guys are great ones. Thank you for your workThank you Janik and team,5,Trustpilot,"{'ExperienceDate': 'November 10, 2023', 'AuthorName': 'Ilia Larin', 'AuthorCountry': 'FR', 'AuthorReviews': 3, 'ProfileLink': 'https://www.trustpilot.com/users/5b4089104de5666d3425a609', 'ReviewLink': 'https://www.trustpilot.com/reviews/6616cbaa8751e1d21de91de5'}"
65d35775cecdaf8984665b48,moonstrivemedia,2024-02-19 15:28:21.000,We have been super happy with…: We have been super happy with Moonstrive Media. They delivered as promised by putting us on their playlists. We have also received multiple playlist adds by other users.,5,Trustpilot,"{'ExperienceDate': 'February 19, 2024', 'AuthorName': 'The Rust Show', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/65d3576bbd34690012b26e36', 'ReviewLink': 'https://www.trustpilot.com/reviews/65d35775cecdaf8984665b48'}"
65f72ad73e394ed4a0661e72,moonstrivemedia,2024-03-17 19:39:36.000,"We endorse Moonstrive Media.: Honesty, transparency and efficiency are core values we believe in when it comes to the marketing team we employ. Moonstrive Media is a solid service we endorse. Thanks for another effective music promotion.",5,Trustpilot,"{'ExperienceDate': 'March 17, 2024', 'AuthorName': 'The Resource Music Group LLC', 'AuthorCountry': 'US', 'AuthorReviews': 14, 'ProfileLink': 'https://www.trustpilot.com/users/63645b3f0597f900131abd0f', 'ReviewLink': 'https://www.trustpilot.com/reviews/65f72ad73e394ed4a0661e72'}"
65a56c458583f03f53313b31,moonstrivemedia,2024-01-15 19:32:54.000,Really impressed with Moonstrive Media…: Really impressed with Moonstrive Media having not really trusted companies doing this kind of thing. I'm very happy to report that my streams are considerably up and my followers too! Thank you guys. I will certainly be using you again.,5,Trustpilot,"{'ExperienceDate': 'January 15, 2024', 'AuthorName': 'Daz Shields', 'AuthorCountry': 'GB', 'AuthorReviews': 10, 'ProfileLink': 'https://www.trustpilot.com/users/58346fa20000ff000a59e102', 'ReviewLink': 'https://www.trustpilot.com/reviews/65a56c458583f03f53313b31'}"
64c9a7acd8604a5a0925a217,moonstrivemedia,2023-08-02 02:47:40.000,"We trust Moonstrive with our music: Moonstrive is our most trusted playlisting service on Spotify. The streams are real with no bots and we have grown tremendously since we started working with them. 2 things stand out, their playlists are extremely active and cost per stream s much lower than their competitors. Moonstrive is the real deal to compliment any artist growth strategy.",5,Trustpilot,"{'ExperienceDate': 'July 17, 2023', 'AuthorName': 'Peter Nyamora', 'AuthorCountry': 'US', 'AuthorReviews': 3, 'ProfileLink': 'https://www.trustpilot.com/users/64a870412188510012f617f1', 'ReviewLink': 'https://www.trustpilot.com/reviews/64c9a7acd8604a5a0925a217'}"
