,CompanyName,ReviewDate,ReviewContent,StarRating,ReviewType,Metadata
6623cb87a23eec8d3e00d353,playlistbooker,2024-04-20 16:04:56,"Signing up with Playlist Booker was one…: Signing up with Playlist Booker was one of the best decisions I've made for my music career. The convenience of their platform,combined with the expertise of their team, has made the promotion process seamless. I've been able to focus on creating music while they handle the hard work of getting my tracks in front of the right listeners.",5,Trustpilot,"{'ExperienceDate': 'January 05, 2024', 'AuthorName': 'Harvey', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6623cb86142dbc00118dfd38', 'ReviewLink': 'https://www.trustpilot.com/reviews/6623cb87a23eec8d3e00d353'}"
662792d5aa94b1b4a53f9e46,playlistbooker,2024-04-23 12:52:06,"Most of the time,I check where the…: Most of the time,I check where the streams are running from for verification if they're legitimate or not,and honestly, playlist booker's streams are totally real. I love to recommend their platform. ",5,Trustpilot,"{'ExperienceDate': 'April 23, 2024', 'AuthorName': 'Michael Jordan', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/662792d434a2a20012d10339', 'ReviewLink': 'https://www.trustpilot.com/reviews/662792d5aa94b1b4a53f9e46'}"
6624fc46693c8c1fcaa37baa,playlistbooker,2024-04-21 13:45:11,My experience was solid: My experience was solid. I really appreciated the algo campaign . The whole process was very easy . it took a little bit of time to kick in but it turned out very good.  I recommended using the playlist to help promote your music,5,Trustpilot,"{'ExperienceDate': 'April 21, 2024', 'AuthorName': 'Ben stugre', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6624fc45ce8f91001123bf25', 'ReviewLink': 'https://www.trustpilot.com/reviews/6624fc46693c8c1fcaa37baa'}"
662504b6adb36c8cd370a655,playlistbooker,2024-04-21 14:21:11,I typically look at the location where…: I typically look at the location where the streams are coming to verify if they are the real deal and to be honest it's legit. I highly recommend playlist booker. ,5,Trustpilot,"{'ExperienceDate': 'April 21, 2024', 'AuthorName': 'Amanda Thorn', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/662504b57491620012584957', 'ReviewLink': 'https://www.trustpilot.com/reviews/662504b6adb36c8cd370a655'}"
66278f6d6e5bb76172afb583,playlistbooker,2024-04-23 12:37:34,While their communication could use…: While their communication could use some improvement . I'm really satisfied with the delivery itself. I'll definitely be promoting my more and more songs through them .,5,Trustpilot,"{'ExperienceDate': 'January 11, 2024', 'AuthorName': 'Lillian', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/66278f6c3a70520012c5abe6', 'ReviewLink': 'https://www.trustpilot.com/reviews/66278f6d6e5bb76172afb583'}"
662516c53cc4b5922faa1650,playlistbooker,2024-04-21 15:38:14,Overall it's pretty good: Overall it's pretty good. I was looking to get into more Playlist but the amount of listeners I got was worth it. I just have to be consistent with release and hopefully keep growing. ,5,Trustpilot,"{'ExperienceDate': 'April 21, 2024', 'AuthorName': 'Leo Rhis', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/662516c4ce8f91001123d2a7', 'ReviewLink': 'https://www.trustpilot.com/reviews/662516c53cc4b5922faa1650'}"
6622a80ddfca46aa165174ac,playlistbooker,2024-04-19 19:21:18,"Playlist Booker has been a game-changer…: Playlist Booker has been a game-changer for my music career.The results have been phenomenal, and I can't imagine promoting my music without their services.The team  is incredibly professional and responsive,and they've helped me reach new audiences that I never would have found on my own.",5,Trustpilot,"{'ExperienceDate': 'April 06, 2024', 'AuthorName': 'Elliott', 'AuthorCountry': 'US', 'AuthorReviews': 2, 'ProfileLink': 'https://www.trustpilot.com/users/65f2d917e62aee0011fe6561', 'ReviewLink': 'https://www.trustpilot.com/reviews/6622a80ddfca46aa165174ac'}"
65f4294b0ca6a0ae869d18d6,playlistbooker,2024-04-12 16:55:25,"PB is an excellent platform for artists…: PB is an excellent platform for artists looking to receive precise feedback and naturally boost their streaming numbers. In my experience, it's the top choice available for these purposes.",4,Trustpilot,"{'ExperienceDate': 'August 19, 2023', 'AuthorName': 'Richard', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/65f4166e43ead00012855a72', 'ReviewLink': 'https://www.trustpilot.com/reviews/65f4294b0ca6a0ae869d18d6'}"
65fc8018c44e197157a421e2,playlistbooker,2024-03-21 20:44:41,No communication at all once you pay!: The last package I purchased was the Algorithmic package (the 70k-100k)package #138243 receipt January 23rd. After the allotted time went by I checked and It wasn't even close to what I paid for. I sent multiple emails about the situation and never got a response back. I have reached out multiple times and still nothing. Unfortunately I wouldn't recommend since from my experience I couldn't even get support to respond me.,1,Trustpilot,"{'ExperienceDate': 'March 21, 2024', 'AuthorName': 'Mychelle Bell', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/65fc7fde59b26800127bc6cd', 'ReviewLink': 'https://www.trustpilot.com/reviews/65fc8018c44e197157a421e2'}"
662792d37c96e38ed2819f60,playlistbooker,2024-04-23 12:52:04,"As the other streamers: As the other streamers, I wanted more listeners, and thanks to playlist booker, I've got that now. ",5,Trustpilot,"{'ExperienceDate': 'April 08, 2024', 'AuthorName': 'Braxton', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/662792d2e8a9ff0011549d4e', 'ReviewLink': 'https://www.trustpilot.com/reviews/662792d37c96e38ed2819f60'}"
65ed3409e6c9efd967280daf,playlistbooker,2024-03-10 06:16:10,"THEY IGNORE YOUR EMAILS: I’ve tried contacting these guys 4 times in the span of a week (THEY NEVER RESPOND TO YOUR EMAIL) they just ignored me after I got an email from my distributor about artificial streams.  I woke up one morning with all of my biggest songs taken down from all streaming platforms.  I was heart broken 💔 and they continued to ignore me.  DO NOT use playlist booker especially if you are an up and coming artist with a dream and you’ve put in so much money into your music because the feeling really sucks to start all over from scratch. As soon as they get an email about fraud, they duck and hide and ignore your emails, they are scammers and the worst ever!",1,Trustpilot,"{'ExperienceDate': 'February 27, 2024', 'AuthorName': 'Gino Gecko', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/65ed33f5de46690012445035', 'ReviewLink': 'https://www.trustpilot.com/reviews/65ed3409e6c9efd967280daf'}"
65df4c40d52a104c8a69f570,playlistbooker,2024-02-28 17:07:45,"Unfair business practices: Used there service for years.They offered the algorithm option.At first it worked.However,The last year that campaign doesn’t work.When you E-mail them about performance,Henry their representative will promise he will continue your campaign until your goals are met.What they do is stall you past 60 days.After 60 days you can’t dispute a chargeUnder credit card guideline.Their credibility and integrity can’t be trusted.",1,Trustpilot,"{'ExperienceDate': 'February 28, 2024', 'AuthorName': 'Chuck Furtado', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/65df49930152390012d9a40f', 'ReviewLink': 'https://www.trustpilot.com/reviews/65df4c40d52a104c8a69f570'}"
662128054c9a5c0dcc220793,playlistbooker,2024-04-18 16:02:46,"Playlist Booker has been an invaluable…: Playlist Booker has been an invaluable resource for my music career. The team's dedication to ensuring the success of their clients is truly remarkable, and their ability to strategically place my tracks on relevant playlists has led to a significant increase in my Spotify streams and a more engaged fan base. I can't recommend them highly enough.",5,Trustpilot,"{'ExperienceDate': 'April 04, 2024', 'AuthorName': 'Chilton Keats', 'AuthorCountry': 'CA', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/66212804199d2b00128167f9', 'ReviewLink': 'https://www.trustpilot.com/reviews/662128054c9a5c0dcc220793'}"
65e1550d89915dbcdaa4c20b,playlistbooker,2024-03-01 06:09:49,"« Artificial streaming on your music »…: « Artificial streaming on your music » : that's the message I received from Spotify for Artists after purchasing a 30k-50k listeners package on Playlist Booker. Next time, Spotify will remove my songs from the platform. But next time won't happen, I swear I'll never make the mistake to deal with Playlist Booker again. Be aware of that!",1,Trustpilot,"{'ExperienceDate': 'February 29, 2024', 'AuthorName': 'Mattilda R', 'AuthorCountry': 'FR', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/65e154f4f1b7800012807040', 'ReviewLink': 'https://www.trustpilot.com/reviews/65e1550d89915dbcdaa4c20b'}"
66228137a3a8a9a32350345a,playlistbooker,2024-04-19 16:35:35,"As an independent artist: As an independent artist, i was hesitant to invest in a music promotion service, but playlist Booker has proven to be worth every penny.The exposure they've generated for my music has led to a significant increase in stream, followers, and overall fan engagement.i'm incredibly grateful for their hard work and dedication.",5,Trustpilot,"{'ExperienceDate': 'April 02, 2024', 'AuthorName': 'Julie', 'AuthorCountry': 'CA', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/66228135a569930012c9d6fe', 'ReviewLink': 'https://www.trustpilot.com/reviews/66228137a3a8a9a32350345a'}"
65f3e6bb95d6743429b4aa70,playlistbooker,2024-03-15 08:12:11,"Long term user, 1+ year result: I have been using playlistbooker for more then a year now. They are giving me a consistent result.My songs was organically getting 8-10k plays daily before the promos, after using them for a long time, i received well over a million plays from their playlist.Now, even without there promo, im getting more then 15k daily playsI gained a lot of real fan from this service.Im happy overall, but their email response is often slow, especially when they are having a sale.",4,Trustpilot,"{'ExperienceDate': 'April 14, 2023', 'AuthorName': 'will jack', 'AuthorCountry': 'HK', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/65f3e5543483080012e16e3d', 'ReviewLink': 'https://www.trustpilot.com/reviews/65f3e6bb95d6743429b4aa70'}"
661d7b44360aba11f243f89c,playlistbooker,2024-04-15 21:08:53,"This was my first time launching a…: This was my first time launching a campaign with Playlistbooker, and I must say that I was positively surprised by, how effective it was. The process was very easy to follow whereas it also gives the artists a clearer view of what kind of playlists and genres their music is suitable for.",5,Trustpilot,"{'ExperienceDate': 'April 03, 2024', 'AuthorName': 'Huxleigh', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/661d7b43df518e00127fc859', 'ReviewLink': 'https://www.trustpilot.com/reviews/661d7b44360aba11f243f89c'}"
661597063220bac74f32cb84,playlistbooker,2024-04-09 21:29:10,"Great experience with them so far on…: Great experience with them so far on Spotify promotion. Good customer service. They kept me posted and sent me the URL's of the playlist where the songs had been placed. They spend time curating and finding the right list for a track's genre. Spotify stats showed a natural and organic result ( all over the world, gradual increase, few skips).",5,Trustpilot,"{'ExperienceDate': 'February 19, 2024', 'AuthorName': 'Miler Brown', 'AuthorCountry': 'CA', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6615970492f783001209e447', 'ReviewLink': 'https://www.trustpilot.com/reviews/661597063220bac74f32cb84'}"
65da437630a27c659d158661,playlistbooker,2024-02-24 21:28:55,"Purchased a 30-50k placement BUMMER: Purchased a 30-50k placement and was placed on 2 ""real"" playlist with about 30k followers each. exciting right? …. after a week I had received 11 & 13 streams from each of them. it was a waste of money IMO if they had actual ""Real"" followers I would expect at minimum a few hundred streams from each. they have a no refund policy so don't bother to complain. ",1,Trustpilot,"{'ExperienceDate': 'February 19, 2024', 'AuthorName': 'KIIX', 'AuthorCountry': 'US', 'AuthorReviews': 3, 'ProfileLink': 'https://www.trustpilot.com/users/65da43556cab9c0011213688', 'ReviewLink': 'https://www.trustpilot.com/reviews/65da437630a27c659d158661'}"
66178daddd81c369ccd260a9,playlistbooker,2024-04-11 09:13:49,"More than pleasantly surprised I wasn't…: More than pleasantly surprised I wasn't too sure what to think when we signed up for Playlistbooker, but we were more than pleasantly surprised . Very user friendly and responsive. Fantastic result. I highly recommend Playlistbooker to all those bands and artists who don't have access to the big machine .",5,Trustpilot,"{'ExperienceDate': 'January 05, 2024', 'AuthorName': 'Franklin', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/66178dab1ee7d70011cca3a7', 'ReviewLink': 'https://www.trustpilot.com/reviews/66178daddd81c369ccd260a9'}"
661a29529766a93c99be14d0,playlistbooker,2024-04-13 08:42:27,Playlistbooker really is the icing on…: Playlistbooker really is the icing on the cake for independent artists like myself. I have never felt so much organic love towards my music. I'm climbing up on listner's and on followers.,5,Trustpilot,"{'ExperienceDate': 'March 19, 2024', 'AuthorName': 'sean', 'AuthorCountry': 'US', 'AuthorReviews': 4, 'ProfileLink': 'https://www.trustpilot.com/users/65c730a39d46fe0011574b8d', 'ReviewLink': 'https://www.trustpilot.com/reviews/661a29529766a93c99be14d0'}"
661808f9d201c8d75ec52c88,playlistbooker,2024-04-11 17:59:54,If you are starting your Music career…: If you are starting your Music career it's good enough.,5,Trustpilot,"{'ExperienceDate': 'April 10, 2024', 'AuthorName': 'customer', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/661808f8eb9a710012646cf1', 'ReviewLink': 'https://www.trustpilot.com/reviews/661808f9d201c8d75ec52c88'}"
6617b4d8cd4553f14995c00a,playlistbooker,2024-04-11 12:00:57,My friend said he was over the moon…: My friend said he was over the moon with it.,5,Trustpilot,"{'ExperienceDate': 'April 10, 2024', 'AuthorName': 'Kevin Kim', 'AuthorCountry': 'CA', 'AuthorReviews': 2, 'ProfileLink': 'https://www.trustpilot.com/users/65f957228b385b0012539479', 'ReviewLink': 'https://www.trustpilot.com/reviews/6617b4d8cd4553f14995c00a'}"
6617783f45349104d91d8458,playlistbooker,2024-04-11 07:42:23,"Really good results though if you're…: Really good results though if you're not a typical popular genre there's a limited amount of curators which is totally fine if your promoting just one song. If you want to promote several you may run into the problem of there being a limited amount of playlists for your songs which in my case resulted in several songs on the same playlists making the reach not quite as beoad as i'd hope. That said, it was a great experience and i've been able to get over 40,000 streams in the past couple of months that are definitely legit. I have no doubt that with more curators added over time i will return more and more to this service. ",5,Trustpilot,"{'ExperienceDate': 'April 09, 2024', 'AuthorName': 'Lewis', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6617783deb9a7100126400ce', 'ReviewLink': 'https://www.trustpilot.com/reviews/6617783f45349104d91d8458'}"
66169259a3e028ecaef450a8,playlistbooker,2024-04-10 15:21:30,"Really easy to communicate with them: Really easy to communicate with them, the nron sign is been safe delivered.",5,Trustpilot,"{'ExperienceDate': 'April 09, 2024', 'AuthorName': 'Roomiya Fansaye', 'AuthorCountry': 'CA', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/66169258d9f13f001227edcf', 'ReviewLink': 'https://www.trustpilot.com/reviews/66169259a3e028ecaef450a8'}"
6615a138bbfe00c268c83b6b,playlistbooker,2024-04-09 22:12:41,These guys are the real deal: These guys are the real deal. Highly recommend if you are trying to grow your Spotify and get the best results for your tracks. ,5,Trustpilot,"{'ExperienceDate': 'April 08, 2024', 'AuthorName': 'Cedric', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/6615a137800ba50012f50376', 'ReviewLink': 'https://www.trustpilot.com/reviews/6615a138bbfe00c268c83b6b'}"
66159267e889a16eeb5d81a2,playlistbooker,2024-04-09 21:09:28,These guys are the real deal: These guys are the real deal. Highly recommend it you are trying to grow your Spatify and get the best results for yourt tracks.,5,Trustpilot,"{'ExperienceDate': 'April 09, 2024', 'AuthorName': 'Leonard', 'AuthorCountry': 'CA', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/661592655e15d5001107f9e1', 'ReviewLink': 'https://www.trustpilot.com/reviews/66159267e889a16eeb5d81a2'}"
66158f086a2a3a9be66fb9ee,playlistbooker,2024-04-09 20:55:05,"Actually worth it : Actually worth it . I have tired a few of these out to see if they actually work. And out of the 4 I have gotten, this is the only one to give me actual listeners that potentially stay. I would suggest for sure.",5,Trustpilot,"{'ExperienceDate': 'April 09, 2024', 'AuthorName': 'Michael', 'AuthorCountry': 'US', 'AuthorReviews': 2, 'ProfileLink': 'https://www.trustpilot.com/users/66158f07800ba50012f4f96f', 'ReviewLink': 'https://www.trustpilot.com/reviews/66158f086a2a3a9be66fb9ee'}"
