,CompanyName,ReviewDate,ReviewContent,StarRating,ReviewType,Metadata
6613cc3be7f1da60a7f2bcb5,reverbnation,2024-04-08 12:51:39,"Scammers and Thieves: Scammers hand in hand with N1M, and utter garbage. The number of people getting their stuff stolen is unspeakable.",1,Trustpilot,"{'ExperienceDate': 'April 08, 2024', 'AuthorName': 'KT', 'AuthorCountry': 'US', 'AuthorReviews': 3, 'ProfileLink': 'https://www.trustpilot.com/users/5c71fb2a70337a6551d1e3ef', 'ReviewLink': 'https://www.trustpilot.com/reviews/6613cc3be7f1da60a7f2bcb5'}"
65fc0f99f37a2aefd8d59169,reverbnation,2024-03-21 12:44:42,"Don't Waste You Money - Zero Support: We have been with them for many years, wasting $thousands in subscription fees. Had lots of social media sync problems over the last year, (if you can't sync social media then this is pointless), they use to answer support emails but no longer do. They DO NOT Care about their customers at all, ZERO support. The whole platform is just set up to cash in on artists ego, it does you no good at all. Cancelling our subscription & leaving the platform after 8 years. Enough is Enough.",1,Trustpilot,"{'ExperienceDate': 'February 21, 2024', 'AuthorName': 'Steve Baldwin', 'AuthorCountry': 'GB', 'AuthorReviews': 11, 'ProfileLink': 'https://www.trustpilot.com/users/5f292ceb07012e83409ebd97', 'ReviewLink': 'https://www.trustpilot.com/reviews/65fc0f99f37a2aefd8d59169'}"
662178aee09a3d5872c2cefa,reverbnation,2024-04-29 06:10:33,"Poor: Thieves, don’t do business with them. ",1,Trustpilot,"{'ExperienceDate': 'April 18, 2024', 'AuthorName': 'Glen Williams', 'AuthorCountry': 'GB', 'AuthorReviews': 6, 'ProfileLink': 'https://www.trustpilot.com/users/657732be2d2f97001118ddad', 'ReviewLink': 'https://www.trustpilot.com/reviews/662178aee09a3d5872c2cefa'}"
64f86299fcd3da1821341a3a,reverbnation,2023-09-06 13:29:29,"Took my music down and kept my royalties: After being a customer of their digital distrubution for over 7 years, they have just taken down every song I've ever uploaded, as well as my musician profile from every streaming platform. My account has been locked, with no explanation, no headsup. I've contacted their support and fraud prevention teams multiple times, with not a single response. This morning I saw that they had ""solved"" my tickets, still without an answer. My music AND the royalties I had earned have been taken hostage by this company and they are now ignoring me. Stay away from them.",1,Trustpilot,"{'ExperienceDate': 'September 02, 2023', 'AuthorName': 'Sherif Karama', 'AuthorCountry': 'CA', 'AuthorReviews': 9, 'ProfileLink': 'https://www.trustpilot.com/users/6011dd202c9d40001978acde', 'ReviewLink': 'https://www.trustpilot.com/reviews/64f86299fcd3da1821341a3a'}"
653be646159e8f47b3c8cfc1,reverbnation,2023-10-27 18:33:10,Reverberation is a SCAM!: Reverberation is a SCAM!! Somebody set up an account using my bank account number and $270 was stolen from my account!!! You can not get anyone to respond back via email or by phone. And I want to know WHO has stolen my account number. Speaking to anyone is a challenge!!! And I’m not happy that they let people set up accounts with no proof of authorization!!,1,Trustpilot,"{'ExperienceDate': 'October 24, 2023', 'AuthorName': 'Me, my five, and you', 'AuthorCountry': 'US', 'AuthorReviews': 4, 'ProfileLink': 'https://www.trustpilot.com/users/623b8b0523dff40012e50ffc', 'ReviewLink': 'https://www.trustpilot.com/reviews/653be646159e8f47b3c8cfc1'}"
62b47a22ba5bb6ef04211ca7,reverbnation,2022-06-23 16:35:14,The crowd review service is fake / shady billing practices: The crowd review service is fake. The billing practices are shady (auto renewals with a short window 1 year later and no communication/warning). Their paid lists do not increase any visibility to listeners. The DPK is garbage and venues avoid bands/DPK's from reverberation. The contests to access labels are also fake. This is a scam site - stay away.,1,Trustpilot,"{'ExperienceDate': 'June 23, 2022', 'AuthorName': 'Eric B.', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/62b479fd3782fa0013696129', 'ReviewLink': 'https://www.trustpilot.com/reviews/62b47a22ba5bb6ef04211ca7'}"
61cc27110430e828ebe1a271,reverbnation,2021-12-29 09:14:57,"Scam with N1M: Should be 0 stars. Reverbnation seems to be linked with another scam site, Number One Music. Almost impossible to get out of. Unsubscribing does not work for N1M who continue to send emails. Searches for a solution are sent to Reverbnation, so there is a clear link between the two parasitic scam sites. Help!",1,Trustpilot,"{'ExperienceDate': 'December 29, 2021', 'AuthorName': 'Graham Russell-Pead', 'AuthorCountry': 'ES', 'AuthorReviews': 25, 'ProfileLink': 'https://www.trustpilot.com/users/619e1c0de82aa60012821085', 'ReviewLink': 'https://www.trustpilot.com/reviews/61cc27110430e828ebe1a271'}"
603765c1f85d750b98a019d0,reverbnation,2021-02-25 08:54:25,"Truly & Utterly Worthless: Utterly, utterly terrible content! More than half the singers on there should have their voice chords cauterized so they are no longer capable of inflicting their noise on the world!Let's be honest folks if you're music is on here it means you've already failed as a musician...As for the platform directly any system that has to sneak content to users is bad to begin with but then having the check to ask me to rate it!Honestly you have no worth or value, the technical and cultural equivalent of a dead whale carcass - stinking, fetid and rotten!",1,Trustpilot,"{'ExperienceDate': 'February 25, 2021', 'AuthorName': 'Average Joe', 'AuthorCountry': 'GB', 'AuthorReviews': 3, 'ProfileLink': 'https://www.trustpilot.com/users/603765b0e3e1a6001ff008fb', 'ReviewLink': 'https://www.trustpilot.com/reviews/603765c1f85d750b98a019d0'}"
618cfa4301034f34babc1049,reverbnation,2021-11-11 11:10:59,"I wish i could give negative stars: I wish i could give negative stars, for their crooked nature. Reverb Nation is a toilet bottom feeding website that preys on musicians that just want to do good , but have no idea how the industry works. They constantly bombard you with BS lines like ""congrats, you've been selected"" or ""people are noticing you"" or blah, blah, blah get your slot on  a nowhere promotion that goes nowhere and impresses absolutely no-one . borderline criminal activity here.",1,Trustpilot,"{'ExperienceDate': 'November 11, 2021', 'AuthorName': 'nick phillips', 'AuthorCountry': 'US', 'AuthorReviews': 1, 'ProfileLink': 'https://www.trustpilot.com/users/618cfa3a4778230012b53189', 'ReviewLink': 'https://www.trustpilot.com/reviews/618cfa4301034f34babc1049'}"
61739fff234f1b1fe5624d54,reverbnation,2021-10-23 05:39:11,"NEVER JOIN HERE: NEVER JOIN HERE. TRUST ME.This network scams you about everything. From PR services, to music distribution. They will steal your royalties for various reasons, while your music does not violate any policy. Even when contacting the DSPs, they say that the revenue has been paid to the distributors. That proves they are arbitrarily keeping the money that should be 100% yours.Never spend money on this service. You will only LOSE, not GET anything in return.The law of cause and effect will come.",1,Trustpilot,"{'ExperienceDate': 'October 23, 2021', 'AuthorName': 'Dai', 'AuthorCountry': 'GB', 'AuthorReviews': 2, 'ProfileLink': 'https://www.trustpilot.com/users/60dd655847e6f30012749dd8', 'ReviewLink': 'https://www.trustpilot.com/reviews/61739fff234f1b1fe5624d54'}"
