venue_name,date,review
The Sound Room,"Mar 12, 2024",Great spot for live music. the space is intimate and the acoustics are fantastic. The staff are very kind too.
The Sound Room,"Mar 2, 2024","*Awesome hostess - she knows her people well*Great crowd - kids are welcomed*Never a bad seat in the house*Fresh yummy food*When the show is over, everyone goes home*Of course, the music is off the chain!"
The Sound Room,"Jan 18, 2024","The food was amazing!  The ambiance was fabulous. It's a very welcoming community.  The concert was excellent. It's very intimate and small, which is wonderful, because you really get to see the musicians close up making their magic!"
The Sound Room,"Aug 7, 2023","My first time at The Sound Room. I went for my birthday as I LOVE jazz and live bands. I loved the vibe here. Everyone came to listen to good music.  But seemed like most of the people there were regulars and for the most part knew each other.  This is a non-profit organization supporting local bay area artists. However, the audience was not very diverse.  As a Black American, I couldn't help but notice there were fewer than 10 Black people in the room, including the singer (we actually counted about 8).  We arrived just at 7:30 pm when the show started, so we didn't try the food.  But there was a separate area near the entrance where you could order and pick up your food and beverages and bring to your table.  We ordered a bottle of rose that was pretty good, and reasonably priced.  There was no table service, which was fine considering what you got with the cover charge, which was 3 hours of live performance.We had the pleasure of listening to Chloe Jean who was phenomenal. If all the artists are of her caliber, I'll definitely go back again and again.  If you don't mind this place not being very diverse, I highly recommend."
The Sound Room,"May 8, 2023","We heard Kenny Washington on Saturday night at the new Sound Room. It was our first time in the new building. Same great music, same wonderful seating actually even better than before. We paid for a table directly in the middle and didn't have to show up an hour early to get good seats. We felt we had the best in the house and I chose them on-line. Great to arrive a few minutes before the show started because our table was reserved for us. If you're a music lover, it's a great venue!!"
The Sound Room,"Mar 30, 2023","Would not recommend! When I entered the establishment I was greeted with a very aggressive ""Can I help you?! Can I help you??"" As opposed to the folks that walked in right before me and nothing was said to them. Can't speak on the experience of the music or anything else because as a person of color this instantly turned me away. I won't ever go back."
The Sound Room,"Jan 3, 2023","I have only been to the old venue, so I'm looking forward to seeing the new one. They really pay attention to details whether it be to the food & drink being served, or to the artist.Very intimate small venue. I liked the size of this venue, so we'll see how it compares to the new one. If I had my preference I would always choose small."
The Sound Room,"Dec 20, 2022","I loved the band, ambiance, vittles, and hosts!  Wonderful time all around for the grown and sexy. I'll definitely be back."
The Sound Room,"Dec 5, 2022",Great venue and staff.  Got a chance to catch a stellar jazz quintet there and grab a drink.
The Sound Room,"Nov 14, 2022",Intimate vibe with good acoustics and friendly staff. I highly recommend the Sound Room!
The Sound Room,"Sep 27, 2022","What a wonderful venue to see some live music! The Sound Room is an intimate experience to see wonderful, local performers play all types of live music. The owners are passionate about the quality of music they bring in. You can feel the love and hospitality the moment you walk in. The room is fairly small so the sound of the music is clear, bold and loud. They offer wine, beer and even some good food. This is a wonderful place for a date night & to sit back, relax and enjoy the musicians play great music."
The Sound Room,"Sep 3, 2022","Great band, great sound and a wonderful time!!!Lightening was good, we could see and each player's solo performance. We will be back."
The Sound Room,"Aug 26, 2022","Great spot! Perfect for intimate shows where you can really share the room with performers. First time there last night, but definitely not the last."
The Sound Room,"Mar 13, 2022","The venue was very cold ...the ac was in.  After the show, we came out to find our car window smashed ..we were parked on Broadway ...recommend using a parking garage"
The Sound Room,"Feb 27, 2022",Such a nice spot! Came here with some friends for a Brazilian samba performance. I was initially worried that the vibe would be pretentious (as some Jazz spots can be) but there was nothing but friendliness. It sounds like this space is much larger than their previous location. I really liked their brick lined semi-developed interior style. I will probably be going to more of their events.
The Sound Room,"Feb 5, 2022","The Sound Room is the hidden gem of a great Jazz club in Oakland. Richard & Karen, the mom & pop owners of the Sound Room have poured their hearts, souls, money, passion and sincere dedication to provide a home for top performing jazz, blues, soul & Brazilian artist with occasional comedy mixed in.     Richard & Karen make sure the musicians get paid as Richard & Karen are many times unpaid volunteers whom have put the Sound Room together at a hefty expense to them to provide great music for you.     Richard is an architect and the sound system and room acoustics are the best!They have recently rebuild the grand piano for optimal action and tone.    Many wonderful artist and have graced my body, mind & soul from the Sound Room and have left me singing.    Bravo Sound Room! Well Worth It!!"
