venue_name,user,user_location,date,review,star_rating
Bottom of the Hill,Gerald H.,"Fairfield, CA","Feb 25, 2024","Such an iconic venue in the city. We attended a private event there that had an open bar and small bites. Drinks and the bartender was great and the small bites menu were great.  There is a cozy section with a fireplace in the back and a small outdoor patio. Street parking only so you know how that is in the city. The venue was clean,  bathrooms clean and it felt safe for the area.  It's a good old fashion music venue everyone should visit at least once. Google it's history for famous artist that performed here.",4
Bottom of the Hill,Patrick G.,"San Francisco, CA","Dec 13, 2023","draft beers were pretty expensive and the tech for the music wasn't working. Artist had to request tech changes. Besides that, cool decor and cool crowd. Dive bar for sure",3
Bottom of the Hill,Jess L.,"San Francisco, CA","Nov 21, 2023","Love this venue. Strong drinks, dingy bathrooms, intimate stage, cool patio space! I've been here a couple times and it's always a great time!",5
Bottom of the Hill,Jessica D.,"San Mateo, CA","Oct 13, 2023","This is just a very cool venue. Bands are great and drinks are strong. Everyone is super nice and welcoming. Love the band posters and decor, definitely see a show here.",5
Bottom of the Hill,D.Bruce S.,"Averyville, Peoria, IL","Aug 19, 2023",Decades of great music. Kozic's legacy is proudly displayed in these storied walls. After 30 years I returned to the bay for a weekend and Friday Night BotH was hosting Off With Their Heads. So much of the music has left SF but this place remains as a crucial space for great music. Do yourself a favor and check out whoever's playing there.,5
Bottom of the Hill,jelina h.,"Alhambra, CA","May 26, 2023","Had the most amazing concert here for the Symposium! Venue is super intimate and everywhere you turn there is something new and interesting to admire. I loved the wall of past bands; it offers some neat music history. I also passed out before the show (I'm fine, just got overheated) and the staff was so caring and attentive. They gave me water and juice and let me sit by the bar to watch the beginning of the show while I recovered. If they see this, thank you so much!!!",5
Bottom of the Hill,Jay C.,"San Lorenzo, CA","May 26, 2023","Love this venue ! Inexpensive concert tickets and the vibes are fun and intimate . Everyone in the venue is friendly , from the bartenders to the people at the door . Food is also good and reasonably priced . They even have coat check so feel free to bring a jacket for the line",5
Bottom of the Hill,Jeff L.,"CA, CA","Mar 27, 2023",Great little venue for a concert. If you like small bands in a small place this is the place to go. Had a great time and drinks were very reasonable. Top notch performance from the bands we saw!,4
Bottom of the Hill,Charlotte H.,"San Francisco, CA","Feb 17, 2023","Been to this venue twice and I have an amazing night every time. The place is very intimate and well decorated with seats and tables in the back as well as a cute patio outside with a window where you can still see the band inside. I haven't eaten anything here but the drinks are great and they have free accessible water which is super helpful. Street parking is so easy, I wouldn't worry about that. Also, there's a dispensary nearby as well as a bar with some great food that you can rest at between shows. I recently went for a ""valentines fest"" show with a few bands that I love and they totally decked out the place in fun decoration which made the experience so much better.",5
Bottom of the Hill,Jerret H.,"Manteca, CA","Nov 19, 2022","Amazing atmosphere, great vibe, just all around great place to have a good time at!!!",5
Bottom of the Hill,Mildred R.,"San Francisco, CA","Nov 16, 2022","Came to listen to the performances of the bands. Tickets were not expensive. Atmospheric and soulful, but there are few places.",5
Bottom of the Hill,John S.,"San Francisco, CA","Nov 12, 2022","I don't have much to add. I saw Buck-O-Nine and Mustard Plug here. It had been so long since I'd been that I totally forgot what the stage looked like and even where it was. It's way smaller than I remembered, which guarantees a good show, unless the crowd doesn't know what it's doing, and every time I've been here, the crowd has known what it's doing.Super cheap tickets, no idiotic service charges. You save like two bucks for pre-buying. Plus the pre-buy setup is old-fashioned. They email a bunch of people, and you're on a list. I love it.The crowning glory on this occasion was they were looping a Killer Klowns from Outer Space DVD on the small TV on mute above the bar. In between sets and at other times, I found myself unable not to watch. It's scary even though it's not even though it's terrifying. Like utterly bone-chilling. The special effects suck, and they mostly sucked in 1988 as well. The decapitation part is the least scary part of the entire film. But the slow, silent chases! Give me more.",4
Bottom of the Hill,Sierra P.,"Yuba City, CA","Aug 10, 2022","If you know you know, if you don't, go find out! This place is just as fun to roam around & look at, as it is to watch a show. When the music stops, get yourself a drink & head to the patio that is covered in nature & art. The texture, the sound, the environment all if it was a blast .",5
Bottom of the Hill,Paul L.,"Yukon, OK","Jul 28, 2022","Me and a friend went here to see one of my favorite bands. My friend insisted on driving for some reason. When we finally entered the venue there wasn't space to breathe. I mean, genuinely packed! The bar was cash only but it was so packed that you wouldn't dare try to buy a drink there unless you were desperate. We left the venue early because we were both super uncomfortable and walked to my friends car that was broken into (back window was broken.) if I could go back in time and told my friend not to go I would. The crowd was bizzare and bumping into other people without saying sorry is the norm.",1
Bottom of the Hill,Jen T.,"Philadelphia, PA","Jul 8, 2022","EIGHT. DOLLAR. COCKTAILS. Like, what? Nowhere in SF can you get cocktails for $8 when it's not happy hour. And while they aren't the most delicious, who cares? They get the job done. You go for the music, the $8 cocktails are just a bonus. Great sound in an intimate venue, lots of diverse acts. Check them out! Find new music! Have fun!",5
Bottom of the Hill,Samantha L.,"West San Jose, San Jose, CA","Mar 14, 2022",Closed on a Monday at 10pm. Visiting town and thought I found a cool place after the warriors game. Psychhh... they were closed. Update your hours! My group was not the only disappointed one.,1
Bottom of the Hill,Julane S.,"Millbrae, CA","Mar 14, 2022",What a gem the bartender is amazing best old fashion ever. The music was fantastic our friends band was playing Bad Lemon. Great atmosphere,5
Bottom of the Hill,Kaylah G.,"Sonoma, CA","Oct 8, 2021",Shows amazing as always! One bartender (I didn't get names unfortunately) was amazing! She was blonde and so nice. Made sure my friends and I's bags were safe all night. There was a younger bartender with dark hair that was so unprofessional and rude. I was trying to give the blonde girl a nice tip for being so great and the other girl flipped out. Considering she was probably in her thirties she should know how to better treat customers. Venue as a whole is amazing though.,4
Bottom of the Hill,Daniel K.,"Pacifica, CA","Mar 26, 2021",I want to update my petty review and apologize  to bottom of the hill.  It's not their fault there's a lot of desperate people in the city.  Their just a cool club hosting some of the best music in the city at a great price.  Here's to a fast and full recovery and thanks for the great tunes.,5
