,Name,Address/Phone,Email,Web,Basic Rate,Format,Contact,Services,Clients,Additional location
0,DAUPHIN STREET SOUND,"651 Dauphin St.   Mobile, AL 36602 251-378-8028 ",info@dauphinstreetsound.com,facebook.com/dauphinstreetsound,Call or email for rates ,,,,,
1,RIVERLAND RECORDING STUDIOS,"513 Talucah Rd.   Valhermoso Springs, AL 35775 256-683-1740 ",,facebook.com/riverlandrecording,$65/hr to $80/hr. Contact us ,"Alesis HD 24, Pro Tools LE",,,,
2,SOUND OF BIRMINGHAM RECORDING,"3625 5th Ave. S.   Birmingham, AL 35222 205-595-8497 ",don@soundofbirmingham.com,soundofbirmingham.com,please call for info  ,,Don Mosley,,,
3,1ST CHOICE STUDIO,"650 N. 157th Dr.   Goodyear, AZ 85338 623-234-1787 ",info@billkeis.com,billkeis.com/producer,call for rates ,digital,Bill,,,
4,BRICK ROAD STUDIOS,"7944 E. Beck Ln., Ste. 160  Scottsdale, AZ 85260 480-788-3573 ",scott@brickroadstudio.com,brickroadstudio.com,"$500/day, $85/hr., flat rate available ",call for info,"Scott Leader, Mark DeCozio",,,
5,EPICENTRE RECORDING STUDIO,"104 E. Pierce St.   Phoenix, AZ 85004 480-270-2221 ",Joe@epicentre-recording.com,epicentre-recording.com,,24 Track Hybrid for digital and analog audio ,"Joe Bauman, Owner",,,
6,LUNA RECORDING STUDIO,"4500 E. Speedway Blvd., Ste. 86  Tucson, AZ 85712 520-260-7576 ",producer@lunarecording.com,lunarecording.com,Please contact us ,Pro Tools HD,George Nardo,,,
7,BLACKWATER RECORDING STUDIOS,"Cabot, AR 72023   501-424-9017 ",blackwat@blackwaterstudios.com,facebook.com/BlackwaterRecordingStudios,call for rates ,,Michael Sharpe,,,
8,CRYSTAL RECORDING STUDIOS,"2307 Brandon Rd.   Bryant, AR 501-681-7935 ",ray@crystalrecordingstudios.com,crystalrecordingstudios.com,please call for info ,,,,,
9,RANEY RECORDING STUDIO,"P.O. Box 17   110 S. Front St. Drasco, AR 72530-9282 870-668-3222 ",jonr@raneyrecordingstudio.com,raneyrecordingstudio.com ,,,,,,
10,25TH STREET RECORDING,"25th & Broadway   Oakland, CA 510-788-4089 ",info@25thstreetrecording.com,25thstreetrecording.com ,,,,,,
11,BLUE SEVEN AUDIO,"Central Fremont   Fremont, CA 94538 650-766-7212 ",csc@bluesevenaudio.com,facebook.com/bluesevenaudio,call for rates ,Pro Tools HD3,Chris,,,
12,THE DOCK STUDIO,"Sacramento, CA   916-403-1018 ",book@thedockstudio.com,thedockstudio.com,,See website for equipment list ,,,,
13,GULCH ALLEY STUDIO,"1407 Bush St.   San Francisco, CA 94109 415-226-9935 ",gulchalley@gmail.com,gulchalley.com ,,,,,,
14,LAUGHING TIGER,"1101 E. Francisco Blvd, Suite A   San Rafael, CA 94901 415-485-5765 ",ari@laughingtiger.com,laughingtiger.com ,,,,,,
15,MIDDLERIDGE STUDIOS,"V6 Ranch  Parkfield, CA 93451 805-610-8471 ",middleridgestudio@gmail.com,middleridgestudio.com ,,,,,,
16,PRAIRIE SUN,"P.O.Box 7084   Cotati, CA 94931 707-795-7011 ",admin@prairiesun.com,prairiesun.com ,,,,,,
17,SKYLINE STUDIOS,"5427 Telegraph Ave., Suite M  Oakland, CA 94609 510-984-2484 ",info@skylinestudios.com,skylinestudios.com ,,,,,,
18,STUDIO 132,"Oakland, CA 94611  415-601-5-77 ",info@studio132.com,studio132.com,"$100 per hour, project budgets as well",,BZ Lewis,,,
19,WORKING TITLE RECORDING STUDIOS,"863 Woodside Way  San Mateo, CA 94401 415-819-5465 ",forrest@workingtitlerecordingstudios.com,workingtitlerecordingstudios.com  ,,,,,,
20,4TH STREET RECORDING,"12114th St.   Santa Monica, CA 90401 310-395-9114 ",info@4thstreetrecording.com,4thstreetrecording.com,$75-100/hr (includes assistant or engineer),"digital and analog, 24 tracks",Kathleen Wirt,"Pro Tools and analog recording.Superb sound design, Yamaha C7 grand piano, Hammond organ w/ Leslie, Rhodes. Great drums too. ","Weezer, Daniel Caesar, Muse, Kesha, LP,The Neighbourhood, Solange, Vintage Trouble, The Beach Boys, SZA, K-Flay, Andre 3000, Chris and Rich Robinson, George Clinton, Incubus, No Doubt, Fiona Apple, Nelly Furtado, Hoobastank, Bryan Ferry, Jacks Mannequin, Jim Carrey, Steve Martin, Weird Al Yankovic, Ben Harper, Tom Freund, Andrew McMahon in The Wilderness,Kali Uchis, Betty Who, Tom Freund, Ben Harper, Billy Joe Shaver, Sly Stone. ",
21,"HOLLYWOOD, CA","A top producers private facility ready to serve you!  Great live drum room with a world class in-house drummer /ProTools HD6 (fat rig) / Neumann mic/ 5000 song experience since 1986 Los Angeles, CA 90048 323-655-0615 ",jimmy@jimmyhunter.com,jimmyhunter.com,Call for a free consultation,State of the Art Pro Tools 10 HD6,"Jimmy Hunter, owner/producer/ engineer/drummer/vocalist/vocal coach ",,"Many song with all of theseBrian Barnhouse, Bobby Barth, Stacey Evans, Ben Forat, Crimson Crout RIP, Savannah Phillips, Carl (Cix Bits) Summers, Dee Archer, Steve Warnick RIP, Dr. Gary Abrams (Dr; Alias), Ivy Lite Rocway, Carol Casey, Kozz Kosinski. Also multi song collaborations with Nick Turner and Glen Aliano.  ",
22,ABET MUSIC,"411 E. Huntington Dr., Ste. 170-372   Arcadia, CA 91006 626-303-4114 ",info@abetpublishing.com,abetmusic.com,$355/hr. ,"digital and analog, 96 tracks",Aeron Nersoya,,,
23,ADVENTURES IN MODERN RECORDING,"West Hills, CA   310-709-9645 ",amrdaniell@gmail.com,adventuresinmodernrecording.com,call for rates ,"Digital/Analog hybrid, Pro Tools",Daniell Holcomb,,,
24,ALLIED POST,"1158 26 th  St., #272  Santa Monica, CA 90404 310-392-8280 ",,alliedpost.com,call for info ,digital and analog,Woody,,,
25,ANDY CAHAN-DEMO DOCTOR,"Cathedral City, CA   818-489-4490 ",andycahan@gmail.com,allentertainment.net,please call for info ,"digital and analog, 24+ tracks",Andy,,,
26,ATRIUM MUSIC,"P.O. Box 2627   Pasadena, CA 91102 626-529-3066 ",info@atriummusic.com,atriummusic.com,call for info ,"digital HD, video-online offline/audio/mixing/mastering 5.1 ","Josh Young, Darian Cowgill",,,
27,BG2 STUDIOS @ BEAT GARAGE,"6860 Farmdale Ave   Los Angeles, CA 91605 818-358-0099 ",scott@beatgarage.com,beatgarage.com,Starting at $30/hr. Available byappointment only. Contact for more information. ,,Michael Barsimanto,"Experienced, professional engineers. Liverecording and overdubs. Music Video Production. Podcasting. Equipment list available on website. ",,"5517 Cleon Ave. North Hollywood, CA  91601  "
28,BANG ZOOM STUDIOS,"1100 North Hollywood Way   Burbank, CA 91505 818-295-3939 ",,bangzoomstudios.com,,,,,,"4720 W. Magnolia Blvd. Burbank, CA 91505 1150 W. Olive Ave. Burbank, CA 91506  "
29,BASS KING MUSIC,"13012 Haas Ave   Gardena, CA 90249 323-309-5145 ",basskingmusic@gmail.com,basskingmusicproductions.com,please call or send an email,Pro Tools,"Rudy Campbell, Charles Weathersby","record production, producing, film, andproduction deals. We accept unsolicited materials. See website for demo submission for information.  ","Christmas in Compton, Gordon (Levert) LisaFisher, Ava Cherry, Marques Houston, Mc Eiht, Shock G of Digital Undergound, Roscoe, kurupt, Mr.Tan ",
30,BIG CITY RECORDING STUDIOS,"17021 Chatsworth St.   Granada Hills, CA 91344 818-366-0995 ",paul@bigcityrecording.com,facebook.com/BigCityRecording,call for info ,Digital with analog processing,Paul,,,
31,BIG SURPRISE MUSIC,"16161 Ventura Blvd., Ste. C #522   Encino, CA. 91436 818-613-3984 ",info@carmengrillo.com,bigsurprisemusic.com,$75/hr. ,"digital, 128 tracks",Carmen Grillo,,,
32,BILL CORKERY STUDIOS,"Studio for Creative Audio   1660 Hotel Cir. N., Ste. 107 San Diego, CA 92108 619-291-8090 ",bcorkery@bcproductions.com,bcproductions.com,please call for info ,digital,Bill,,,
33,BLUE RECORDER WEST,"1709 Wilcox Ave.   Hollywood, CA 90028 424-259-3519 ",theblueroomwest@gmail.com,bluerecorders.com/west,$160/hr/$1500/day room rate only(engineer not included)  ,,,,,
34,THE BLUE ROOM RECORDING WEST,"1709 Wilcox Ave.   Hollywood, CA 90028 424-259-3519 ",theblueroomwest@gmail.com,bluerecorders.com/west ,,,,,,
35,BOLEN SOUND PRODUCTIONS,"4026 Tilden Ave   Culver City, CA 90232 310-594-6507 ",bolensoundproductions@gmail.com,bolensoundproductions.com,$75 per hour; including engineer. ,Pro Tools,Brian Bolen,,,
36,BREWERY RECORDING STUDIO, ,,,,,,,,
37,844-717-BREW,,booking@breweryrecording.com,breweryrecording.com ,,,,,,
38,CHALICE RECORDING STUDIO,"845 N. Highland Ave.  Los Angeles, CA 90038 323-957-7100  Fax 323-957-7110 ",sandra@chalicerecording.com,chalicerecording.com,please call for info ,digital and analog,,,,
39,COCKPIT STUDIO,"Avil Music Productions  21226 Ventura Blvd  #208 Woodland Hills, CA 818-397-9849 ",info@thecockpitstudio.com,thecockpitstudio.com ,,,,,,
40,COMP-NY,"Glendale, CA 91201  323-989-1176 ",info@companyhq.com,behussey.com,Contact for day rate ,"Analog/Digital, Pro Tools Hd (24 in/32out).Large Format Neotek recording console. 2 analog. 1/4 analog. ",Be Hussey,,,
41,COSTA MESA STUDIOS,"711 W. 17th St., Ste. D  Costa Mesa, CA 92627 949-515-9942 ",CMstudiosoffice@icloud.com,costamesastudios.com,please call for info ,digital and analog,,,,
42,DAVES ROOM,"8321 Lankershim Blvd.  North Hollywood, CA 818-925-6871 ",davesroombooking@gmail.com,facebook.com/DavesRoom.RecordingStudio ,,,,,,
43,DBW PRODUCTIONS,"Woodland Hills, CA 91367  818-884-0808 ",dbw@dbwproductions.com,dbwproductions.com,$75/hr. ,"digital, unlimited tracks",David Chamberlin,,,
44,DEPARTMENT OF RECORDING AND POWER,323-677-5111  ,Jason@departmentofrecordingandpower.com,departmentofrecordingandpower.com ,,,,,,
