,Name,Address/Phone,Phone,Email,Web,Clients,Contact,Services,Styles/Specialties,Distribution,How to Submit,Additional locations
1,1-2-3-4 GO!," 420 40th St., Ste. #5  Oakland, CA 94609  510-985-0325  ",,store@1234gorecords.com ,1234gorecords.com ,,,,"rock, punk *Do not accept unsolicited material ",,,
2,4AD RECORDS," 134 Grand St.  New York, NY 10013  212-995-5882  ",,"4ad@4ad.com, edhorrox@4ad.com  ",4ad.com ,"the National, Deerhunter, Efterklang, Aldous Harding, Beirut, Holly Herndon, U.S.Girls  ","Ed Horrox, A&R",,rock/indie ,,," 17-19 Alma Rd., SW18 1AA, UK  44-208-870-9724  "
3,ACTIVATE ENTERTAINMENT, 5062 Lankershim Blvd.-174  N. Hollywood CA 91601  818-569-3020  ,,submissions@2Activate.com ,,,James Arthur ,,,,"Urban, Soul/R&B, HipHop, Pop, Hard Rock, Country; Send Soundcloud &/or YouTube links, socials, list  your email & text number ",
4,ALLIGATOR RECORDS," Attn: New Material  P.O. Box 60234  Chicago, IL 60660  ",,info@allig.com ,alligator.com ,,,,"blues, roots, contemporary blues *Please include a letter-sized stamped envelope so we can  reply to your submission.  *Due to the large number of submissions we receive,  response time is approximately fourmonths or more.  All  submissions will be responded to by mail; if no legible  address is on the demo material, there will be no response.  Please keep submissions to a maximum of four songs (If we  like what we hear, well ask for more).  *Alligator will NOT accept inquiries or phone calls regarding  the receipt or status of submissions. We do not visit artist  websitesor listen to email submissions ",,,
5,AMATHUS MUSIC," P.O. Box 611  Rockville Centre, NY 11571  ",,"info@amathusmusic.com, ",amathusmusic.com ,,,,"dance, electronic, pop *Do not accept unsolicited material ",,,
6,AMERICAN LAUNDROMAT RECORDS," P.O. Box 85  Mystic, CT 06355  860-460-8903  ",,americanlaundromat@hotmail.com ,alr-music.com ,,,,"indie rock, tribute compilations *We do not accept unsolicited materials  Joseph H. Spadaro, Founder, President ",,,
7,AMERICAN RECORDINGS," (Republic Records/Universal)  2200 Colorado Ave.  Santa Monica, CA 90404  ",,mgoldberg@americanrecordings.com ,universalmusic.com/labels ,,,,"all genres *No unsolicited material  Rick Rubin, President  Michael Goldberg, A&R ",,,
8,APPLESEED RECORDINGS," P.O. Box 2593  West Chester, PA 19380  610-701-5755  ",,,appleseedmusic.com ,,,,"AC *accepts demo submissions, see website ",,,
9,ASTRALWERKS," 1750 Vine Street  Hollywood, CA  ",,astralwerks.astralwerks@gmail.com ,astralwerks.com ,,,,"electronic, dance, alternative, techno *No Unsolicited material accepted. ",,,
10,ATLANTIC RECORDS," (Warner Music Group)  812 N. Fairfax Ave.  Los Angeles, C 90046  818-238-6800, 818-238-9222  ",,,"atlanticrecords.com *No unsolicited material  Jeff Vaughn, VP of A&R ",,,,,,,
11,ATLANTIC RECORDS GROUP," Paramount Plaza  1633 Broadway, 10th & 11th Floor  New York, NY 10019  212-707-2000  ",,pete.ganbarg@atlanticrecords.com ,"atlantic-records.com *No unsolicited material  Jeffrey Sledge VP A^R A&R, Riggs Morales, SVP A&R ",,,,,,,
12,ATO RECORDS," 10 East 40th Street, 22nd Floor  New York, NY 10016  212-422-4280  ",,info@atorecords.com ,atorecords.com ,,,,"pop, rock, acoustic rock, indie *Demo Submissions will only be accepted by mail  Will Botwin, President/CEO ",,,
13,AVERAGE JOE ENTERTAINMENT," 3738 Keystone Ave.  Nashville, TN 37211  615-733-9983  ",,info@averagejoesent.com ,averagejoesent.com ,"Carter Winter, Cypress Spring, Camo Brian, Austin Tolliver, Bubba Sparxxx, Charlie Farley, Colt Ford, DJ Cannon  Banyon, Hatcher, Jeremy McComb, Josh Mirenda, Lenny  Cooper, Montgomery Gentry, Rich OToole, Sam Grow, Sarah  Ross, Shelbykay, Tommy Chayne  Styles/Specialties: country rap ",,,,,,
14,BAR/NONE RECORDS," P.O. Box 1704  Hoboken, NJ 07030  201-770-9090  ",,glenn@bar-none.com ,bar-none.com ,,,,"indie rock *Unsolicited material accepted  Glenn Morrow, Owner ",,,
15,BARSUK RECORDS," P.O. Box 22546  Seattle, WA 98110  ",,questions@barsuk.com ,barsuk.com ,,,,"Indie Rock *Accepts Demo submission, see website  Josh Rosenfeld, President ",ADA/WEA ,,
16,BEGGARS GROUP/ROUGH TRADE," (XL Recordings, Beggars Music, 4AD, Matador, Rough Trade)  134 Grand St.  New York, NY 10013-1012  212-995-5882  ",,info@begarsmusic.com,beggars.com ,"Adele, Alabama Shakes, Girl Band, tobias Jesso, Yo La Tengo  * Does not accept Demo Submissions  ",Sadie Matthew ,,"indie-rock, pop, electronic and more ",,," 2035 Hyperion Ave.  Los Angeles, CA 90027  323-663-0607  17-19 Alma Rd  London, SW18 1AA England  44-208-870-9912  "
17,BIELER BROS. RECORDS," 4100 N. Powerline Rd., #U5  Pompano Beach, FL 33073  954-979-4781  ",,info@bielerbros.com ,bielerbros.com ,,,,"hard rock, metal *Accepts unsolicited material, EPK only  Jason Bieler, Owner  Aaron Bieler, Owner ",,,
18,BIG DEAL MUSIC," 15503 Ventura Blvd. #300  Encino, CA 91436  818-922-0807  ",,info@bigdealmusic.com ,bigdealmusic.com ,,,,"rock, pop, AC ","Sony/Rec *No unsolicited material  Henry Marx, President/CEO  Additional location  115 29th Ave. S.  Nashville, TN 37212  615-942-8328 ",,
19,BIG LOUD RECORDS," Nashville, TN  ",,,"bigloudrecords.com AJ Kassen. SVP Head of A&R, Big Loud Rocks ",,,,,,,
20,BIG MACHINE LABEL GROUP," 1219 16th Ave., S.  Nashville, TN 37212  615-324-7777  ",,"allison.jones@bmig.net, mail@bigmachine.us  ",bigmachinelabelgroup.com ,"Aaron Lewis, Abbey Cone, Avenue Beat, Ayron Jones, Badflower, Brantley Gilbert, Brett Young, Brock  Gonyea, Callista Clark, Carly Pearce, Connor Smith, Canielle  Bradbery, Florida Georgia Line, , Jamie Fine, Jay Demarcus,  Jennifer Nettles, John 5, , Laci Kaye Booth, , Rascal Flatts, Ray  Wylie Hubbard, Sugarland, Tim McGraw  Allison Jones, SVP, A&R ",,,,,,
21,BIG NOISE," 11 S. Angell St., Ste. 336  Providence, RI 02906  401-274-4770  ",,al.bignoise@gmail.com ,bignoisenow.com ,"Christina  Aguilera, Red Hot Chili Peppers, The Beach Boys, Chicago, Katharine McPhee, Dionne Warwick,  Gregory Porter, and Viola Davis  *Currently accepting demo submissions.  *Please call or email first.  Al Gomes, A&R ",,,,,,
