,Name,Address/Phone,Phone,Web,Email,Fax,Mail,Contact,Specialty,Additional locations,Practice Areas
1,"ADAMS AND REESE, LLP"," Regions Harbert Plaza  1901 6th Ave. N., Ste. 3000  Birmingham, AL 35203  205-250-5000  ",,msmcnairlaw.com ,msm@mcnair.com ,,,Michael S. McNair ,Contracts," RSA Battle House Tower  11 N. Water St., Ste. 23200  Mobile, AL 36602  251-433-3234  M.S. McNAIR  2151 Government St.  Mobile, AL 36606  251-450-0111  ",
2,"DAVIS WRIGHT TREMAINE, LLP"," 188 W. Northern Lights Blvd.  Anchorage, AK 99503-3985  907-257-5300 Fax 907-257-5399  ",,dwt.com ,jondawon@dwt.com ,,,Jon Dawon ,Litigation,,
3,DORSEY & WHITNEY LLP," 1031 W. 4th Ave., Ste. 600  Anchorage, AK 99501-5907  907-276-4557  ",,dorsey.com ,mills.mike@dorsey.com ,,,"Michael Mills, Partner ",Intellectual Property,,
4,PERKINS COIE," 1029 W. 3rd Ave., Ste. 300  Anchorage, AK 99501-1981  907-279-8561 Fax 907-276-3108  ",,perkinscoie.com ,sGillstrm@perkinscoie.com ,,,"Sarah C. Gillstrom, Partner ",LItigation,,
5,"LEWIS ROCA ROTHGERBER CHRISTIE, LLP"," 201 East Washington St., Suite 1200  Phoenix, AZ 85004  602-262-5311, 602-262-5747  ",,lewisroca.com ,mcurry@lewisroca.com ,,,"Michael J.Curry, Partner ","Intellectual Property, Trademarks and Copyrights",,
6,PERKINS COIE," 2901 N. Central Ave., Ste. 2000  Phoenix, AZ 85012-2788  602-351-8000 Fax 602-648-7000  ",,perkinscoie.com ,JEverettGarcia@perkinscoie.com ,,,"Jessica L. Everett-Garcia, Partner ","Trademark Law, Intellectual Property",,
7,"SANDERS & PARKS, PC"," 3030 N. 3rd St., Ste. 1300  Phoenix, AZ 85012  602-532-5600  ",,sandersparks.com ,,,,,Intellectual Property,,
8,SNELL & WILMER," One Arizona Center  400 E. Van Buren St., Ste. 1900  Phoenix, AZ 85004-2202  602-382-6000 Fax 602-382-6070  ",,swlaw.com ,info@swlaw.com ,,,,Intellectual Property ," One S. Church Ave., Ste. 1500  Tucson, AZ 85701-1630  520-882-1200 Fax 520-884-1294 ",
9,"WILLIAM D. BLACK, LAW OFFICES OF"," Great American Tower  20 East Thomas Road  Ste. 2200  Phoenix, AZ 85012  480-680-8519, 844-224-0054  ",,billblacklawfirm.com ,,,,,," Kierland Corporate Center  7047 E. Greenway Pkwy., Ste. 250  Scottsdale, AZ 85254  480-699-6888 ",
10,CARVER LAW," Pleasant Valley Corp. Center, Ste. 800  2024 Arkansas Valley Dr.  Little Rock, AR 72212-4147  501-224-1500  ",,arkpatent.com ,Sdc@arkpatent.com ,,,,Intellectual Property,,
11,ROSE LAW FIRM," 120 E. 4th St.  Little Rock, AR 72201-2893  501-375-9131 Fax 501-375-1309  ",,roselawfirm.com ,info@roselawfirm.com ,,,,Intellectual Property,,
12,"WRIGHT, LINDSEY & JENNINGS, LLP"," 200 W. Capitol Ave., Ste. 2300  Little Rock, AR 72201  ",(501) 371-0808 ,wlj.com ,jdoughtery@wlj.com ,,,J. Charles Dougherty ,Intellectual Property ," 3333 Pinnacle Hills Pkwy., Ste. 510  Rogers, AR 72758  479-986-0888 ",
13,"ABRAMS, GARFINKEL, MARGOLIS,  BERGSON, LLP  ","3900 West Alameda Ave., Suite 2100  Burbank, CA 91505  310-300-2900  ",,agmblaw.com ,info@agmblaw.com ,,,,," 1430 Broadway, 17th Fl.  New York, NY 10018  212-201-1170  225 Broadhollow Rd., Ste. 102  Melville, NY 11747  516-986-2745 ",
14,"AKIN, GUMP, STRAUSS,  HAUER & FELD, LLP  ","1999 Avenue of the Stars, Ste. 600  Los Angeles, CA 90067  310-229-1000  ",,akingump.com ,pclin@akingump.com,,,"Paul Lin, Partner ",," One Bryant Park  Bank of America Tower  New York, NY 10036  212-872-1000  ",
15,ARNOLD & PORTER," 777 S. Figueroa St., 44th Fl.  Los Angeles, CA 90017  213-243-4000 Fax 213-243-4199  ",,arnoldporter.com ,,,,,"All areas, intellectual property/tech. *No unsolicited material  "," Three Embarcadero Center, 10th Fl.  San Francisco, CA 94111  415-471-3100 Fax 415-471-3400  3000 El Camino Real  Five Palo Alto Square, Ste. 500  Palo Alto, CA 94306-3807  650-319-4500 ",
16,TERRY B. BATES," Reed Smith, LLP  355 South Grand Avenue, Suite 2900  Los Angeles, CA 90071  213-457-8012  ",,reedsmith.com ,tbates@reedsmith.com ,,,,entertainment media,,
17,LEE JAY BERMAN," The Mediation Offices of Lee Jay Berman  4640 Admiralty Way  Suite 500  Marina del Rey, 90292  310-593-9905  ",,LeeJayBerman.com,"info@leejayberman.com, leejay@mediationtools.com  ",,,,,,
18,BEVERLY HILLS BAR ASSOCIATION," 9420 Wilshire Blvd., 2nd Fl.  Beverly Hills, CA 90212  310-601-2422  ",,bhba.org,info@bhba.org ,,,,,,
19,"BLAKE & WANG, P.A."," 1801 Century Park E., 24st Fl.  Los Angeles, CA 90067  ",,filmtvlaw.com ,,,,,"Entertainment Law, Music Law, Film and TV Law "," 1 Sansome Street  35th Floor  San Francisco CA, 94104  415-869-8832 ",
20,"BLOOM, HERGOTT, DIEMER, ROSENTHAL, LAVIOLETTE &  FELDMAN SCHENKMAN & GOODMAN, LLP  ","150 S. Rodeo Dr., 3rd Fl.  Beverly Hills, CA 90212  310-859-6800  *No unsolicited material ",,,,,,,,,
21,"BRET D. LEWIS, LAW OFFICES OF"," Santa Monica Wellesley Plaza  12304 Santa Monica Blvd., Ste. 107A  Los Angeles, CA 90025  310-207-0696 Fax 310-362-8424  ",,blewislaw.com,bdlawyager@gmail.com ,,,,,,
22,CALIFORNIA LAWYERS FOR THE ARTS," 12304 Santa Monica Blvd, Ste 304  Los Angeles, Ca 90025  888-775-8995, 310-207-0001  ",,calawyersforthearts.org ,losangeles@calawyersforhearts.org ,,,,"Lawyer Referral Service, Mediation/Arbitration *Additional offices in Sacramento and San Francisco and  San Diego ",,
23,"CHRISTOPHER J. OLSEN,  LAW OFFICES OF  ","3075 E. Thousand Oaks Blvd., Ste. 100  Westlake Village, CA 91362  805-557-0660 Fax 805-491-8324  ",,chrisolsenlaw.com ,chris@chrisolsenlaw.com ,,,,Studio and Performance Bass Player. I share musicians concerns because I am one. ,,"Entertainment Law, Music Law, Contract Negotiation, Business and Transactional Matters, Civil  Litigation. 30 years experience  "
24,"D. BURGUNDY MORGAN,  ESQ. ONE LLP "," 23 Corporate Plaza Drive  Suite 150  Newport Beach, CA 92660  949-502-2870, 310-258-5081  ",,onellp.com ,bmorgan@onelip.com ,,,"D. Burgundy Morgan, Esq. ",Entertainment Law ," 400 Corporate Point  Suite 300  Culver City, CA90230  310-866-5157 ",
25,DEAN SHELDON SERWIN," 1107 Fair Oaks Ave., #848  South Pasadena, CA 91030-3311  323-465-1735  ",,deanserwin.com ,dean@deanserwin.com ,,,,"Full-service for entertainment industry, including records, publishing, online, video game, film and television,  management, licensing, trademark, music clearance.  Selected shopping ",,
26,DIJULIO LAW GROUP," 330 N. Brand Blvd., Ste. 702  Glendale, CA 91203  818-502-1700  ",,dijuliolawgroup.com ,rdd@dijuliolaw.com ,,,,"Record contracts, music publishing, licenses "," 6 Woodard Ave.  Absarokee, MT 59001 ",
