,Name,Role,Address/Phone,Email,Fax,Web,Styles,Additional location,Contact,Clients,Services,How to Submit,A&R/Manager,Booking Agent,Notes
0,5B ARTIST MANAGEMENT,Manager," 220 36th St., Ste. B442  Brooklyn, NY 11232  310-450-2555  ",info@5bam.com ,,5bam.com ,"Metal, Rock, Alt. *No unsolicited material  "," 12021 W. Jefferson Blvd.  Culver City, CA 90066  310-450-7132 ",,,,,,,
1,AAM,Manager," 270 Lafayette St., Ste 605  New York, NY 10012  212-924-2929  ",info@aaminc.com ,,aaminc.com ,"Alt., Rock, Pop, Indie "," 5979 W. 3rd St., Ste. 204  Los Angeles, CA 90036  310-271-9350  1600 17th Ave., S.  Nashville, TN 37212  615-742-1234 ",Matthew Clayman ,"Call for roster *No unsolicited material, represents  producers only  ",,,,,
2,ARSLANIAN & ASSOCIATES,Manager," 5419 Hollywood Blvd  Suite C717  Hollywood, CA 90027  323-465-0533  ",oscar@discoverhollywood.com ,,arslanianassociates.com/who.html ,Classic Rock ,,Oscar Arslanian ,"Fabian, Chris Montez, Little Peggy March, Kathy Young, Johnny Tillotson,  Dennis Tufano, Brian Hyland  ",personal managemen *No unsolicited material ,,,,
3,"ELLEN AZORIN, MANAGER, PEDRO",Manager," GIRAUDO TANGO QUARTET  157 W. 79th St., Ste. 4A  New York, NY 10024  212-724-2400  ",ellenazorin@gmail.com ,,pedrogiraudo.com ,Performance Argentine Tango ,,,Pedro Giraudo Tango Quartet,,,,,
4,THE BABBLE BOUTIQUE,Manager, ,Azalee@Azalee.Maslow.com ,,azaleemaslow.com/the-babble- boutique  ,All ,,Azalee Maslow ,,Social and digital media consulting and management agency.  We specialize in converting your followers  into paying fans.  *No unsolicited material ,,,,
5,BACKER ENTERTAINMENT LLC,Manager," 87 Plymouth Ave.  Yonkers, NY 10710  914-779-6087  ",info@backerentertainment.com ,,backerentertainment.com ,,,David Backer,,,,,,
6,BACKSTAGE ENTERTAINMENT,Manager," Nashville, TN 37220  615-323-2200  ",staff@backstageentertainment.net ,,backstageentertainment.net ,All ,,"Paul Loggins, John Stevens, Laurent Stoeckli  ",,"full-service radio promotion, publicity and PR, radio programming/  consulting, personal management,  entertainment consulting/marketing  *Accepts unsolicited material ",,,,
7,BBA MANAGEMENT & BOOKING,Manager," 12400 Hwy. 71 W., Ste. 350-177  Austin, TX 78738  512-477-7777  ",ryanhadlock@hotmail.com ,,bearcreekstudio.com ,"intelligent rock, indie rock, rock nervous, folk, renaissance, rock, jazz  ",,Manny Hadlock ,"Gordon Raphael, Ryan Hadlock, Holy Ghost Revival, Sony Records, Sub Pop,  Vertigo, Warner, Transgressive  *No unsolicited material ","specializes in placing musicians for recording sessions and back up for  touring acts, must read sheet music  *No unsolicited material  BEAR CREEK PRODUCER MANAGEMENT  6313 Maltby Rd.  Woodinville, WA 98072  425-481-4100 Fax 425-486-2718  ",,,,
8,BEDLAM MUSIC MANAGEMENT,Manager," 864 Eastern Ave.  Toronto, ON M4L 1A3  416-585-7885  ",info@bedlammusicmgt.com ,,bedlammusicmgt.com ,,,,"The Sheepdogs, Moors, JuD, City and Colour, Monster Truck ",,,,,
9,BIG HASSLE MANAGEMENT,Manager," 157 Chambers St.  New York, NY 10007  212-619-1360  ",,,bighassle.com/publicity ,"alt., indie, rock, pop "," 3685 Motor Ave., Ste 240  Los Angeles, CA 90034  424-603-4655 ",,"A Girl Called Eddy, Adult Books, AFI, Alexandra Savior, Alice Phoebe Lou, Alt-3,  Chole Tang, Chrissie Hynde, Charlie Burg,  etc.  (see website for entire list)  *Accepts unsolicited material  ",,,,,
