,Name,Address/Phone,Email,Fax,Web,How to Submit,Contact,Styles,Published,Additional location,Notes
1,3 RING CIRCUS MUSIC," 2209 Grantland Ave  Nashville, TN   37204  ",admin@3ringcircusmusic.com ,,3ringcircusmusic.com  ,,,,,,
2,ABET MUSIC," 411 E. Huntington Dr., Ste. 107  Arcadia, CA 91006  626-303-4114  ",info@abetpublishing.com ,,alfred.com ,no unsolicited material  ,,"easy listening, chill, rock, world music, alternative  ",,,
3,"ANOTHER VICTORY, INC."," CONCORD MUSIC  5750 Wilshire Blvd., Suite 450  Los Angeles, CA 90036  310-385-4455  Email : info@victoryrecords.com  ",,,"concord.com/labels/victory-records, facebook.com/VictoryRecords  ",no unsolicited material ,,,," 10 Lea Ave., #300  Nashville, TN 37210  629-401-3901  250 W 57th St.  6th Floor  New York, NY 10107  212-699-6588  7300 Biscayne Boulevard  1st Floor  Miami, FL 33138  305-760-6690   ",
4,ANTHEM ENTERTAINMENT," 120 Bremner Blvd, #2900  Toronto, ON, Canada M5J 08A  416-850-1163  ",,,anthementertainment.com/music- publishing  ,,,,," Nashville  462 Humphreys Street  Nashville, TN 37203  1-615-327-2605  Los Angeles  9000 W. Sunset Blvd., Ste. 806  West Hollywood, CA 90069-5808  1-310-859-7450 Fax 1-310-288-2133   ",
5,A WRITERS PARADISE," Nashville, TN  615-852-8297  ",info@bigdealmusic.com ,,bigdealmusic.com ,no unsolicited material  ,Stacy Hogan ,,,,
6,BIG FISH MUSIC (BMI)," CALIFORNIA SUN MUSIC (ASCAP)  12720 Burbank Blvd., Unit 124  Valley Village, CA 91607-1421  818-508-9777  ",clisag21@yahoo.com ,,facebook.com/bigfishmusicbuilding ,,"Chuck Tennin, Lora Sprague ","physical therapy music, country, pop, ballads, up-tempo, adult  contemporary, gospel, Film/TV, orchestral,  classical, instrumentals, rock, new age,  jazz, blues, alternative  ",Visit nimbitmusic.com/bigfishmu- sic to check out the kind of music you are  looking for.   ,,Visit nimbitmusic.com/bigfishmu- sic to check out the kind of music you are  looking for.   
7,BLUEWATER MUSIC SERVICES CORP.," 705 2nd Ave., S.  Nashville, TN 372120  615-327-0808  ",info@bluewatermusic.com ,,bluewatermusic.com ,no unsolicited material  ,,,see web ,,
8,"BOOSEY & HAWKES, INC."," 229 W. 28th St., 11th Fl.  New York, NY 10001  212-358-5300  Email : usrental@boosey.com  ",,,boosey.com ,no unsolicited material  ,,,,,
9,BOURNE CO. MUSIC PUBLISHERS," 5 W. 37th St.  New York, NY 10018  ",info@bournemusic.com ,212-391-4300 ,bournemusic.com ,no unsolicited material  ,,entire music spectrum ,"Nat King Cole, Nas, the Rat Pack, Crazy Frog, Al Jolson,  Rod Stewart,  Barbra Streisand  ",,
10,BRENTWOOD BENSON," 101 Winners Circle N.  Brentwood, TN 37027  800-846-7664 Ext. 2, 615-261-3300 Ext. 1  ",,,brentwoodbenson.com ,no unsolicited material  ,,"CCM, Gospel ",,,
