,Name,Address/Phone,Email,Web,Contact,Clients,Credits,Services,Format,Basic Rates,Specialization,Additional location,Masterclass,Note
1,BATES BROTHERS RECORDING," 3427 Davey Allison Blvd., Ste. 101  Hueytown, AL 35023  205-491-4066  ",bbrbates@yahoo.com ,batesbrothersrecording.com ,Eric Bates ,,,,,please see web for info,,,,
2,SOUND OF BIRMINGHAM," 3625 5th Ave. S.  Birmingham, AL 35222  205-595-8497  ",don@soundofbirmingham.com ,soundofbirmingham.com ,,,,,,,,,,"35 years + exp., please call for info"
3,1ST CHOICE MASTERING," 650 N. 157th Drive  Goodyear, AZ  85338  623-234-1787  ",info@billkeis.com ,billkeis.com/producer ,,,,see web for info,,,,,,
4,ALLUSION STUDIOS," 248 W. Elm St.  Tucson, AZ 85705  520-622-3895  ",contact@allusionstudios.com ,allusionstudios.com ,,,,,,please call for info,,,,
5,M L E  STUDIOS," PO Box 27017  Prescott Valley, AZ 86312  866-246-8846  ",mail@majorlabelmusic.com ,"majorlabelmusic.com, facebook.com/mlestudios  ",Col. Darryl Harrelson ,,,,,"$45.00/hr or flat rate per song/ album small independent multi-room studio  specializing in country, Americana and alt  country genres. ",,,,
6,THE SALTMINE STUDIO OASIS," ARIZONIA MASTERING  48 S. Macdonald St.  Mesa, AZ 85210  480-220-4007  ",don@thesaltmine.com ,thesaltmine.com. ArizonaMastering.com ,Don Salter ,,,,,call for a custom quote.,,,,
7,VAULT MASTERING STUDIOS," Phoenix, AZ  877-297-5940  ",nathan@vaultmastering.com ,vaultmastering.com facebook.com/vault.mastering  ,Nathan James ,"Twenty One Pilots,Har- rison Fjord, Gretchen Parlato,Charlie Hunter,  Cyrus Chestnut, Takuya Kuroda, Nate Smith,  John Zorn, Sting, Staind, Aretha Franklin, Joey  DeFrancesco, This or the Apocalypse,The  Fray,Civil Twilight, Sister Sparrow, Boston  Symphony Orchestra, etc. ",,,,,,,,
8,RANEY RECORDING STUDIO," P.O. Box 17  110 S. Front St.  Drasco, AR 72530-9282  870-668-3222  ",jonr@raneyrecordingstudio.com ,raneyrecordingstudio.com ,Jon Raney ,,,,,please call for info,,,,
9,21ST CENTURY AUDIO," North Hollywood, CA  323-356-1177  ",peter@21stCenturyAudio.com ,21stCenturyAudio.com ,Peter Doell ,,,,,rates upon request,,,,
10,25TH ST RECORDING," Oakland, CA  510-788-4089  ",info@25thstreetrecording.com ,25thstreetrecording.com ,,,,,,"$80 per Song, $600 8-12 Song Album, $800 8-12 Song Album ",,,,
11,AAA CAZADOR RECORDING," OF HOLLYWOOD  West Hollywood, CA  323-655-0615  ",jimmy@jimmyhunter.com ,jimmyhunter.com ,,,,,,negotiable/call and we can discuss,,,,
12,AB AUDIO VISUAL," 3703 Albury Ave.  Long Beach, CA 90808  877-ABAUDIO (222-8346),  562-429-1042  ",,abaudio.com ,"President, Arlan Boll ",,,,,work with all budgets,,,,
13,ABET MEDIA," 411 E. Huntington Dr., Ste. 107-372  Arcadia, CA 91006  626-303-4114  ",info@AbetMedia.com ,AbetMedia.com ,Aeron K. Nersoya,,,,,,,,,
14,AUDIO MECHANICS," 1200 W. Magnolia Blvd.  Burbank, CA 91506  818-846-5525  ",,audiomechanics.com ,,,,,,please call for info,,,,
15,AUDIOVISTA," Los Altos, CA  650-428-1854  ",info@audiovista.com ,Audiovista.com ,Jim LaForest,,,,,,,,,
16,ARDENT AUDIO PRODUCTIONS," 22122 S. Vermont Ave., Unit E  Torrance, CA 90502  310-782-0125  ",rwenzelaap@aol.com ,ardentaudioproductions.com,,,,,,,,,,
17,BAKERY MASTERING STUDIO," c/o Sony Pictures, Thalberg E  10202 W. Washington Blvd.  Culver City, CA 90232  310-736-6661  ",booking@thebakeryla.com ,thebakery.la,,,,,,,,,,
18,BEN BERNSTEIN MUSIC," Oakland, CA  ",info@benbernsteinmusic.com ,benbernsteinmusic.com ,Ben Bernstein ,,,,,$50/Song,,,,
19,BERNIE BECKER MASTERING, 626-782-5703  ,hello@beckermastering.com ,beckermastering.com ,,,,,,Please email for information,,,,
20,BERNIE GRUNDMAN MASTERING," 1640 N. Gower St.  Hollywood, CA 90028  323-465-6264  Email : jack@bgmastering.com  ",,berniegrundmanmastering.com ,"Bernie Grundman, Mike Bozzi, Chris Bellman, Patricia Sullivan, Scott Sedillo  ",,,,,please call for info,,,,
21,BIG CITY RECORDING STUDIOS," 17021 Chatsworth St.  Granada Hills, CA 91344  818-366-0995  ",paul@bigcityrecording.com ,bigcityrecording.com ,Paul Tavenner ,,,,,please call or see web,,,,
22,BIG SURPRISE MUSIC," Encino, CA 91436  818-613-3984  ",info@carmengrillo.com ,bigsurprisemusic.com ,Carmen Grillo ,,,,,call for rates,,,,
23,CHARLES LAURENCE PRODUCTIONS," Northridge, CA  818-368-4962  ",clpstudio1@gmail.com ,clpstudios.com ,Charles Laurence ,,,,,call for info,,,,
24,CLEAR LAKE AUDIO," 10520 Burbank Blvd.  North Hollywood, CA 91601  818-762-0707  ",contact@clearlakerecording.com ,clearlakerecordingstudios.com ,,,,,,please call for info,,,,
25,COAST MASTERING," 1140 The Alameda  Berkeley, CA 94707  510-984-0554  ",mastering@coastmastering.com ,coastmastering.com ,,,,,,please call for info,,,,
26,DBU RANCH RECORDING," 15448 Sierra Grande Rd.  Valley Center, CA. 92082  310-413-0845  ",duskb@yahoo.com ,dburanchrecorders.com,,,,,,,,,,
27,DENOISE.COM," 1050 Murray St.  Berkeley, CA 94710  510-653-3838  ",sales@denoise.com ,denoise.com ,Albert Benichou ,,,,,please call for info,,,,
28,DIAMOND DREAMS MUSIC," PRODUCTIONS  North O.C., Carbon Canyon 91709  909-393-6120  ",diamonddreamsmusic@yahoo.com ,diamonddreamsmusic.com ,Raphael De Giorgeo ,,,,,"please call for info, varies from project to project ",,,,
29,DINO M 4 RECORDING/," MASTERING STUDIO  Torrance, CA  (10 minutes South of LAX)  424-800-1394310-782-1440  ",dinom4@aol.com ,facebook.com/DinoM4RECORDING ,Dino Maddalone,,,,,,,,,
30,DNA MASTERING," 19528 Ventura Blvd., Ste. 315  Tarzana, CA 91356  818-992-4034  ",info@DNAmastering.com ,dnamastering.com ,"David Donnelly, Perry Cunningham  ",,,,,special rate for Indie and unsigned artists ,,,,
31,ELYSIAN MASTERS," Audio Mastering; Lacquer Cutting  2797 E Foothill Blvd. #120  Pasadena, CA. 91107  323-839-6283  Email :  info@elysianmasters.comn  Web : elysianmasters.com,  IG: @elysianmasters ",,,,,,,,,,,,
32,EZEE STUDIOS," 21550 Oxnard St., Ste. 990  Woodland Hills, CA 91367  818-444-4744  ",James@ezeestudios.com ,ezeestudios.com ,James Winner,,,,,please see web or call ,," 75 Rockefeller Plaza  New York, NY 10019  212-275-2160  ",,
33,GOLDEN MASTERING," 1721 E. Main St.  Ventura, CA 93001  805-648-4646  ",diane@goldenmastering.com ,goldenmastering.com ,April Golden ,,,,digital and analog ,please call for info,,,,
