,Name,Address/Phone,Email,Contact,How to Submit,Web,Music Supervisors,Credits,Comments,Cell,Styles,Clients,Basic Rate,Additional locations
1,1 SOUNDTRACK CENTRAL, 5062 Lankershim Blvd. #174  N. Hollywood CA 91601  818-505-9537  ,info@SoundtrackCentral.net ,Jay Warsinske & Madeleine Smith  ,by emal only,,,,,,,,,
2,35 SOUND," P.O. Box 217  Pacific Palisades, CA 90272  310-454-1280 Fax 310-454-3443  ",gmarq@35sound.com ,,no unsolicited material,35sound.com ,"G. Marq Roswell, Carter LIttle  ","Man With the Iron Fists, Half the Sky, Birth Story, The Bronx is Burning  ",,,,,,
3,5 ALARM," 2140 N. Hollywood Way, #11028  Burbank, CA 91505  626-304-1698, 800-322-7879  ",terrilynn@rescuerecords.net ,,,5alarmmusic.com,,,,,,,,
4,AIR-EDEL USA," 1416 N. La Brea Ave.  Hollywood, CA 90028  323-802-1670  ",,,does not accept unsolic- ited composer submissions  ,airedel.com ,,see web ,,,,,," Air-Edel Associates Ltd.  18 Rodmarton St.,  London W1U 8BJ  +44 (0)207 486 6466 "
5,ARENA WAVES," 2764 Pleasant Rd, Suite A-625  Fort Mill, SC 29708  855-PWR-WAVE (855-797-9283)  Los Angeles - Charlotte - New York  Music for Sports, Broadcast TV and Film  ",info@arenawaves.com ,,"We welcome all styles of music. Please read submission requirements  carefully (anything outside of these  requirements will be rejected). Send NO  MORE than 3 digital links (ie dropbox, spotify,  soundcloud, etc) that best represent your style.  Send tosubmit@arenawaves.comwith the style  of music in the subject line (ex Subject: ROCK,  SKA, COUNTRY, EDM, HIPHOP, etc). While we  cant respond to every submission email, we  review everything we receive. Please do not  call regarding submissions. If we feel we can  use your material, we will contact you. ",arenawaves.com ,,,,,,,,
6,AUDIO MOTION MUSIC," 8851 A1A South  St. Augustine, FL. 32080  305-859-1697  ",info@audiomotionmusic.com ,,,audiomotionmusic.com ,,,,,,,," Atlanta, Boston, New York, London "
7,BROOKE WENTZ - THE RIGHTS WORK- SHOP," 230 California St. Suite 602  San Francisco, CA 94111  415-561-3333  ",bmw@rightsworkshop.com ,Brooke Wentz ,submissions@rightsworkshop. com ,rightsworkshop.com ,,,"Music director for ESPN, TechTV, Times Square Millennium Celebration,  award-winning soundtrack producer;  extensive music and IP rights experience. MBA.  ",,,,,
8,CINECALL SOUNDTRACKS," P.O. Box 854  Red Bank, NJ. 07701  732-450-8882  ",,George McMorrow ,no unsolicited material,cinecall.com ,,,,,,,,
9,CLEARSONGS," 244 Fifth Ave, Suite 2262  New York, NY 10001  212-627-8767  ",gabe@clearsongs.com,Gabe Hilfer ,no unsolicited material ,clearsongs.com/contact.html ,,"HBO, Artisan, Lions Gate, October Films, USA Films, Oxygen Music Works,  Miramax, Columbia, Searchlight  ",,,,,," 8240 Beverly Blvd., Ste. 15  Los Angeles, CA 90048  323-419-3898  "
10,"CODA MUSIC SERVICES, INC."," 17345 Marlin Pl.  Lake Balboa, CA 91406  818-317-9332  ","margaret@codamusicservices.com, kelly@codamusicservices.com  ",,,codamusicservices.com ,"Margaret Guerra Rog- ers, Kelly Bennett, Alvaro Morello, Dayna Demaine  ","30 Das con Anuel,  HBO Live on Max Series, As Se Baila, Enamorando- nos,  Real Women Have Curves, East Los  High, La Voz, En Letra de Otro,Mariposa  del Compo, Decades of Fire, Jodi Arias  Story, Pequeos Gigantes, La Banda,  Escaramuza: Riding from the Heart, Torti- lla  Heaven, Tales of Masked Men, The Out- siders  (series), Highlander (series);Price  of Glory, Chicano Rock! The Sounds of  East Los Angeles, Gloria Estefan: Sangre  Yoruba, For Love or Country: The Arturo  Sandoval Story  How to Submit : no unsolicited material ",,,,,,
11,CREATIVE CONTROL," 9942 Culver Blvd.  Unit #2  Culver City, CA 90230  310-845-4146  ",info@creativecontrolent.com ,Joel C. High ,Email before sending material ,creativecontrolent.com ,,,,,,,,
12,"DAVID FRANCO, PRODUCER"," International Productions  Film/TV/Music  Sherman Oaks, CA, 91403-USA  ",,,,,,,,"310-721-3977, 818-922-2096",,,,
13,DE ROCHE MUSIC INC.," 18246 Los Alimos Street, Porter Ranch, CA  91426  818-216-6493  ",dayrowshay@gmail.com ,"Jonathan deRoche, Ross deRoche ",,derochemusic.com ,,"Comicon-San Diego (2023), John Wick- Chapter 4 (2023), Boogeyman (2023), Pearl  (2022), Dayshift (2022), The Swearing Jar (2022)  Deadpool 2 (2018), the Magnificent Seven  (2016), SWAT, Castle, Guardians  of the Galaxy, The Spy Who Dumped Me  How to Submit : no unsolicited material ",,,,,,
