venue_name,date,review
The Starry Plough Pub,"Mar 27, 2024",Great pub food and atmosphere!
The Starry Plough Pub,"Mar 27, 2024",this is a Whites Only establishment. and specificaly blond with light colored eyes. any other race will feel EXTREMELY UNCOMFORTABLE there. Atmosphere
The Starry Plough Pub,"Mar 22, 2024",
The Starry Plough Pub,"Mar 15, 2024",
The Starry Plough Pub,"Mar 15, 2024",
The Starry Plough Pub,"Mar 15, 2024",Free Irish dance lessons on Monday nights! Great music and people.
The Starry Plough Pub,"Mar 08, 2024",
The Starry Plough Pub,"Mar 01, 2024",Im fairly impressed with the way they manage the pub the food is fabulous and the workers who run the kitchen are very  professional
The Starry Plough Pub,"Feb 29, 2024",
The Starry Plough Pub,"Feb 29, 2024",Good place to dance with upcoming bands.
The Starry Plough Pub,"Feb 29, 2024",
The Starry Plough Pub,"Feb 29, 2024",
The Starry Plough Pub,"Feb 29, 2024","Classic people, classic place, nerds welcome"
The Starry Plough Pub,"Feb 29, 2024",Went a little too early for the full-on Irish dancing but we did see the lessons. The shepherds pie was delicious. Parking is a challenge.
The Starry Plough Pub,"Feb 29, 2024",
The Starry Plough Pub,"Feb 29, 2024",This place is an absolute gem. Hands down one of the best (if not absolutely the best) activist bars in the bay area. Go on!!
The Starry Plough Pub,"Feb 29, 2024",I Just started coming here since they started having the Blues every 2nd Friday of the month which started in Dec I come early to find a park  which is hard to find I enjoyed the food and the non alcohol drinks and the atmosphere they were charging a $5 service charge for people that get there early before the band plays on my 3 time coming they are now charging $10-$20 in which me and girlfriend of mine paid the $10 another friend came later and the charge was $20 in which he left then I see another people claiming to be part of the band and their is no charge this kind of behavior shows me this is not the place I need be at and will not recommended to others
The Starry Plough Pub,"Feb 29, 2024",
The Starry Plough Pub,"Feb 29, 2024",
The Starry Plough Pub,"Feb 29, 2024",
The Starry Plough Pub,"Feb 29, 2024",
The Starry Plough Pub,"Jan 29, 2024",
The Starry Plough Pub,"Jan 29, 2024",Fabulous session. James Connelly in the house.
The Starry Plough Pub,"Jan 29, 2024",
The Starry Plough Pub,"Jan 29, 2024","Cool dive bar in the middle of Berkeley. The Guinness is great, and people and servers are friendly."
The Starry Plough Pub,"Jan 29, 2024","Good ol Irish atmosphere, food & music. By golly, Parking: Get there early Wheelchair accessibility: Difficult"
The Starry Plough Pub,"Jan 29, 2024",
The Starry Plough Pub,"Jan 29, 2024","Great band on New Years Eve, just enough crowd to feel the energy but enough room to dance it out. Seems everybody knows this place."
The Starry Plough Pub,"Dec 29, 2023",
The Starry Plough Pub,"Dec 29, 2023",Excellent fries. Entertainment.
The Starry Plough Pub,"Dec 29, 2023",Lovely people. Delicious Guinness.
The Starry Plough Pub,"Dec 29, 2023",
