,star_rating,review_title,review_content,date_of_rating,date_of_experience,reviewer_name,num_reviews,country,review_link,profile_link
65e06b35fe5325aa10c24d5e,1,WORST SCAM in the INTERNET! STAY AWAY if you CARE ABOUT YOUR MUSIC,"This company has scammed me. They use bots and therefore Spotify has removed my album without the option to ever upload it onto this platform ever again. Stay away from them if you care about your music one bit. They don't give a  about you or your music and they certainly do not deliver what they promise which is organic growth ad organic plays, instead they just use bots. Waste of time, money and effort. ",2024-02-29T13:32:06.000Z,"February 29, 2024",Logan Parker,4,GB,https://www.trustpilot.com/reviews/65e06b35fe5325aa10c24d5e,https://www.trustpilot.com/users/5caa727566da2c34324dd77a
65cf409375029b636a984b3b,5,Of a truth,"Of a truth, I was skeptical about working with this guys... but after I saw an ad of them handling one of my colleagues music and it went ultraviral, I was determined to give them a trial. Lo and behold,  I did and I'm glad I gave them the benefit of the doubt. I'm glad I worked with them on my new song,  coupled with the that my new song ""ON THE LOW"" already has a good reception, the expertise of TMMA gave me the confidence I needed that Inwas working with the right people. And I am glad to say that ""I WOULD BE USING THEM MORE OFTEN""",2024-02-16T13:01:39.000Z,"January 18, 2024",Ife-Ezy,2,US,https://www.trustpilot.com/reviews/65cf409375029b636a984b3b,https://www.trustpilot.com/users/62207574ef541f0012843189
65d60aa73d2754f6006f06e2,5,Very friendly and trustworthy company,Very friendly and trustworthy company. They deliver what they promise. Thank you,2024-02-21T16:37:28.000Z,"February 21, 2024",Peewee,1,ES,https://www.trustpilot.com/reviews/65d60aa73d2754f6006f06e2,https://www.trustpilot.com/users/65d60a82356e5900130c0e44
65a6e5696856d3fb430ba1da,5,ETSRL MUSIC x TMMA,"Partnering with TMMA for the release of our hit single UMBRELLA by Nasboi ft Wande Coal is one of the PR choices we've made as a brand that we are proud of. The digital ads were very effective as we saw huge numbers across our DSPs. Asides from how effective the plug in was, we would also give a five star to the team represented by Matt as they were responsive and quick to action.Working with TMMA is a very much encouraged bold step for any brand out there trying to get their artiste or artistes to be heard.Kudos to you guys.",2024-01-16T22:22:02.000Z,"November 24, 2023",EMINENT TRANSGLOBAL SOUND RECO,1,NG,https://www.trustpilot.com/reviews/65a6e5696856d3fb430ba1da,https://www.trustpilot.com/users/65a6e55342ec7f0012dec83a
65a2798cdf2abce332e8e7f5,4,The thing which brought me to TMMA is…,The thing which brought me to TMMA is their professionalism and costumers care. There are specific playlists which match with your genre it’s very important for the spotify algorithm.They brought out also organic fans even when the campaign is finished that what a real legit campaign. I recommend to everyone who wanna grow their fans base.,2024-01-13T13:52:44.000Z,"January 13, 2024",SSID,1,FR,https://www.trustpilot.com/reviews/65a2798cdf2abce332e8e7f5,https://www.trustpilot.com/users/65a27985f8b7810012f7147b
6597b549bb22d5988654d37f,5,They did put me on playlists on…,"They did put me on playlists on spotify and more people streamed my music than ever before. So they overdelivered. Which is always great. After the playlist promotion they listener count faded to where it was before the playlist promotion. So i don't know if they were organic listeners. Also only 5 people or so followed me during that playlisting time, even though my songs were listened to by thousands during that time... Which led me to the question if that are organic real listeners or programmed bots? I am not sure. But however, my songs were listened to more during that time.",2024-01-05T09:52:42.000Z,"September 13, 2023",Malte,4,DE,https://www.trustpilot.com/reviews/6597b549bb22d5988654d37f,https://www.trustpilot.com/users/5fa66529ea3b3c0019ac013a
65a612f15e5058cb69777d02,5,This company delivers as promised,"This company delivers as promised. Also, they are very professional and are reachable on the phone to discuss any issues that might arise. I would recommend them to anyone who wants to be added to legit playlists.",2024-01-16T07:24:02.000Z,"January 16, 2024",Rudolph,1,PH,https://www.trustpilot.com/reviews/65a612f15e5058cb69777d02,https://www.trustpilot.com/users/65a612d21d6a150011a0d571
659d8995c3ce31ae61615edf,5,This was the first time using TMM as a…,This was the first time using TMM as a independent artist. it's important to make the best and right decisions. TMM delivered the results I needed for my campaign going forward I'm releasing my 4th project. They are my promotional and marketing piece for my music period. Excellent exceptional results. Thank you TMM,2024-01-09T19:59:49.000Z,"November 20, 2023",Mariea Antoinette,1,US,https://www.trustpilot.com/reviews/659d8995c3ce31ae61615edf,https://www.trustpilot.com/users/61fbf6b1e2c7c20012683f5b
659e4e11630aa1360eaaa8e1,5,TMMA was introduced to me by very good…,"TMMA was introduced to me by very good friend and I give it a try honestly I was impressed with results the transparency, customer friendly support on WhatsApp it's just amazing thanks you guys keep up the good work . cheers.",2024-01-10T09:58:09.000Z,"December 07, 2023",Prince Andre,1,FR,https://www.trustpilot.com/reviews/659e4e11630aa1360eaaa8e1,https://www.trustpilot.com/users/659e4e021ed06b0011f56128
659d8c54e11940c775905fbd,5,TMMA is for sure a great marketing…,TMMA is for sure a great marketing agency. My song Old Days (check it in Spotify under the artist El Matador Alegre) reached 100k streams and this is my best result ever. They are always kind and ready to support you via whatsapp. Try it!,2024-01-10T08:31:41.000Z,"January 09, 2024",Giuseppe  Vallenari,2,IT,https://www.trustpilot.com/reviews/659d8c54e11940c775905fbd,https://www.trustpilot.com/users/630b828e4e4c63001363f0ea
