venue_name,date,review
The Starry Plough,"Jan 17, 2024","Food , service , ambience , history , rebellious sacred duty , this place carries all that within it's walls . Go there . Experience it ."
The Starry Plough,"Mar 8, 2024","I would not be writing this if I hadn't JUST received a denial of a refund for an event I had to cancel my ticket on back in OCTOBER!  I bought the ticket on October 21, 2023, and I requested the refund on the day of the event due to illness, which was October 27, 2023.  Today is MARCH 8, 2024!!!  I finally got an email saying, ""Sorry but we paid the band before this request was made.""  So you paid the band on the morning of the event?  I would hope you'd have paid them by the end of the night, at the very least, but to email me at this point and give me this load of BS is inexcusable.  I figured out back in November that I wasn't getting a refund, thanks for that.  Why bother at this point?  My health is still in decline months later, so I sure didn't need the reminder that I missed yet another event thanks to long COVID!  I think I've said all I can say without the review being taken down for use of profanity, so in closing, even if I could travel to Berkeley, I'd skip The Starry Plough.  It's far too cramped and the restrooms are horrendous, anyway.Here's the email I received, copied and pasted:Your refund request has been declined.Message from Starry Plough:""Sorry but we paid the band before this request was made.""Event: Tempest's 35th Anniversary and ReunionOrder #: 8105424159Refund Request #: 15873999Contact the organizer if you have any questions or view this order"
The Starry Plough,"Nov 27, 2023",My second time here for a live performance and it sure was lively. The stage is amazing and sound quality is too. Little light on the bartenders but service was good.
The Starry Plough,"Mar 28, 2023","I have been to The Starry Plough Pub during several Saint Patrick's Day Celebrations. This is an Irish bar with reasonable prices (for this day and age). I was able to find a dry cider--yum!What a celebration this 2023 Saint Paytrick Day was!!! It was standing room only. They had Irish bands, Irish dancers, and it was an open mike for singing Irish songs.They offer foods like Corned Beef and Cabbage, Fish and Chips, and Bacon Cheseburger, but we had dinner before going there. They looked good, though.The Starry Plough is a hangout for Irish and Irish wanna bes. They have live music, Irish music, and even Irish dancing."
The Starry Plough,"Nov 12, 2022","Came on a poetry slam night with a date! Cute ambiance and tasty ciders for fair prices. The fries were a really good snack to munch on. Fairly big place, and really good service:) Would come again!"
The Starry Plough,"Aug 22, 2022",Got the fish and garlic chips. Tried the fries years ago and thought they were incredible and they still hold up.
The Starry Plough,"Apr 10, 2023",Love this place up down and sideways. Such an institution. Great food and drinks. Old school ownership. Great people!
The Starry Plough,"Jan 23, 2023","Starry Plough is a great local Irish Pub. It's got beer, cider, burgers, stew and desserts and they are all good. There's Irish music Sunday, Irish dance with lessons for begginers on Monday, Poetry Slam and other stuff other days. Well worth going to just sit and socialize as well."
The Starry Plough,"Oct 23, 2019","The Starry Plough is a good neighborhood bar with great fries, but the set up for events and other food can be a bit meh.I came in on a Wednesday night for a veggie burger from my nearby hotel and had no idea where to order or how things worked since it was more of a bar than a place to eat. Thankfully a very friendly bartender saw my bewilderment and helped me out by directing me to the far counter with the register where I could order. There was a hockey game on TV and I think background music. The Irish was all over the walls and other than bar seating, there were a few tables and chairs.My food came out pretty quick, but I was the first to order before a ton of people showed up for the poetry slam later on and they looked like they had a wait. The veggie burger was black bean and I think quinoa based, but had so much jalapeno in it I found it mostly inedible (was pretty hungry so I had just a small amount of patty and lots of bread, leaving 3/4 of the patty on the plate). The fries were on-point! Loved the crisp, skin on fries, but didn't appreciate the dregs of the bag being included (little strips of fried potato skin). While the poetry slam was advertised for 8pm, which I waited for and then passed, it still hadn't started by 8:35 and I gave up. The lady in front collecting funds noted they should have started already, as 8:30 is more typical but I had to get going with my night and the organizer was not looking like it was going to get started for a bit despite expectation setting with announcements. They had placed a bunch of chairs in front of their stage, which were mostly filled by the time I left, so popular event for sure. Unfortunately the sound people didn't really know appropriate levels for 10-15 minutes and the bass made me sick to my stomach.Good fries, beers and popular events await you at the Starry Plough, but come prepared for waits and maybe stay away from the veggie burger if you can't handle the inferno."
The Starry Plough,"Oct 28, 2022",Best bar ever! Good food good beer good music good vibe. Great place for anyone to be whomever they want to  be.
The Starry Plough,"Jan 14, 2023",Great customer service! Great food! Fantastic ambiance! I went for poetry night. Will definitely be going again !
The Starry Plough,"Nov 12, 2022","Came on a poetry slam night with a date! Cute ambiance and tasty ciders for fair prices. The fries were a really good snack to munch on. Fairly big place, and really good service:) Would come again!"
The Starry Plough,"Nov 10, 2022","Still a great local Irish tradition.  Still partially closed to limit crowds on the weekend.  Hoping Thursday funk night will be back soon!  The video is from Sunday night, a real Irish folk music performance. Musicians welcome"
The Starry Plough,"Oct 28, 2022",Best bar ever! Good food good beer good music good vibe. Great place for anyone to be whomever they want to  be.
The Starry Plough,"Aug 30, 2022","The best place to get a hamburger and beer. I love Sundays; they play live Irish music, stop by and say hi to my BFF Rose. This place is very close to my heart; I practically grew up in this place."
The Starry Plough,"Aug 22, 2022",Got the fish and garlic chips. Tried the fries years ago and thought they were incredible and they still hold up.
The Starry Plough,"Aug 16, 2022",I love open mic. This was definitely one of the coolest I've ever seen. The sound guy did a great job. Not easy. I would definitely recommend if this is your thing. Play here. Come watch these talented people.
The Starry Plough,"Aug 16, 2022","Great mf food hella flavor fresh cooked, coolest bartenders in the world and they give ppl a mic on tuesday nights to spit your issue. Open mic tuesday night is turnt up hella local artists"
The Starry Plough,"Aug 16, 2022","I had a great time even as a one-time visitor! Very cozy, wholesome, not loud. It happened to be Monday dance night, so I really enjoyed the merry tunes of Irish folk music while soaking in the happy vibes from the dancing class."
The Starry Plough,"Jul 19, 2022","This Pub always seemed random to me. I actually grew up not to far away from it. Before 2020 I generally avoided this place. The Food and Drink here are top notch. Most of the time I went to other places in the area. It sucks that The Starry Plough isn't open part of the week, because I would love to go here on Friday and Saturday night."
The Starry Plough,"Jul 5, 2022",super cozy place and open mics every tuesday night! very excited to continue hanging out here and enjoying the general vibe
The Starry Plough,"Jun 30, 2022","Yet another update....  Still happy they're back, but the schedule really sucks.  Closed Friday and Saturday nights?  Who's bright idea was that?   Losing a lot of revenue there. Many times we haven't gone because they're not open Friday or Saturday and those are the best days for us, and many other people who work.  So, we'll still go when we can, unfortunately it just won't be weekly like it once was.  Closed to monthly now"
The Starry Plough,"Jun 21, 2022","A long standing family owned business, they have friendly staff and quality food. I come here every week for Irish céilí dancing on Monday nights, and once they opened back up following the Covid-19 shelter-in-place, I realized how much of myself I was missing without it. An excellent place to grab a bite or a drink with friends, with live Irish music on Sundays and Mondays, and plenty more interesting attractions throughout the week!"
The Starry Plough,"May 2, 2022","Great good! Great food! Great people! I especially love Sunday night Irish music jam and Monday night Irish dancing. They serve Irish fare, shepherds pie and corned beef and cabbage, year round. So lovely that it's in our neighborhood!"
